name,url,position,score,hometown,offers,state
Ryan Ives,https://247sports.com/player/ryan-ives-46081797,SDE ,0.8299," Manatee (Bradenton, FL)    ","['Air Force', 'Appalachian State', 'Bowling Green', 'FIU', 'Massachusetts', 'Southern Miss', 'Toledo', 'Tulane']",FL
Jameson Wang,https://247sports.com/player/jameson-wang-46053286,DUAL ,0.8098," Oaks Christian (Westlake Village, CA)    ","['Air Force', 'Army', 'Bryant', 'Columbia', 'Cornell', 'Drake', 'San Diego', 'Valparaiso', 'Holy Cross', 'Missouri', 'Nebraska', 'Northwestern', 'Ole Miss', 'Utah', 'Wake Forest']",CA
Matt Malloy,https://247sports.com/player/matt-malloy-46098188,OLB ,0.7396," Notre Dame Preparatory (Scottsdale, AZ)  ","['Air Force', 'San Diego', 'Arizona', 'Yale']",AZ
Blake Burris,https://247sports.com/player/blake-burris-46049312,SDE ,0.8530," Parish Episcopal School (Dallas, TX)    ","['Air Force', 'Army', 'Boston College', 'Colorado', 'Dartmouth', 'Incarnate Word', 'Princeton', 'Southern Miss', 'Texas Southern', 'Tulane', 'UTSA', 'Houston', 'Louisiana Tech', 'Oklahoma State', 'SMU']",TX
Wesley Ndago,https://247sports.com/player/wesley-ndago-46080262,OC ,0.8410," Midway (Waco, TX)    ","['Air Force', 'California', 'Colorado State', 'Columbia', 'Cornell', 'Dartmouth', 'Duke', 'Harvard', 'Louisiana', 'Louisiana Tech', 'Montana State', 'Nevada', 'North Texas', 'Pennsylvania', 'Princeton', 'SMU', 'Texas State', 'Tulane', 'Tulsa', 'UTSA']",TX
Adam Karas,https://247sports.com/player/adam-karas-46058647,OT ,0.8315," Pomona (Arvada, CO)  ","['Air Force', 'Arizona', 'Army', 'Boise State', 'Colorado', 'Colorado State', 'Kansas', 'Northern Colorado', 'Princeton', 'San Jose State', 'UNLV', 'Washington State', 'Wyoming', 'Yale', 'UCLA']",CO
Lincoln Tuioti-Mariner,https://247sports.com/player/lincoln-tuioti-mariner-46054089,S ,0.8305," Bishop Gorman (Las Vegas, NV)    ","['Air Force', 'Hawaii', 'Idaho State', 'Nevada', 'Portland State', 'Boise State', 'Brigham Young', 'California', 'Colorado', 'Fresno State', 'Oregon', 'UCLA', 'Utah']",NV
Jalen Hodo,https://247sports.com/player/jalen-hodo-46059511,S ,0.8299," Poteet (Mesquite, TX)    ","['Air Force', 'Army', 'Howard', 'Liberty', 'Louisiana Tech', 'North Texas', 'SMU']",TX
Alec Mock,https://247sports.com/player/alec-mock-46084813,ILB ,0.8198," Weddington (Matthews, NC)    ","['Air Force', 'Akron', 'Army', 'Campbell', 'Colgate', 'Columbia', 'Cornell', 'Dartmouth', 'Eastern Michigan', 'Elon', 'Fordham', 'Furman', 'Gardner-Webb', 'Harvard', 'Holy Cross', 'James Madison', 'Lehigh', 'Miami (OH)', 'North Dakota State', 'Pennsylvania', 'Princeton', 'Richmond', 'Toledo', 'William & Mary', 'Wofford', 'Yale']",NC
Kaiser Cambra-Cho,https://247sports.com/player/kaiser-cambra-cho-46057227,S ,0.8110," St Louis School (Honolulu, HI)  ","['Air Force', 'Army']",HI
Cameron Everts,https://247sports.com/player/cameron-everts-46082222,WR ,0.8098," Lampasas (Lampasas, TX)    ","['Air Force', 'Angelo State', 'Houston Baptist']",TX
Jayden Thiergood,https://247sports.com/player/jayden-thiergood-46083745,SDE ,0.8064," Marian Central Catholic (Woodstock, IL)  ","['Air Force', 'Cincinnati', 'Army', 'Central Michigan', 'Eastern Illinois', 'Eastern Kentucky', 'Holy Cross', 'Kent State', 'New Mexico State', 'Western Illinois']",IL
Matthew Aribisala,https://247sports.com/player/matthew-aribisala-46080715,SDE ,0.8053," Cedar Hill (Cedar Hill, TX)    ","['Air Force', 'Army', 'Central Michigan', 'Georgetown', 'Navy', 'Oklahoma State']",TX
Sam Petersen,https://247sports.com/player/sam-petersen-46059432,SDE ,0.8053," Tahoma Senior (Maple Valley, WA)    ","['Air Force', 'Army', 'Brigham Young', 'Navy', 'Utah', 'Utah State']",WA
Osaro Aihie,https://247sports.com/player/osaro-aihie-46056748,ILB ,0.7998," San Leandro (San Leandro, CA)    ","['Air Force', 'Dartmouth', 'Howard', 'Navy', 'Portland State', 'Fresno State', 'San Jose State']",CA
Seth Meador,https://247sports.com/player/seth-meador-46055804,WR ,0.7998," Guyer (Denton, TX)    ","['Air Force', 'Arkansas State', 'Illinois State', 'Montana State', 'Nevada', 'North Texas', 'SMU']",TX
Halatoa Tai,https://247sports.com/player/halatoa-tai-46093904,S ,0.7998," Liberty (Henderson, NV)  ",['Air Force'],NV
Fabrizio Pinton,https://247sports.com/player/fabrizio-pinton-46080655,K ,0.7997," The Woodlands (The Woodlands, TX)    ","['Air Force', 'Army', 'Sam Houston State', 'Yale', 'Arizona', 'TCU']",TX
Cole Palmer,https://247sports.com/player/cole-palmer-46085771,ATH ,0.7970," The Classical Academy (Pike Ntl Forest, CO)  ","['Air Force', 'UNLV']",CO
Conner Wnek,https://247sports.com/player/conner-wnek-46079411,WR ,0.7902," Kimberly (Kimberly, WI)  ","['Air Force', 'Wisconsin']",WI
Jack Parker,https://247sports.com/player/jack-parker-46085069,OG ,0.7897," Creekview (Carrollton, TX)    ",['Air Force'],TX
Jacob Martin,https://247sports.com/player/jacob-martin-46080172,WR ,0.7897," Lewis-Palmer (Monument, CO)    ","['Air Force', 'South Dakota', 'Black Hills State', 'Colorado State', 'Montana', 'New Mexico State', 'Northern Colorado', 'Ohio', 'Pennsylvania', 'Princeton', 'Wyoming']",CO
Matthew Heitmann,https://247sports.com/player/matthew-heitmann-46086541,OT ,0.7897," Dakota Ridge (Littleton, CO)  ",['Air Force'],CO
Jamari Bellamy,https://247sports.com/player/jamari-bellamy-46080396,S ,0.7897," McEachern (Powder Springs, GA)    ","['Air Force', 'Coastal Carolina', 'Wofford']",GA
Zach Slail,https://247sports.com/player/zach-slail-46084845,DT ,0.7897," Southridge (Beaverton, OR)    ","['Air Force', 'Idaho', 'Portland State', 'Baylor', 'Oregon', 'UCLA']",OR
Dorian Maynard,https://247sports.com/player/dorian-maynard-46053519,CB ,0.7897," Morton Ranch (Katy, TX)    ",['Air Force'],TX
Holden Brosnan,https://247sports.com/player/holden-brosnan-46086954,OT ,0.7889," Cathedral Catholic (San Diego, CA)  ","['Air Force', 'Columbia', 'Fordham', 'Georgetown']",CA
Costen Cooley,https://247sports.com/player/costen-cooley-46085278,OC ,0.7831," Red Mountain (Mesa, AZ)  ","['Air Force', 'Northern Arizona', 'Northern Colorado']",AZ
Payton Zdroik,https://247sports.com/player/payton-zdroik-46059142,ATH ,0.7831," Liberty (Brentwood, CA)  ","['Air Force', 'Cal Poly', 'Colorado State', 'Harvard', 'San Diego', 'UC Davis']",CA
Jordan Jenkins,https://247sports.com/player/jordan-jenkins-46097122,S ,0.7797," Elkins (Missouri City, TX)    ",['Air Force'],TX
Billy Johnson,https://247sports.com/player/billy-johnson-46059495,DT ,0.7741," Middleton (Middleton, WI)  ","['Air Force', 'Columbia', 'Cornell', 'Valparaiso']",WI
Owen Burk,https://247sports.com/player/owen-burk-46049863,RB ,0.7741," Allendale (Allendale, MI)  ","['Air Force', 'Colgate', 'Columbia', 'Cornell', 'Ferris State', 'Grand Valley State', 'Northwood University', 'Pennsylvania', 'Valparaiso', 'Wayne State']",MI
Alex Morrison,https://247sports.com/player/alex-morrison-46058606,OLB ,0.7497," Saline (Saline, MI)  ","['Air Force', 'Cornell', 'Eastern Kentucky', 'Navy', 'South Dakota', 'Youngstown State', 'Cincinnati']",MI
Taurean Muhammad,https://247sports.com/player/taurean-muhammad-46058520,WR ,NA," Tompkins (Katy, TX)  ","['Air Force', 'Furman', 'New Mexico', 'UNLV']",TX
