name,url,position,score,hometown,offers,state
Isiah Childs,https://247sports.com/player/isiah-childs-46085263,OLB ,0.8281," Wamego (Wamego, KS)    ","['Akron', 'Kansas State', 'Northern Iowa', 'South Dakota', 'Western Illinois', 'Iowa State', 'North Dakota State', 'Tulsa', 'Wyoming']",KS
Janirr Wade,https://247sports.com/player/janirr-wade-46081139,SDE ,0.8247," Stephenson (Stone Mountain, GA)  ","['Akron', 'Bowling Green', 'Purdue', 'Rutgers']",GA
Woobendy Guerrier,https://247sports.com/player/woobendy-guerrier-46096681,CB ,0.8195," Butler C.C. (El Dorado, KS)  ",['Akron'],KS
Juan Jarrett,https://247sports.com/player/juan-jarrett-46058578,OLB ,0.8160," Princeton (Cincinnati, OH)    ","['Akron', 'Kansas', 'Central Michigan', 'Georgia Tech', 'Liberty', 'Cincinnati']",OH
MyJaden Horton,https://247sports.com/player/myjaden-horton-46035429,DUAL ,0.8159," Lakota West (West Chester, OH)  ","['Akron', 'Kentucky', 'Louisville']",OH
Teon Dollard,https://247sports.com/player/teon-dollard-46096513,RB ,0.8113," Independence C.C. (Independence, KS)    ","['Akron', 'Stephen F. Austin']",KS
Chukwudifu Ogbonna,https://247sports.com/player/chukwudifu-ogbonna-90916,S ,0.8101," Hutchinson C.C. (Hutchinson, KS)   ","['Akron', 'Arkansas State', 'Massachusetts', 'Kentucky', 'New Mexico', 'Oklahoma State', 'Texas Tech', 'Utah']",KS
Joey Marousek,https://247sports.com/player/joey-marousek-46083478,DUAL ,0.8052," North Royalton (North Royalton, OH)  ","['Akron', 'Ashland University', 'Bucknell', 'Buffalo', 'Georgetown', 'Robert Morris', 'Sacred Heart', 'Valparaiso', 'Youngstown State']",OH
Ronan Chambers,https://247sports.com/player/ronan-chambers-46078765,OT ,0.8052," St. Edward (Lakewood, OH)    ","['Akron', 'Sacred Heart', 'Youngstown State', 'Ball State', 'Bowling Green', 'Cincinnati', 'Michigan']",OH
Konata Mumpfield,https://247sports.com/player/konata-mumpfield-46099034,ATH ,0.8051," Dacula (Dacula, GA)  ","['Akron', 'Alabama State', 'Mercer', 'Savannah State']",GA
Brycen Yarmo,https://247sports.com/player/brycen-yarmo-46095022,TE ,0.8046," Coffeyville C.C. (Coffeyville, KS)                    ","['Akron', 'Massachusetts', 'Southeast Missouri State']",KS
DiMarco Johnson,https://247sports.com/player/dimarco-johnson-46094269,S ,0.8044," Dutch Fork (Irmo, SC)  ","['Akron', 'Connecticut']",SC
Jonzell Norrils,https://247sports.com/player/jonzell-norrils-46097214,RB ,0.8030," Central Catholic (Toledo, OH)  ","['Akron', 'Eastern Illinois']",OH
Ronald Jackson,https://247sports.com/player/ronald-jackson-46053431,S ,0.8003," Belleville (Belleville, MI)    ","['Akron', 'Ferris State', 'Bowling Green', 'Iowa State', 'Ohio', 'Toledo', 'Georgia State', 'Notre Dame']",MI
Nazir Sy,https://247sports.com/player/nazir-sy-46039400,DT ,0.7999," Butler C.C. (El Dorado, KS)    ",['Akron'],KS
Ryan McClain,https://247sports.com/player/ryan-mcclain-46097212,OLB ,0.7999," Garden City C.C.  (Garden City, KS)  ","['Akron', 'Jacksonville State', 'Kent State']",KS
Michael Snowden,https://247sports.com/player/michael-snowden-46085682,S ,0.7958," University Prep (Pittsburgh, PA)  ",['Akron'],PA
Deacon Allen,https://247sports.com/player/deacon-allen-46076970,OG ,0.7956," Rockmart (Rockmart, GA)  ",['Akron'],GA
Tristian Brank,https://247sports.com/player/tristian-brank-46097215,TE ,0.7896," Clyde A Erwin (Asheville, NC)  ","['Akron', 'Elon', 'North Carolina A&T', 'Tennessee Tech']",NC
Nate Williams,https://247sports.com/player/nate-williams-46097213,OT ,0.7868," Newark Catholic (Newark, OH)  ",['Akron'],OH
Charles Amankwaa,https://247sports.com/player/charles-amankwaa-46098187,CB ,0.7839," Monroe College (New Rochelle, NY)    ","['Akron', 'Albany', 'Duquesne', 'Indiana State', 'Morehead State', 'Robert Morris', 'Sacred Heart']",NY
Tony Georges,https://247sports.com/player/tony-georges-46097567,OG ,0.7827," St. Ignatius (Cleveland, OH)  ",['Akron'],OH
Jaylen Ball,https://247sports.com/player/jaylen-ball-46099379,RB ,0.7697," St. Francis De Sales (Columbus, OH)  ",['Akron'],OH
Kyle Bischof,https://247sports.com/player/kyle-bischof-46099380,ILB ,0.7697," Mentor (Mentor, OH)  ",['Akron'],OH
Ryan Jankowski,https://247sports.com/player/ryan-jankowski-46099606,PRO ,NA," Vero Beach (Vero Beach, FL)  ","['Akron', 'Bethune-Cookman', 'Bucknell', 'Indiana', 'Jacksonville']",FL
Jaquan Green,https://247sports.com/player/jaquan-green-46084306,SDE ,0.7900," Fort Scott C.C. (Fort Scott, KS)    ",['Akron'],KS
Kenny White,https://247sports.com/player/kenny-white-46037197,S ,0.7694," Garden City C.C.  (Garden City, KS)    ",['Akron'],KS
