name,url,position,score,hometown,offers,state
Bryce Young,https://247sports.com/player/bryce-young-93127,DUAL ,0.9994," Mater Dei (Santa Ana, CA)                    ",,CA
Will Anderson,https://247sports.com/player/will-anderson-46053865,WDE ,0.9913," Dutchtown (Hampton, GA)                    ",,GA
Chris Braswell,https://247sports.com/player/chris-braswell-46049102,WDE ,0.9911," St. Frances Academy (Baltimore, MD)                    ",,MD
Drew Sanders,https://247sports.com/player/drew-sanders-45572383,ATH ,0.9897," Ryan (Denton, TX)                    ",,TX
Demouy Kennedy,https://247sports.com/player/demouy-kennedy-46054124,ILB ,0.9820," Theodore (Theodore, AL)                    ",,AL
Jase McClellan,https://247sports.com/player/jase-mcclellan-46036686,RB ,0.9757," Aledo (Aledo, TX)                    ",,TX
Roydell Williams,https://247sports.com/player/roydell-williams-46050297,RB ,0.9653," Hueytown  (Hueytown, AL)                    ",,AL
Thaiu Jones-Bell,https://247sports.com/player/thaiu-jones-bell-46047033,WR ,0.9359," Miami Carol City (Opa Locka, FL)                    ",,FL
Jackson Bratton,https://247sports.com/player/jackson-bratton-46051850,ILB ,0.9320," Muscle Shoals  (Muscle Shoals, AL)                    ",,AL
Traeshon Holden,https://247sports.com/player/traeshon-holden-46052218,WR ,0.9136," Narbonne (Harbor City, CA)                    ",,CA
Jahquez Robinson,https://247sports.com/player/jahquez-robinson-46047835,CB ,0.9002," Sandalwood (Jacksonville, FL)                    ",,FL
Ronald Williams,https://247sports.com/player/ronald-williams-91722,CB ,0.8904," Hutchinson C.C. (Hutchinson, KS)                    ",,KS
Seth McLaughlin,https://247sports.com/player/seth-mclaughlin-46052911,OC ,0.8802," Buford (Buford, GA)                    ",,GA
Timothy Smith,https://247sports.com/player/timothy-smith-46050501,DT ,0.9732," Sebastian River (Sebastian, FL)                  ","['Alabama', 'Florida', 'Clemson', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Indiana', 'Kansas', 'Louisville', 'Maryland', 'Miami', 'Middle Tennessee State', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Purdue', 'South Carolina', 'UCF']",FL
Brian Branch,https://247sports.com/player/brian-branch-46055160,S ,0.9712," Sandy Creek (Tyrone, GA)                  ","['Alabama', 'Georgia Tech', 'Oklahoma', 'Cincinnati', 'Duke', 'East Carolina', 'Florida', 'Florida State', 'Georgia', 'Georgia State', 'Indiana', 'Jacksonville State', 'Kent State', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Nebraska', 'Ohio State', 'South Alabama', 'South Carolina', 'Tennessee', 'Texas A&M', 'Wake Forest', 'West Virginia', 'Wisconsin', 'Coastal Carolina']",GA
Quandarrius Robinson,https://247sports.com/player/quandarrius-robinson-46047696,OLB ,0.9705," Jackson-Olin (Birmingham, AL)                  ","['Alabama', 'Auburn', 'Kentucky', 'Florida', 'Georgia Tech', 'LSU', 'Memphis', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Oregon', 'South Carolina', 'Tennessee', 'Virginia Tech', 'Clemson']",AL
Kristian Story,https://247sports.com/player/kristian-story-46041380,ATH ,0.9250," Lanett (Lanett, AL)                  ","['Alabama', 'Texas A&M', 'Tennessee', 'Duke', 'Florida', 'Florida Atlantic', 'Georgia', 'Georgia Tech', 'Jacksonville State', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Michigan', 'Mississippi State', 'Nebraska', 'Notre Dame', 'Oregon', 'Penn State', 'Southern Miss', 'Troy', 'Virginia', 'Clemson', 'Florida State']",AL
Jah-Marien Latham,https://247sports.com/player/jah-marien-latham-46059407,DT ,0.9216," Pickens County (Reform, AL)                  ","['Alabama', 'Georgia Tech', 'Maryland', 'Nebraska', 'Ole Miss', 'South Carolina', 'Tennessee', 'UAB', 'Memphis', 'UAB']",AL
Javon Baker,https://247sports.com/player/javon-baker-46048083,WR ,0.9215," McEachern (Powder Springs, GA)    ","['Alabama', 'Arkansas', 'Auburn', 'Florida', 'Florida State', 'Georgia Tech', 'Kentucky', 'Louisville', 'Michigan', 'Mississippi State', 'Nebraska', 'Ohio State', 'Ole Miss', 'Pittsburgh', 'South Carolina', 'Tennessee', 'Troy', 'Virginia Tech', 'Clemson', 'Georgia', 'Vanderbilt']",GA
Malachi Moore,https://247sports.com/player/malachi-moore-46043064,S ,0.9195," Hewitt-Trussville (Trussville, AL)                  ","['Alabama', 'Arkansas', 'Auburn', 'Chattanooga', 'Clemson', 'East Carolina', 'Florida', 'Georgia', 'Georgia Tech', 'Jacksonville State', 'Kent State', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Michigan', 'Middle Tennessee State', 'Mississippi State', 'Ole Miss', 'Oregon', 'Samford', 'Tennessee', 'Texas A&M', 'UAB', 'Vanderbilt', 'Alabama A&M', 'Auburn', 'South Alabama', 'Troy', 'UAB']",AL
Javion Cohen,https://247sports.com/player/javion-cohen-46055335,OT ,0.8954," Central (Phenix City, AL)                  ","['Alabama', 'Auburn', 'Georgia Tech', 'South Carolina', 'Alabama A&M', 'Alabama State', 'Arkansas', 'Coastal Carolina', 'Florida', 'Florida Atlantic', 'Florida State', 'Illinois', 'Jackson State', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Middle Tennessee State', 'Mississippi State', 'Missouri', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Troy', 'Tulane', 'UAB', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Georgia']",AL
Jamil Burroughs,https://247sports.com/player/jamil-burroughs-46042607,DT ,0.8936," McEachern (Powder Springs, GA)    ","['Alabama', 'Georgia', 'Arkansas', 'Boston College', 'Clemson', 'Florida', 'Florida State', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Tennessee', 'Virginia Tech']",GA
Damieon George,https://247sports.com/player/damieon-george-46050364,OT ,0.8884," North Shore (Houston, TX)    ","['Alabama', 'Auburn', 'Colorado State', 'Florida', 'Florida State', 'Georgia', 'Houston', 'LSU', 'Miami', 'Mississippi State', 'Missouri', 'Nevada', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'SMU', 'South Alabama', 'Tennessee', 'Texas', 'Texas A&M', 'Tulsa', 'USC', 'Virginia Tech', 'Virginia Tech', 'Arkansas']",TX
Kyle Edwards,https://247sports.com/player/kyle-edwards-46056167,RB ,0.8850," Destrehan (Destrehan, LA)                  ","['Alabama', 'Arizona', 'Colorado', 'Colorado State', 'Houston', 'Kentucky', 'Lafayette', 'Louisville', 'Michigan', 'Mississippi State', 'Notre Dame', 'Penn State', 'South Alabama', 'Texas A&M', 'Utah', 'Virginia']",LA
Caden Clark,https://247sports.com/player/caden-clark-90889,TE ,0.8784," Archbishop Hoban (Akron, OH)                  ","['Alabama', 'Boston College', 'Cincinnati', 'Iowa', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Ohio State', 'Pittsburgh', 'West Virginia', 'Clemson', 'Ohio State', 'Penn State']",OH
