name,url,position,score,hometown,offers,state
Frank Brown,https://247sports.com/player/frank-brown-46056597,APB ,0.8693," Sterling (Houston, TX)    ","['Arizona', 'Baylor', 'Michigan State', 'Arkansas', 'Boise State', 'Colorado', 'Colorado State', 'Fresno State', 'Houston', 'Kansas', 'Louisiana Tech', 'Missouri', 'Nebraska', 'North Texas', 'Northern Colorado', 'SMU', 'Southern Miss', 'Texas Southern', 'Texas Tech', 'Tulsa', 'UNLV', 'Utah', 'Utah State']",TX
Jalen John,https://247sports.com/player/jalen-john-46041316,RB ,0.8606," Lakeridge (Lake Oswego, OR)                  ","['Arizona', 'Brigham Young', 'Nebraska', 'Oregon', 'Oregon State', 'USC', 'Utah', 'Washington']",OR
Regen Terry,https://247sports.com/player/regen-terry-46079299,WDE ,0.8593," Florence (Florence, AZ)                  ","['Arizona', 'Nebraska', 'USC', 'Arizona State', 'Boise State', 'Boston College', 'California', 'Fresno State', 'Kansas State', 'Maryland', 'Oregon State', 'San Diego State', 'Utah', 'Oregon', 'UCLA', 'Vanderbilt']",AZ
Dion Wilson,https://247sports.com/player/dion-wilson-46083518,ATH ,0.8585," Orange Vista (Perris, CA)                  ","['Arizona', 'Arizona State', 'Hawaii', 'New Mexico', 'Sacramento State', 'Kansas State']",CA
Will Plummer,https://247sports.com/player/will-plummer-46059064,PRO ,0.8567," Gilbert (Gilbert, AZ)                 ","['Arizona', 'Colorado', 'North Texas', 'Oklahoma State', 'Oregon State']",AZ
Khary Crump,https://247sports.com/player/khary-crump-46053975,CB ,0.8564," Culver City (Culver City, CA)                  ","['Arizona', 'Brigham Young', 'Oregon', 'Oregon State', 'Utah State', 'Tennessee', 'USC']",CA
Majon Wright,https://247sports.com/player/majon-wright-46051389,S ,0.8505," Cardinal Gibbons (Fort Lauderdale, FL)                  ","['Arizona', 'Florida Atlantic', 'FIU', 'Indiana', 'Kansas State', 'Kentucky', 'Liberty', 'Louisville', 'Marshall', 'Pittsburgh', 'Syracuse', 'Tennessee', 'UCF', 'USF', 'Miami', 'Ohio State']",FL
Josh Baker,https://247sports.com/player/josh-baker-46052632,OC ,0.8490," Eureka (Eureka, MO)                  ","['Arizona', 'Arkansas State', 'Ball State', 'Eastern Michigan', 'Illinois', 'Kansas', 'Kent State', 'Liberty', 'Navy', 'Northern Illinois', 'Ohio', 'Toledo', 'Western Michigan', 'Wyoming']",MO
Derick Mourning,https://247sports.com/player/derick-mourning-46080661,OLB ,0.8478," Paetow (Katy, TX)    ","['Arizona', 'Louisiana-Monroe', 'Sam Houston State', 'Tulsa']",TX
Edric Whitley,https://247sports.com/player/edric-whitley-46085297,CB ,0.8445," Weiss (Pflugerville, TX)    ","['Arizona', 'UNLV', 'Abilene Christian', 'Incarnate Word', 'Miami', 'Ole Miss', 'Sam Houston State', 'Texas Southern']",TX
Leif Magnuson,https://247sports.com/player/leif-magnuson-46085248,OG ,0.8410," Bethlehem Catholic (Canada, CANA)    ","['Arizona', 'Indiana', 'Kansas', 'South Dakota', 'Boston College', 'Coastal Carolina', 'Fresno State', 'Idaho', 'Kent State', 'Massachusetts', 'North Dakota', 'Syracuse', 'Texas State', 'Utah State', 'Washington State', 'Baylor', 'Cincinnati', 'Nebraska']",CA
Woody Jean,https://247sports.com/player/woody-jean-46052379,OT ,0.8396," Deerfield Beach (Deerfield Beach, FL)                    ","['Arizona', 'Florida Atlantic', 'Indiana', 'Northern Illinois', 'Rutgers', 'Syracuse', 'Temple', 'Tulane', 'USF', 'Western Kentucky']",FL
Roberto Miranda,https://247sports.com/player/roberto-miranda-46083190,TE ,0.8390," Germany (Germany, GERM)                 ","['Arizona', 'Cincinnati', 'Coastal Carolina', 'Connecticut', 'Eastern Michigan', 'Georgia Tech', 'Mercer', 'Towson']",GE
Dyelan Miller,https://247sports.com/player/dyelan-miller-46084322,WR ,0.8376," Centennial (Peoria, AZ)                  ","['Arizona', 'Arizona State', 'Colorado State', 'Iowa State', 'Northern Arizona', 'Oregon State', 'Wisconsin', 'Wisconsin']",AZ
