name,url,position,score,hometown,offers,state
Daniyel Ngata,https://247sports.com/player/daniyel-ngata-46050694,APB ,0.9468," Folsom (Folsom, CA)                    ",,CA
Jordan Banks,https://247sports.com/player/jordan-banks-46051934,OLB ,0.9095," Narbonne (Harbor City, CA)                    ",,CA
DeaMonte Trayanum,https://247sports.com/player/deamonte-trayanum-46050397,RB ,0.9017," Archbishop Hoban (Akron, OH)                    ",,OH
Caleb McCullough,https://247sports.com/player/caleb-mccullough-46079855,ILB ,0.8747," Pacifica (Oxnard, CA)                    ",,CA
T Lee,https://247sports.com/player/t-lee-46040524,ATH ,0.8633," Buford (Buford, GA)                    ",,GA
Macen Williams,https://247sports.com/player/macen-williams-46037867,CB ,0.8633," Narbonne (Harbor City, CA)                    ",,CA
Ben Bray,https://247sports.com/player/ben-bray-46081381,OT ,0.8431," Red Mountain (Mesa, AZ)                    ",,AZ
Jacob Nunez,https://247sports.com/player/jacob-nunez-46053380,OG ,0.8410," Lompoc (Lompoc, CA)                    ",,CA
Johnny Wilson,https://247sports.com/player/johnny-wilson-46036733,WR ,0.9495," Calabasas (Calabasas, CA)                  ","['Arizona State', 'Oregon', 'Arizona', 'Arkansas', 'Baylor', 'Boise State', 'California', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Fresno State', 'Georgia', 'Indiana', 'Kansas', 'Kansas State', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Nebraska', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oregon State', 'Penn State', 'San Diego State', 'SMU', 'Tennessee', 'Texas', 'Texas A&M', 'UCLA', 'USC', 'Utah State', 'Virginia', 'Washington', 'Washington State']",CA
Elijhah Badger,https://247sports.com/player/elijhah-badger-46052883,ATH ,0.9368," Folsom (Folsom, CA)                  ","['Arizona State', 'Arizona', 'Colorado', 'Duke', 'Florida', 'Fresno State', 'Kansas State', 'Michigan', 'Nebraska', 'Oregon', 'Oregon State', 'San Jose State', 'Tennessee', 'Texas A&M', 'USC', 'Utah', 'Washington State', 'Wisconsin', 'Alabama', 'Nevada', 'Utah', 'Washington']",CA
LV Bunkley-Shelton,https://247sports.com/player/lv-bunkley-shelton-46037808,WR ,0.9309," Junipero Serra (Gardena, CA)                  ","['Arizona State', 'Arizona', 'Boston College', 'Brigham Young', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Kansas', 'Michigan', 'Nebraska', 'Nevada', 'Ohio State', 'Oklahoma', 'Oregon', 'Oregon State', 'San Diego State', 'TCU', 'Texas', 'UNLV', 'USC', 'Utah', 'Utah State', 'Washington', 'Washington State']",CA
Omarr Norman-Lott,https://247sports.com/player/omarr-norman-lott-46080723,DT ,0.8925," Grant Union (Sacramento, CA)                ","['Arizona State', 'Arizona', 'Boise State', 'Colorado', 'Colorado State', 'Kansas', 'Kansas State', 'Oregon State', 'TCU', 'Texas A&M', 'USC', 'UCLA']",CA
Chad Johnson Jr.,https://247sports.com/player/chad-johnson-jr-46050061,WR ,0.8917," Cathedral (Los Angeles, CA)                  ","['Arizona State', 'Auburn', 'Cincinnati', 'Clemson', 'Florida', 'Florida Atlantic', 'Florida State', 'Fresno State', 'Georgia', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Oregon', 'Oregon State', 'Tennessee', 'Texas', 'Texas A&M', 'USC', 'Washington', 'West Virginia']",CA
Joe Moore,https://247sports.com/player/joe-moore-46053584,SDE ,0.8858," Cardinal Ritter College Prep (Saint Louis, MO)                  ","['Arizona State', 'Minnesota', 'North Carolina', 'Arizona', 'Ball State', 'Bowling Green', 'California', 'Cincinnati', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kent State', 'Louisville', 'Memphis', 'Missouri', 'Nebraska', 'Oregon', 'Purdue', 'Rutgers', 'San Diego State', 'Southern Miss', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin']",MO
DJ Taylor,https://247sports.com/player/dj-taylor-46077154,CB ,0.8715," Tampa Catholic (Tampa, FL)                  ","['Arizona State', 'Louisville', 'Appalachian State', 'Bowling Green', 'Buffalo', 'Cincinnati', 'Colorado State', 'Duke', 'East Carolina', 'FIU', 'Illinois', 'Iowa State', 'Kansas State', 'Kent State', 'Liberty', 'Marshall', 'Michigan State', 'Nebraska', 'North Carolina', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee State', 'Toledo', 'Troy', 'Tulane', 'UCF', 'USF', 'Wake Forest', 'West Virginia', 'Western Michigan']",FL
Edward Woods,https://247sports.com/player/edward-woods-46079118,CB ,0.8586," McClymonds (Oakland, CA)                  ","['Arizona State', 'Arizona', 'Washington State', 'Colorado State', 'Fresno State', 'Hawaii', 'Nevada', 'New Mexico', 'New Mexico State', 'Sacramento State', 'San Diego State', 'San Jose State', 'Tulane', 'USC', 'Wyoming', 'Youngstown State']",CA
Daylin McLemore,https://247sports.com/player/daylin-mclemore-46084158,DUAL ,0.8464," Junipero Serra (San Mateo, CA)  ","['Arizona State', 'San Jose State', 'Boise State', 'Fordham', 'Fresno State', 'Idaho State', 'Lehigh', 'Massachusetts', 'Nevada', 'San Diego', 'UNLV']",CA
Jake Ray,https://247sports.com/player/jake-ray-46080656,TE ,0.8235," St. Thomas Aquinas (Fort Lauderdale, FL)    ","['Arizona State', 'UNLV', 'Boston College', 'Bowling Green', 'Brown', 'Charlotte', 'FIU', 'Kansas', 'Marshall', 'Missouri', 'NC State', 'Southern Miss', 'UAB']",FL
Will Shaffer,https://247sports.com/player/will-shaffer-46058617,ILB ,0.8564," Saguaro (Scottsdale, AZ)    ","['Arizona State', 'Arizona', 'Air Force', 'Memphis', 'New Mexico', 'Northern Arizona', 'Texas State', 'UTEP', 'Washington State', 'Hawaii', 'Iowa State', 'Nebraska', 'UNLV']",AZ
Ryan Morgan,https://247sports.com/player/ryan-morgan-46085738,WR ,0.8363," Lompoc (Lompoc, CA)    ","['Arizona State', 'Wyoming', 'UNLV']",CA
