name,url,position,score,hometown,offers,state
Myles Slusher,https://247sports.com/player/myles-slusher-46048503,S ,0.9282," Broken Arrow (Broken Arrow, OK)                    ",,OK
Darin Turner,https://247sports.com/player/darin-turner-46040571,WR ,0.9189," Memphis Central (Memphis, TN)    ",,TN
Blayne Toll,https://247sports.com/player/blayne-toll-46048468,SDE ,0.8827," Hazen (Hazen, AR)    ",,AR
Kelin Burrle,https://247sports.com/player/kelin-burrle-46052138,OLB ,0.8633," Helen Cox (Harvey, LA)    ",,LA
Julius Coates,https://247sports.com/player/julius-coates-46094042,SDE ,0.8528," East Mississippi C.C. (Scooba, MS)    ",,MS
Malik Hornsby,https://247sports.com/player/malik-hornsby-46037405,DUAL ,0.9210," Fort Bend Marshall (Missouri City, TX)    ","['Arkansas', 'North Carolina', 'Purdue', 'Texas A&M', 'Alabama', 'Arizona', 'Auburn', 'Baylor', 'Colorado', 'Florida State', 'Georgia', 'Houston', 'Illinois', 'Kansas', 'Kansas State', 'Maryland', 'Michigan State', 'Mississippi State', 'Oregon', 'SMU', 'Syracuse', 'Tennessee', 'Texas', 'Texas Tech', 'Virginia Tech']",TX
Marcus Henderson,https://247sports.com/player/marcus-henderson-46048085,OG ,0.8947," Memphis University School (Memphis, TN)    ","['Arkansas', 'Missouri', 'Ole Miss', 'Alabama', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Michigan', 'Mississippi State', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'South Carolina', 'Tennessee', 'Texas A&M', 'Washington']",TN
Jashaud Stewart,https://247sports.com/player/jashaud-stewart-46078776,OLB ,0.8802," Jonesboro (Jonesboro, AR)    ","['Arkansas', 'Arkansas State', 'Houston', 'Kansas', 'Liberty', 'Memphis', 'Oklahoma State', 'SMU', 'Troy', 'Mississippi State', 'Ole Miss', 'SMU']",AR
Andy Boykin,https://247sports.com/player/andy-boykin-46041712,SDE ,0.8763," Troup County (Lagrange, GA)    ","['Arkansas', 'Auburn', 'Alabama', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Jacksonville State', 'Kentucky', 'LSU', 'Miami', 'Syracuse', 'Tennessee', 'Troy', 'West Virginia']",GA
Jalen St. John,https://247sports.com/player/jalen-st-john-46046981,OG ,0.8741," Trinity Catholic (Saint Louis, MO)    ","['Arkansas', 'Missouri', 'Auburn', 'Florida State', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Memphis', 'Minnesota', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Purdue', 'Tennessee', 'Washington State', 'Western Michigan', 'Arkansas']",MO
Catrell Wallace,https://247sports.com/player/catrell-wallace-46059521,OLB ,0.8681," Bryant (Bryant, AR)    ","['Arkansas', 'Arkansas State', 'Houston', 'Louisiana Tech', 'Louisiana-Monroe', 'Nebraska', 'Oklahoma State', 'Ole Miss', 'Tulane', 'Virginia']",AR
Nick Turner,https://247sports.com/player/nick-turner-46080524,S ,0.8680," Brother Martin (New Orleans, LA)    ","['Arkansas', 'Georgia Tech', 'Baylor', 'Houston', 'Louisiana Tech', 'Memphis', 'Nicholls State', 'Penn State', 'South Alabama', 'Southern Miss', 'Tennessee', 'Texas Tech', 'Tulane', 'UNLV', 'Virginia', 'SMU']",LA
Ray Curry Jr.,https://247sports.com/player/ray-curry-jr-46040685,OT ,0.8548," White Station (Memphis, TN)    ","['Arkansas', 'Mississippi State', 'Missouri', 'Alabama', 'Auburn', 'Georgia', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisiana-Monroe', 'Louisville', 'LSU', 'Memphis', 'Michigan', 'Nebraska', 'Ole Miss', 'South Carolina', 'Tennessee', 'Texas', 'Texas A&M', 'Tulsa', 'Vanderbilt', 'Virginia', 'Western Carolina']",TN
Eric Thomas,https://247sports.com/player/eric-thomas-46097736,WDE ,0.8498," Booker T. Washington (Pensacola, FL)    ","['Arkansas', 'Colorado State']",FL
