name,url,position,score,hometown,offers,state
Corbet Mims,https://247sports.com/player/corbet-mims-46080789,SDE ,0.8621," Kirby (Memphis, TN)    ","['Arkansas State', 'Arkansas', 'Indiana', 'Kansas', 'Kentucky', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisville', 'Memphis', 'Middle Tennessee State', 'Mississippi State', 'Missouri', 'NC State', 'Ole Miss', 'Oregon', 'SMU', 'Southern Miss', 'Tennessee', 'Tulane', 'Tulsa', 'Vanderbilt', 'Wake Forest', 'Western Kentucky']",TN
Antwon Fegans Jr.,https://247sports.com/player/antwon-fegans-jr-46055905,CB ,0.8464," Oxford (Oxford, AL)    ","['Arkansas State', 'UAB', 'Arkansas', 'Austin Peay', 'Florida Atlantic', 'Jacksonville State', 'Kansas', 'Kentucky', 'Louisville', 'Memphis', 'Mississippi State', 'South Alabama', 'Southern Miss', 'Toledo', 'Tulane', 'Virginia Tech', 'West Virginia', 'Western Kentucky']",AL
Austin Woods,https://247sports.com/player/austin-woods-46084940,OT ,0.8424," Verdigris (Cleveland, OK)    ","['Arkansas State', 'Central Oklahoma', 'Eastern Kentucky', 'Illinois', 'Louisiana Tech', 'Northeastern State', 'Texas State', 'Tulane']",OK
Brett Nezat,https://247sports.com/player/brett-nezat-46053350,PRO ,0.8410," Saraland (Saraland, AL)    ","['Arkansas State', 'Central Michigan', 'Eastern Illinois', 'Eastern Kentucky', 'Georgia State', 'Idaho', 'Murray State', 'North Alabama', 'South Alabama', 'Toledo', 'West Georgia', 'William & Mary', 'Southern Miss', 'Vanderbilt']",AL
Larenz Deshazor,https://247sports.com/player/larenz-deshazor-89302,ATH ,0.8375," College of the Canyons (Valencia, CA)    ",['Arkansas State'],CA
Corey Rucker,https://247sports.com/player/corey-rucker-46085421,WR ,0.8361," Yazoo County (Yazoo City, MS)    ","['Arkansas State', 'Austin Peay', 'Central Arkansas', 'Jackson State', 'Louisiana-Monroe', 'South Alabama']",MS
Kenneth Harris,https://247sports.com/player/kenneth-harris-46082699,CB ,0.8299," Caldwell Parish (Columbia, LA)    ","['Arkansas State', 'Louisiana-Monroe', 'Eastern Kentucky', 'Grambling State', 'Henderson State', 'Memphis', 'Minnesota', 'Northeastern State', 'Southern University']",LA
Javar Strong,https://247sports.com/player/javar-strong-46085009,S ,0.8274," Muscle Shoals  (Muscle Shoals, AL)  ","['Arkansas State', 'Memphis', 'Nebraska', 'Tennessee Tech', 'Western Kentucky']",AL
Israel Whitmore,https://247sports.com/player/israel-whitmore-46053898,OLB ,0.8273," Choctaw County (Ackerman, MS)    ","['Arkansas State', 'Austin Peay', 'Southern Miss']",MS
Trevian Thomas,https://247sports.com/player/trevian-thomas-46057114,S ,0.8192," Americus Sumter County South (Americus, GA)  ","['Arkansas State', 'Akron', 'Arkansas', 'Georgia Southern', 'Georgia State', 'Liberty', 'South Alabama', 'Tulane', 'Western Kentucky']",GA
Fred Hervey,https://247sports.com/player/fred-hervey-46085300,OLB ,0.8141," East Mississippi C.C. (Scooba, MS)    ","['Arkansas State', 'Louisiana-Monroe', 'Southern Miss']",MS
Vidal Scott,https://247sports.com/player/vidal-scott-46085731,DT ,0.8087," Hinds C.C. (Raymond, MS)  ","['Arkansas State', 'South Alabama', 'Austin Peay', 'UAB']",MS
Kyle Kelly,https://247sports.com/player/kyle-kelly-46085234,OT ,0.8064," Mill Valley (Shawnee, KS)    ","['Arkansas State', 'Eastern Kentucky', 'Missouri State', 'South Dakota State', 'Western Illinois']",KS
Ahmad Adams,https://247sports.com/player/ahmad-adams-46058181,ATH ,0.8010," Bryant (Bryant, AR)    ","['Arkansas State', 'Austin Peay', 'Grambling State', 'Illinois State']",AR
Noah Smith,https://247sports.com/player/noah-smith-46085114,OT ,0.8010," Locust Fork (Logan, AL)  ",['Arkansas State'],AL
TJ Ficklin,https://247sports.com/player/tj-ficklin-46086603,S ,0.8000," Mississippi Gulf Coast C.C. (Perkinston, MS)    ","['Arkansas State', 'Mississippi Valley State', 'North Alabama', 'South Alabama']",MS
Quinton Lee,https://247sports.com/player/quinton-lee-46043791,WDE ,0.7900," Northeastern Oklahoma A&M (Miami, OK)    ","['Arkansas State', 'Central Michigan', 'Eastern Michigan']",OK
Kideam Diouf,https://247sports.com/player/kideam-diouf-46099397,OT ,0.7700," College of the Canyons (Valencia, CA)  ",['Arkansas State'],CA
Lincoln Pare,https://247sports.com/player/lincoln-pare-46085315,RB ,0.7580," Houston (Germantown, TN)  ","['Arkansas State', 'Austin Peay', 'Colgate', 'Dartmouth', 'Eastern Kentucky', 'Harding University', 'Mercer', 'North Alabama', 'Richmond', 'UT Martin']",TN
CJ Harris,https://247sports.com/player/cj-harris-46038241,OLB ,NA," Highland C.C. (Highland, KS)    ",['Arkansas State'],KS
Deris Jackson,https://247sports.com/player/deris-jackson-46084988,DT ,0.8241," Lausanne Collegiate School (Memphis, TN)  ","['Arkansas State', 'Chattanooga', 'Eastern Kentucky', 'Liberty', 'Memphis', 'Middle Tennessee State', 'Murray State', 'Southern Miss', 'Tulane', 'UAB', 'Western Illinois']",TN
