name,url,position,score,hometown,offers,state
Connor Finucane,https://247sports.com/player/connor-finucane-46050477,OG ,0.8308," Catholic (Baton Rouge, LA)    ","['Army', 'Louisiana Tech', 'Air Force', 'Charlotte', 'Kansas', 'Louisiana', 'Louisiana-Monroe', 'Nicholls State', 'Ohio', 'Rice', 'South Alabama', 'Southeastern Louisiana', 'Troy', 'Tulane', 'Alabama', 'SMU']",LA
Miles Stewart,https://247sports.com/player/miles-stewart-46059253,RB ,0.8098," Lusher Charter School (New Orleans, LA)    ","['Army', 'Alcorn State', 'Lamar', 'McNeese State', 'Navy', 'Northwestern State', 'Southeastern Louisiana', 'Stephen F. Austin', 'Kentucky']",LA
Collin Guggenheim,https://247sports.com/player/collin-guggenheim-46053367,DUAL ,0.7697," John Curtis (New Orleans, LA)    ","['Army', 'Nicholls State', 'Southeastern Louisiana']",LA
Grayson Gilder,https://247sports.com/player/grayson-gilder-46096411,SDE ,0.7697," Blessed Trinity Catholic (Roswell, GA)    ","['Army', 'Pennsylvania']",GA
Isaac Hurtado,https://247sports.com/player/isaac-hurtado-46055332,ATH ,0.8477," Cypress (Cypress, CA)    ","['Army', 'Brigham Young', 'Colorado', 'Colorado State', 'Nevada', 'Oregon State', 'San Jose State', 'Washington State', 'UCLA']",CA
David Hoyt,https://247sports.com/player/david-hoyt-46082027,OT ,0.8464," Tampa Catholic (Tampa, FL)  ","['Army', 'Louisville', 'Buffalo', 'Illinois', 'Rutgers', 'Southern Miss', 'Western Kentucky']",FL
Jackson Powell,https://247sports.com/player/jackson-powell-46080281,WDE ,0.8315," Buford (Buford, GA)    ","['Army', 'Air Force', 'Appalachian State', 'Ball State', 'Bowling Green', 'Coastal Carolina', 'Georgia Southern', 'Georgia State', 'Liberty', 'Louisville', 'Memphis', 'Middle Tennessee State', 'Pittsburgh', 'Syracuse', 'Troy', 'Virginia Tech']",GA
Andre Miller,https://247sports.com/player/andre-miller-46079364,SDE ,0.8204," Savannah Country Day School (Savannah, GA)    ","['Army', 'Akron', 'Appalachian State', 'Charleston Southern', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'Colorado', 'East Tennessee State', 'FIU', 'Florida Atlantic', 'Liberty', 'Mercer', 'Navy', 'Samford', 'Savannah State', 'Southern Miss', 'Stetson', 'Tusculum', 'Western Carolina', 'Wofford']",GA
Brian Burton,https://247sports.com/player/brian-burton-46079318,ILB ,0.8114," Midway (Waco, TX)    ","['Army', 'Rutgers']",TX
Aaron Adams,https://247sports.com/player/aaron-adams-46086921,APB ,0.8111," Suncoast (West Palm Beach, FL)  ",['Army'],FL
Raleigh Oxendine,https://247sports.com/player/raleigh-oxendine-46086920,DT ,0.8111," Jesuit (Tampa, FL)  ","['Army', 'Columbia', 'Dartmouth', 'Furman', 'Harvard', 'Jacksonville']",FL
Javon Ellis,https://247sports.com/player/javon-ellis-46086918,S ,0.8111," Phillips Academy (Chicago, IL)  ",['Army'],IL
Tommy Zitiello,https://247sports.com/player/tommy-zitiello-46086924,S ,0.8111," Ponte Vedra (Ponte Vedra Beach, FL)  ","['Army', 'Colgate', 'Columbia', 'Cornell', 'Holy Cross', 'Navy', 'The Citadel']",FL
Aidan Gaines,https://247sports.com/player/aidan-gaines-83300,OC ,0.8104," Rome (Rome, GA)    ","['Army', 'Air Force', 'Coastal Carolina', 'Florida Atlantic', 'Georgia Southern', 'North Carolina']",GA
Cori Lewis,https://247sports.com/player/cori-lewis-46080061,WR ,0.7998," Bishop Kelley (Tulsa, OK)    ",['Army'],OK
Isaiah Gavin,https://247sports.com/player/isaiah-gavin-46081204,WR ,0.7998," St. Thomas Aquinas (Lenexa, KS)    ","['Army', 'Indiana State', 'Kansas']",KS
Austin Hill,https://247sports.com/player/austin-hill-46053050,ILB ,0.7982," Evangelical Christian (Cordova, TN)    ","['Army', 'Austin Peay', 'Brown', 'Dartmouth', 'Eastern Kentucky', 'Furman', 'Harvard', 'Jackson State', 'Jacksonville State', 'Mercer', 'Southeast Missouri State', 'Southern Miss', 'UT Martin', 'Yale', 'Cincinnati', 'Kentucky', 'Louisiana-Monroe', 'Memphis', 'Purdue', 'Vanderbilt', 'Wake Forest']",TN
Jacob Mitchell,https://247sports.com/player/jacob-mitchell-46084941,OLB ,0.7982," Centennial (Corona, CA)    ","['Army', 'Air Force', 'Columbia', 'Nevada', 'Stanford', 'Utah State', 'Washington State', 'Wyoming']",CA
Charlie Cole,https://247sports.com/player/charlie-cole-46076949,ATH ,0.7953," Daniel Boone (Johnson City, TN)    ","['Army', 'Air Force', 'Navy', 'Tulane', 'Georgia Tech', 'South Carolina', 'Vanderbilt']",TN
Rodney Faulk,https://247sports.com/player/rodney-faulk-46086923,ILB ,0.7953," Gonzaga  (Washington, DC)  ","['Army', 'Central Michigan', 'Holy Cross', 'Howard', 'Navy', 'New Hampshire']",DC
Hamilton Baker,https://247sports.com/player/hamilton-baker-46082431,OLB ,0.7953," Daphne (Daphne, AL)  ","['Army', 'Austin Peay', 'Central Michigan', 'South Alabama', 'Troy']",AL
Bryant Burns,https://247sports.com/player/bryant-burns-46056516,TE ,0.7942," Ozark (Ozark, AR)    ","['Army', 'Appalachian State', 'Arkansas Tech', 'Henderson State', 'Ouachita Baptist University', 'Arkansas', 'Memphis']",AR
Terrell Taylor,https://247sports.com/player/terrell-taylor-46054082,S ,0.7942," Paramount (Paramount, CA)    ","['Army', 'Utah State', 'Fresno State']",CA
Delshawn Traylor,https://247sports.com/player/delshawn-traylor-46081569,ATH ,0.7932," Helix (La Mesa, CA)    ","['Army', 'Columbia', 'San Diego', 'Southwest Minnesota State', 'William & Mary']",CA
Donovan Anthony,https://247sports.com/player/donovan-anthony-46086418,DUAL ,0.7902," Washington-Wilkes (Washington, GA)  ","['Army', 'Mississippi Valley State']",GA
Bryson Daily,https://247sports.com/player/bryson-daily-46086306,ATH ,0.7897," Abernathy (Abernathy, TX)    ","['Army', 'Abilene Christian', 'Harvard', 'Incarnate Word', 'Princeton', 'Stephen F. Austin', 'West Texas A&M', 'Yale']",TX
Brandon Jones,https://247sports.com/player/brandon-jones-46086916,WR ,0.7892," Catholic (Virginia Beach, VA)  ","['Army', 'Columbia', 'Florida Atlantic', 'Georgetown', 'Howard', 'Liberty', 'Navy', 'Pennsylvania']",VA
