name,url,position,score,hometown,offers,state
Tank Bigsby,https://247sports.com/player/tank-bigsby-46039679,RB ,0.9817," Callaway (Hogansville, GA)                    ",,GA
Zykeivous Walker,https://247sports.com/player/zykeivous-walker-46052973,SDE ,0.9651," Schley County (Ellaville, GA)                    ",,GA
Kobe Hudson,https://247sports.com/player/kobe-hudson-46037859,WR ,0.9513," Troup County (Lagrange, GA)                    ",,GA
Ladarius Tennison,https://247sports.com/player/ladarius-tennison-46039703,ATH ,0.9287," Rockledge (ROCKLEDGE, FL)                    ",,FL
Chris Thompson Jr.,https://247sports.com/player/chris-thompson-jr-46041974,S ,0.9216," Duncanville (Duncanville, TX)                    ",,TX
Romello Height,https://247sports.com/player/romello-height-46080260,OLB ,0.8884," Dublin (Dublin, GA)                    ",,GA
Kilian Zierer,https://247sports.com/player/kilian-zierer-46083297,OT ,0.8818," College of the Canyons (Valencia, CA)                    ",,CA
Avery Jernigan,https://247sports.com/player/avery-jernigan-46051590,OG ,0.8797," Pierce County (Blackshear, GA)                    ",,GA
Tate Johnson,https://247sports.com/player/tate-johnson-46050150,OG ,0.8784," Callaway (Hogansville, GA)                    ",,GA
Chayil Garnett,https://247sports.com/player/chayil-garnett-46052903,DUAL ,0.8643," Lakeland (Lakeland, FL)                    ",,FL
Wesley Steiner,https://247sports.com/player/wesley-steiner-46058419,ILB ,0.9561," Houston County (Warner Robins, GA)                  ","['Auburn', 'Georgia Tech', 'LSU', 'Alabama', 'Georgia Southern', 'Kentucky', 'Michigan State', 'Ole Miss', 'Stanford']",GA
Jay Hardy,https://247sports.com/player/jay-hardy-46058734,DT ,0.9551," McCallie School (Chattanooga, TN)    ","['Auburn', 'Georgia Tech', 'Tennessee', 'Alabama', 'Arizona', 'Arkansas', 'Charlotte', 'Chattanooga', 'Duke', 'FIU', 'Florida', 'Georgia', 'Georgia State', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Mississippi State', 'North Carolina', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Penn State', 'South Carolina', 'Stanford', 'TCU', 'Texas A&M', 'Texas Tech', 'Tulane', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Western Kentucky']",TN
Ze'Vian Capers,https://247sports.com/player/zevian-capers-46048383,WR ,0.9393," Denmark (Alpharetta, GA)                  ","['Auburn', 'South Carolina', 'Arkansas', 'Boston College', 'Clemson', 'Duke', 'East Carolina', 'Florida', 'Georgia Tech', 'Louisville', 'Michigan State', 'Missouri', 'North Carolina', 'Pittsburgh', 'Purdue', 'Syracuse', 'Tennessee', 'Virginia', 'Virginia Tech', 'West Virginia', 'Florida State', 'Georgia', 'NC State', 'Notre Dame', 'Ohio State', 'Vanderbilt']",GA
J.J. Evans,https://247sports.com/player/j-j-evans-46058728,WR ,0.9289," Montevallo (Montevallo, AL)                  ","['Auburn', 'Alabama', 'Arkansas', 'Clemson', 'Georgia', 'Georgia Tech', 'Indiana', 'Liberty', 'LSU', 'Memphis', 'Mississippi State', 'Ole Miss', 'Tennessee', 'Texas A&M', 'Troy', 'UAB', 'USC', 'Virginia', 'Virginia Tech', 'Nebraska']",AL
Eric Reed,https://247sports.com/player/eric-reed-46051807,S ,0.9236," Calvary Baptist Academy (Shreveport, LA)                  ","['Auburn', 'Georgia', 'Ole Miss', 'Colorado', 'Duke', 'Kentucky', 'Louisiana Tech', 'LSU', 'Notre Dame', 'Southern Miss', 'TCU', 'Virginia', 'West Virginia', 'Alabama', 'Arizona State', 'Arkansas', 'Indiana', 'Michigan']",LA
Jeremiah Pegues,https://247sports.com/player/jeremiah-pegues-46038960,ATH ,0.9166," Oxford (Oxford, MS)                  ","['Auburn', 'Alabama', 'Ole Miss', 'Kansas', 'LSU', 'Mississippi State', 'South Carolina', 'Southern Miss', 'Georgia', 'Nebraska']",MS
Desmond Tisdol,https://247sports.com/player/desmond-tisdol-46079934,ILB ,0.9107," Wilcox County (Rochelle, GA)    ","['Auburn', 'FIU', 'Florida', 'Georgia Southern', 'Georgia State', 'Georgia Tech', 'Kentucky', 'Mercer', 'Ole Miss', 'South Carolina', 'Tennessee', 'UCF', 'USF', 'Western Kentucky', 'Florida State', 'Georgia', 'North Carolina']",GA
Deandre Butler,https://247sports.com/player/deandre-butler-46052396,SDE ,0.9045," Independence C.C. (Independence, KS)  ","['Auburn', 'Maryland', 'Oklahoma', 'Akron', 'Arizona', 'Baylor', 'Colorado', 'Iowa State', 'Kent State', 'Liberty', 'Mississippi State', 'Nebraska', 'Ole Miss', 'Oregon', 'Oregon State', 'Purdue', 'Rutgers', 'Southern Miss', 'Tennessee', 'Texas Tech', 'Virginia', 'Florida State', 'Georgia State']",KS
