name,url,position,score,hometown,offers,state
Qian Magwood,https://247sports.com/player/qian-magwood-46057814,WR ,0.8525," Walnut Ridge (Columbus, OH)    ","['Ball State', 'Cincinnati', 'Eastern Kentucky', 'Kent State', 'Miami (OH)', 'Toledo', 'Youngstown State', 'Michigan', 'Ohio State', 'Penn State', 'Penn State']",OH
Latrell Fordham,https://247sports.com/player/latrell-fordham-46049008,ATH ,0.8287," Davison (Davison, MI)    ","['Ball State', 'Central Michigan', 'Morgan State']",MI
Brayden Evans,https://247sports.com/player/brayden-evans-46085602,S ,0.8254," Mooresville (Mooresville, IN)    ",['Ball State'],IN
Joshua Tarango,https://247sports.com/player/joshua-tarango-46040504,DT ,0.8250," Fullerton College (Fullerton, CA)  ","['Ball State', 'Southern Miss']",CA
Donovan Marcus,https://247sports.com/player/donovan-marcus-46056304,RB ,0.8227," Brownsburg (Brownsburg, IN)    ","['Ball State', 'Central Michigan', 'Miami (OH)', 'Northern Illinois', 'Indiana', 'Northwestern', 'Purdue']",IN
Mark Brownlee,https://247sports.com/player/mark-brownlee-46081546,RB ,0.8212," Elkhart Central (Elkhart, IN)    ",['Ball State'],IN
Tommy Lorincz,https://247sports.com/player/tommy-lorincz-46081137,OT ,0.8140," Avon (Avon, OH)    ","['Ball State', 'Akron', 'Bowling Green', 'Eastern Michigan', 'Toledo', 'Air Force', 'Cincinnati', 'Indiana', 'Kentucky', 'Miami (OH)', 'Pittsburgh']",OH
Dalton Elrod,https://247sports.com/player/dalton-elrod-46083937,ILB ,0.8126," Arrowhead (Hartland, WI)  ","['Ball State', 'Bowling Green', 'Eastern Illinois', 'Miami (OH)', 'Navy', 'South Dakota', 'South Dakota State', 'Western Illinois']",WI
Nate Pedraza,https://247sports.com/player/nate-pedraza-46076836,SDE ,0.8030," Rolling Meadows (Rolling Meadows, IL)  ","['Ball State', 'Bowling Green', 'Indiana State']",IL
Nathan Reichert,https://247sports.com/player/nathan-reichert-46085597,SDE ,0.8023," Indian Lake (Lewistown, OH)  ","['Ball State', 'Air Force', 'Colgate', 'Lafayette', 'Morehead State']",OH
Aaron Porter,https://247sports.com/player/aaron-porter-46085671,OG ,0.7989," Truman (Independence, MO)  ","['Ball State', 'Northwest Missouri State']",MO
Justin Campbell,https://247sports.com/player/justin-campbell-46097901,WR ,0.7984," Johns Creek (Alpharetta, GA)  ","['Ball State', 'Alabama State', 'Central Michigan', 'Chattanooga', 'Mississippi Valley State', 'UCF']",GA
Julian McBride,https://247sports.com/player/julian-mcbride-46080473,DT ,0.7976," Chaminade College Prep (Saint Louis, MO)  ","['Ball State', 'Buffalo', 'Dartmouth', 'Eastern Illinois', 'Indiana State', 'Liberty', 'South Dakota', 'Southeast Missouri State', 'Southern Illinois', 'Toledo', 'UT Martin', 'Western Michigan']",MO
Kevin Meeder,https://247sports.com/player/kevin-meeder-46097154,OT ,0.7944," Seneca Valley (Harmony, PA)  ","['Ball State', 'Akron', 'Bowling Green', 'Bryant', 'Buffalo', 'Central Michigan', 'Colorado State', 'Fordham', 'Massachusetts', 'Monmouth', 'Ohio', 'Robert Morris', 'Toledo', 'Youngstown State']",PA
Ryan Lezon,https://247sports.com/player/ryan-lezon-46084948,ATH ,0.7859," Southport (Indianapolis, IN)  ","['Ball State', 'Western Illinois']",IN
Keionte Newson,https://247sports.com/player/keionte-newson-46085317,OLB ,0.7848," Blackman (Murfreesboro, TN)    ","['Ball State', 'UTSA', 'Air Force', 'Austin Peay', 'East Tennessee State', 'Illinois State', 'Western Illinois']",TN
Ethan Crowe,https://247sports.com/player/ethan-crowe-46093620,OC ,0.7834," Center Grove (Greenwood, IN)  ","['Ball State', 'Illinois State', 'Indiana State', 'Jacksonville State', 'UT Martin', 'Western Illinois', 'Clemson']",IN
Corey Stewart,https://247sports.com/player/corey-stewart-46076593,OT ,0.7827," East Nashville Magnet School (Nashville, TN)  ","['Ball State', 'Alabama A&M', 'Austin Peay', 'Southeast Missouri State', 'Kentucky']",TN
Austin Hill,https://247sports.com/player/austin-hill-46085330,WR ,0.7806," Yorktown (Yorktown, IN)    ",['Ball State'],IN
Jack Blanco,https://247sports.com/player/jack-blanco-46097959,S ,0.7700," San Diego Mesa College (San Diego, CA)  ","['Ball State', 'Northern Arizona']",CA
Lucas Borrow,https://247sports.com/player/lucas-borrow-46099315,P ,0.7396," ProKick Australia (Australia, AUST)  ",['Ball State'],AU
