name,url,position,score,hometown,offers,state
James Sylvester,https://247sports.com/player/james-sylvester-46050111,WDE ,0.8975," Newton (Newton, TX)                    ",,TX
Taye McWilliams,https://247sports.com/player/taye-mcwilliams-46082573,RB ,0.8917," Lamar Consolidated (Rosenberg, TX)                    ",,TX
Mose Jeffery,https://247sports.com/player/mose-jeffery-46076913,OG ,0.8296," Kilgore J.C. (Kilgore, TX)                    ",,TX
Jahdae Barron,https://247sports.com/player/jahdae-barron-46082207,CB ,0.8933," Pflugerville Connally (Austin, TX)                  ","['Baylor', 'Oklahoma State', 'TCU', 'Arizona', 'Colorado State', 'Houston', 'Iowa State', 'Louisiana', 'Rutgers', 'Sam Houston State', 'SMU', 'Tennessee', 'Texas Southern', 'Texas State', 'Texas Tech']",TX
Drake Dabney,https://247sports.com/player/drake-dabney-46057795,TE ,0.8688," Cy Ranch (Cypress, TX)                  ","['Baylor', 'Arizona', 'Arizona State', 'Boston College', 'California', 'Houston', 'Iowa State', 'Kansas State', 'Louisiana', 'Louisville', 'Memphis', 'Minnesota', 'Missouri', 'Oklahoma State', 'Prairie View A&M', 'Purdue', 'Rice', 'SMU', 'South Carolina', 'Southern Miss', 'TCU', 'Texas State', 'Toledo', 'Tulane', 'Tulsa', 'Utah', 'UTSA', 'Vanderbilt']",TX
Blake Shapen,https://247sports.com/player/blake-shapen-46051801,PRO ,0.8643," Evangel Christian Academy (Shreveport, LA)    ","['Baylor', 'Arizona State', 'USC', 'Arizona', 'Arkansas State', 'Louisiana', 'Louisiana-Monroe', 'Ole Miss', 'Southern Miss', 'Tulane', 'UCLA', 'Louisiana Tech', 'LSU', 'SMU']",LA
Micah Mazzccua,https://247sports.com/player/micah-mazzccua-46056396,OG ,0.8608," St. Frances Academy (Baltimore, MD)    ","['Baylor', 'Michigan', 'Maryland', 'Syracuse', 'Temple', 'Virginia Tech']",MD
Will Garner,https://247sports.com/player/will-garner-46080837,OLB ,0.8580," Klein (Spring, TX)                  ","['Baylor', 'Houston', 'Houston Baptist', 'SMU', 'UTSA', 'Wyoming']",TX
Devin Neal,https://247sports.com/player/devin-neal-46051329,CB ,0.8530," Frederick Douglass (Lexington, KY)                  ","['Baylor', 'Cincinnati', 'Bowling Green', 'Eastern Michigan', 'Kentucky', 'Marshall']",KY
Mike Harris,https://247sports.com/player/mike-harris-46079953,CB ,0.8505," Central (Phenix City, AL)    ","['Baylor', 'Arkansas', 'Ole Miss', 'Alabama', 'Colorado', 'Jacksonville State', 'Louisville', 'LSU', 'Mississippi State', 'Nebraska', 'Southern Miss', 'Tennessee', 'Troy', 'UAB', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Youngstown State']",AL
Chateau Reed,https://247sports.com/player/chateau-reed-46085725,S ,0.8498," Lawton (Lawton, OK)    ","['Baylor', 'Central Oklahoma', 'Missouri Western State', 'Southwestern Oklahoma State']",OK
AJ McCarty,https://247sports.com/player/aj-mccarty-46085709,CB ,0.8478," Brownwood (Brownwood, TX)                  ","['Baylor', 'Tulsa']",TX
Anthony Anyanwu,https://247sports.com/player/anthony-anyanwu-46058248,WDE ,0.8464," Sachse (Sachse, TX)                  ","['Baylor', 'Lamar']",TX
Gavin Byers,https://247sports.com/player/gavin-byers-46052780,OG ,0.8431," Colleyville Heritage (Colleyville, TX)                  ","['Baylor', 'Arkansas', 'New Mexico', 'SMU', 'Syracuse', 'Texas Tech', 'Tulsa']",TX
Seth Jones,https://247sports.com/player/seth-jones-46050801,WR ,0.8416," Shadow Creek (Pearland, TX)                  ","['Baylor', 'Boston College', 'Colorado State', 'Houston', 'Houston Baptist', 'TCU', 'Texas A&M', 'Texas Southern', 'Tulane', 'Utah', 'Utah State', 'Michigan State', 'Northwestern', 'Notre Dame', 'Oklahoma State', 'Texas']",TX
Brooks Miller,https://247sports.com/player/brooks-miller-46051612,OLB ,0.8336," West Monroe (West Monroe, LA)                  ","['Baylor', 'Grambling State', 'Louisiana-Monroe', 'Alabama', 'LSU', 'Southern Miss', 'TCU']",LA
Alfahiym Walcott,https://247sports.com/player/alfahiym-walcott-46097986,CB ,0.8284," Butler C.C. (El Dorado, KS)    ","['Baylor', 'Auburn', 'SMU', 'Arkansas State', 'Louisiana Tech', 'Marshall', 'Southern Miss']",KS
