name,url,position,score,hometown,offers,state
LaTrell Caples,https://247sports.com/player/latrell-caples-46046561,WR ,0.8681," Lancaster (Lancaster, TX)    ","['Boise State', 'Missouri', 'Boston College', 'Bowling Green', 'Colorado', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Louisiana Tech', 'Nebraska', 'North Texas', 'Ole Miss', 'Syracuse', 'Utah', 'Washington State', 'Arkansas']",TX
Semaj Verner,https://247sports.com/player/semaj-verner-46080711,S ,0.8653," Mayfair (Lakewood, CA)    ","['Boise State', 'Colorado', 'Arizona State', 'Brigham Young', 'Colorado State', 'Fresno State', 'Hawaii', 'Nevada', 'New Mexico', 'Oregon', 'Oregon State', 'Pennsylvania', 'San Diego State', 'San Jose State', 'UC Davis', 'UCLA', 'USC', 'Utah State', 'Yale', 'UNLV']",CA
Herbert Gums,https://247sports.com/player/herbert-gums-46052348,DT ,0.8636," Diboll (Diboll, TX)    ","['Boise State', 'Stephen F. Austin', 'Arizona', 'Arkansas', 'Houston', 'Iowa State', 'Kansas State', 'Louisiana', 'LSU', 'Missouri', 'New Mexico', 'Sam Houston State', 'Texas Tech']",TX
Divine Obichere,https://247sports.com/player/divine-obichere-46096721,DT ,0.8600," Long Beach City College (Long Beach, CA)    ","['Boise State', 'Liberty', 'San Jose State', 'UTEP', 'UCLA']",CA
Brandon Hernandez,https://247sports.com/player/brandon-hernandez-46056920,OT ,0.8539," Yucaipa (Yucaipa, CA)    ","['Boise State', 'Arizona State', 'California', 'Colorado', 'Colorado State', 'Fresno State', 'New Mexico', 'Oregon', 'San Jose State', 'Utah State', 'Washington State', 'Brigham Young', 'Nevada', 'Oregon State', 'San Diego State', 'USC']",CA
Donovan Clark,https://247sports.com/player/donovan-clark-46048749,CB ,0.8538," Lincoln (Tacoma, WA)    ","['Boise State', 'Colorado', 'Oregon', 'Oregon State', 'Utah State', 'Washington State', 'Wyoming']",WA
Austin Bolt,https://247sports.com/player/austin-bolt-46080203,ATH ,0.8499," Borah Senior (Boise, ID)    ","['Boise State', 'Idaho', 'Idaho State', 'Montana', 'Montana State', 'UNLV', 'Utah State', 'Baylor', 'Oregon State', 'UCLA', 'Washington', 'Weber State']",ID
Rodney Robinson,https://247sports.com/player/rodney-robinson-46040955,CB ,0.8499," Cajon (San Bernardino, CA)    ","['Boise State', 'Washington State', 'Howard', 'Nevada', 'New Mexico', 'Oregon State', 'Princeton', 'San Diego State', 'UNLV', 'Wyoming', 'Yale', 'Oregon']",CA
Kyle Juergens,https://247sports.com/player/kyle-juergens-46081623,OG ,0.8390," St. Margaret's Episcopal School (San Juan Capistrano, CA)    ","['Boise State', 'USC', 'Arizona State', 'Brigham Young', 'Nevada', 'Northern Arizona', 'San Diego State', 'San Jose State', 'UNLV', 'UCLA']",CA
Robert Cooper,https://247sports.com/player/robert-cooper-46076906,SDE ,0.8365," Bethel (Spanaway, WA)    ","['Boise State', 'Hawaii', 'Oregon State', 'San Jose State', 'Utah', 'Utah State', 'Wyoming']",WA
Riden Leong,https://247sports.com/player/riden-leong-46086055,OT ,0.8358," Orange Coast College (Costa Mesa, CA)    ","['Boise State', 'Hawaii', 'Iowa State', 'Liberty', 'San Jose State', 'TCU', 'UTSA', 'Fresno State', 'USC']",CA
Nathan Cardona,https://247sports.com/player/nathan-cardona-46058809,OG ,0.8349," Yorba Linda (Yorba Linda, CA)    ","['Boise State', 'Air Force', 'Army', 'Colorado State', 'Fresno State', 'Hawaii', 'Illinois', 'New Mexico', 'San Diego State', 'San Jose State', 'UNLV', 'Utah State', 'Oregon State']",CA
Isaiah Bradford,https://247sports.com/player/isaiah-bradford-46081728,S ,0.8349," Redlands East Valley (Redlands, CA)  ","['Boise State', 'Colorado', 'Colorado State', 'San Jose State']",CA
Kaonohi Kaniho,https://247sports.com/player/kaonohi-kaniho-46046602,CB ,0.8349," Kahuku (Kahuku, HI)  ","['Boise State', 'Hawaii', 'UCLA', 'Utah', 'Washington']",HI
Shane Irwin,https://247sports.com/player/shane-irwin-90077,SDE ,0.8337," Long Beach City College (Long Beach, CA)    ","['Boise State', 'Liberty', 'New Mexico', 'San Jose State', 'UNLV', 'UTEP']",CA
Jonathan Earl,https://247sports.com/player/jonathan-earl-46098872,CB ,0.8284," Golden West College (Huntington Beach, CA)    ",['Boise State'],CA
Cole Wright,https://247sports.com/player/cole-wright-46098928,ATH ,0.8261," Carlsbad (Carlsbad, CA)    ","['Boise State', 'Cal Poly', 'Harvard', 'Hawaii', 'Idaho', 'Idaho State', 'New Mexico', 'Northern Arizona', 'Portland State', 'Princeton', 'South Dakota', 'UCF', 'UNLV', 'San Diego State', 'Stanford']",CA
Russell Corrigan,https://247sports.com/player/russell-corrigan-46080116,TE ,0.8160," Hutchinson Senior (Hutchinson, MN)    ","['Boise State', 'Air Force', 'Buffalo', 'Harvard', 'North Dakota', 'Northern Iowa', 'Princeton', 'South Dakota', 'South Dakota State', 'Wyoming', 'Iowa', 'Minnesota', 'North Dakota State']",MN
Cade Fennegan,https://247sports.com/player/cade-fennegan-46036946,DUAL ,0.7852," Woodrow Wilson (Dallas, TX)    ","['Boise State', 'Abilene Christian', 'New Mexico State', 'North Texas', 'Southern Miss', 'Stephen F. Austin', 'USC', 'Arizona', 'Arizona State', 'Boston College', 'Brigham Young', 'California', 'Colorado', 'Columbia', 'Duke', 'Michigan', 'Michigan State', 'Notre Dame', 'Ole Miss', 'Oregon', 'Oregon State', 'San Diego', 'San Diego State', 'Stanford', 'Utah', 'Washington', 'Washington State']",TX
