name,url,position,score,hometown,offers,state
Kevin Pyne,https://247sports.com/player/kevin-pyne-46036656,OT ,0.9022," Milford (Milford, MA)      ",,MA
Andre Hines Jr.,https://247sports.com/player/andre-hines-jr-46050659,RB ,0.8510," Erasmus Hall (Brooklyn, NY)      ",,NY
Taji Johnson,https://247sports.com/player/taji-johnson-94433,WR ,0.8431," Marietta (Marietta, GA)      ",,GA
Ozzy Trapilo,https://247sports.com/player/ozzy-trapilo-46076637,OT ,0.9242," Boston College (Boston, MA)      ","['Boston College', 'Connecticut', 'Dartmouth', 'Duke', 'Georgia Tech', 'Louisville', 'Massachusetts', 'Michigan', 'Nebraska', 'Northwestern', 'Princeton', 'Rutgers', 'Syracuse', 'Vanderbilt', 'Virginia', 'Wake Forest', 'Yale']",MA
Korey Smith,https://247sports.com/player/korey-smith-46047953,ILB ,0.8837," The Peddie School (Hightstown, NJ)    ","['Boston College', 'Colorado', 'Massachusetts', 'North Carolina', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Vanderbilt', 'Clemson', 'Indiana', 'LSU', 'Michigan', 'Minnesota', 'Penn State', 'Stanford', 'USC', 'Virginia', 'Virginia Tech', 'Wisconsin']",NJ
Charlie Gordinier,https://247sports.com/player/charlie-gordinier-46076876,TE ,0.8626," Red Bank Catholic (Red Bank, NJ)    ","['Boston College', 'East Carolina', 'East Carolina', 'LSU', 'Massachusetts', 'Pittsburgh', 'Rutgers', 'Syracuse', 'UCLA', 'Vanderbilt', 'Virginia', 'West Virginia', 'Penn State', 'Virginia']",NJ
Justin Bellido,https://247sports.com/player/justin-bellido-46053435,WR ,0.8538," Erasmus Hall (Brooklyn, NY)                  ","['Boston College', 'Minnesota', 'Florida Atlantic', 'Massachusetts', 'Rutgers', 'Syracuse', 'Temple', 'Penn State']",NY
Hans Lillis,https://247sports.com/player/hans-lillis-46082344,TE ,0.8477," Germantown Academy (Fort Washington, PA)    ","['Boston College', 'Bryant', 'Colgate', 'Fordham', 'Pennsylvania', 'Robert Morris', 'Stony Brook']",PA
Dwayne Allick Jr.,https://247sports.com/player/dwayne-allick-jr-46081802,OG ,0.8464," DeMatha Catholic (Hyattsville, MD)                  ","['Boston College', 'Florida', 'Illinois', 'LSU', 'Massachusetts', 'NC State', 'Rutgers']",MD
Kameron Arnold,https://247sports.com/player/kameron-arnold-46052678,ATH ,0.8416," St. Mary's (West Bloomfield, MI)    ","['Boston College', 'Air Force', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cornell', 'Dartmouth', 'Eastern Michigan', 'Harvard', 'Holy Cross', 'Illinois State', 'Iowa State', 'Miami (OH)', 'Temple', 'Toledo', 'Western Illinois', 'Western Michigan', 'Youngstown State', 'Indiana', 'Kentucky']",MI
Jason Scott,https://247sports.com/player/jason-scott-46054758,CB ,0.8410," Our Lady Good Counsel HS (Olney, MD)    ","['Boston College', 'Air Force', 'Army', 'Buffalo', 'Campbell', 'East Carolina', 'Kent State', 'Louisville', 'Massachusetts', 'Michigan State', 'Princeton', 'Rutgers', 'Temple', 'Vanderbilt', 'West Virginia', 'Yale']",MD
Cameron Horsley,https://247sports.com/player/cameron-horsley-46081377,DT ,0.8336," Cinnaminson (Riverton, NJ)    ","['Boston College', 'Buffalo', 'Central Michigan', 'Connecticut', 'Kent State', 'Old Dominion', 'Rutgers', 'Temple', 'Wake Forest', 'Western Michigan', 'Fordham', 'Minnesota', 'Penn State', 'Pittsburgh', 'Syracuse']",NJ
Matthew Rueve,https://247sports.com/player/matthew-rueve-46084984,PRO ,0.8227," St. Xavier (Cincinnati, OH)    ","['Boston College', 'Akron', 'Kent State', 'Western Kentucky']",OH
Jiovanny Holmes,https://247sports.com/player/jiovanny-holmes-46057800,S ,0.8208," Cleveland Heights (Cleveland, OH)    ","['Boston College', 'Akron', 'Cincinnati', 'Eastern Kentucky', 'Kent State', 'Massachusetts', 'Rutgers']",OH
Denzel Blackwell,https://247sports.com/player/denzel-blackwell-46057756,CB ,0.8192," Strake Jesuit (Houston, TX)    ","['Boston College', 'Baylor', 'Dartmouth', 'Houston Baptist', 'Louisiana-Monroe', 'Temple', 'Boston College', 'Houston', 'Oklahoma State']",TX
