name,url,position,score,hometown,offers,state
Deshawn Jones,https://247sports.com/player/deshawn-jones-46056373,CB ,0.8579," East (Akron, OH)    ","['Bowling Green', 'Cincinnati', 'Akron', 'Central Michigan', 'Eastern Michigan', 'Indiana', 'Kent State', 'Liberty', 'Massachusetts', 'Michigan', 'Minnesota', 'Ohio', 'Penn State', 'Rutgers', 'Toledo', 'Western Michigan']",OH
Tucker Melton,https://247sports.com/player/tucker-melton-46054413,PRO ,0.8484," Central (Phenix City, AL)                    ","['Bowling Green', 'Akron', 'Arkansas State', 'Chattanooga', 'Eastern Kentucky', 'South Alabama', 'Southern Miss', 'Troy', 'UAB', 'UTSA', 'Youngstown State', 'Georgia']",AL
Billie Roberts,https://247sports.com/player/billie-roberts-46050244,WDE ,0.8471," Muskegon (Muskegon, MI)    ","['Bowling Green', 'Alabama A&M', 'Boston College', 'Buffalo', 'Indiana', 'Kentucky', 'Michigan State', 'Minnesota', 'Pittsburgh', 'Purdue', 'Syracuse', 'Tennessee', 'Toledo', 'Western Michigan']",MI
Levi Gazarek,https://247sports.com/player/levi-gazarek-46081292,TE ,0.8418," North Baltimore (North Baltimore, OH)    ","['Bowling Green', 'Ball State', 'Central Michigan', 'Charlotte', 'Connecticut', 'Eastern Michigan', 'Fordham', 'Kent State', 'Maryland', 'Michigan State', 'Yale']",OH
Javonte Kinsey,https://247sports.com/player/javonte-kinsey-46051383,WR ,0.8402," Sandalwood (Jacksonville, FL)  ","['Bowling Green', 'Connecticut', 'Campbell', 'Charlotte', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'East Carolina', 'FIU', 'Florida Atlantic', 'South Alabama', 'Southern Miss', 'Troy', 'UAB', 'USF']",FL
Elijah Eberhardt,https://247sports.com/player/elijah-eberhardt-46052930,CB ,0.8395," Princeton (Cincinnati, OH)    ","['Bowling Green', 'Central Michigan', 'Eastern Illinois', 'Liberty', 'Western Michigan', 'Cincinnati', 'Indiana', 'Kentucky', 'Memphis', 'Michigan State', 'Ohio State', 'Penn State', 'Pittsburgh', 'Vanderbilt']",OH
Riley Keller,https://247sports.com/player/riley-keller-46036247,PRO ,0.8308," Whitmer (Toledo, OH)    ","['Bowling Green', 'Iowa State', 'Northern Illinois', 'Ole Miss', 'Toledo', 'West Virginia', 'Western Michigan', 'Michigan State', 'Ohio State', 'Pittsburgh']",OH
Griffin Little,https://247sports.com/player/griffin-little-46083590,TE ,0.8269," Homestead (Fort Wayne, IN)    ","['Bowling Green', 'Air Force', 'Ball State', 'Central Michigan', 'Cornell', 'Illinois State', 'Indiana State', 'Northern Illinois', 'Tulane', 'Western Illinois', 'Yale', 'Youngstown State', 'Indiana', 'Louisville', 'Ohio State', 'Purdue', 'Toledo', 'Western Michigan']",IN
Jordan Porter,https://247sports.com/player/jordan-porter-46084579,SDE ,0.8255," Muskegon (Muskegon, MI)  ","['Bowling Green', 'Air Force', 'Buffalo', 'Saginaw Valley State', 'Western Michigan']",MI
Aaron Washington,https://247sports.com/player/aaron-washington-46052096,ILB ,0.8200," Woodward Academy (Atlanta, GA)    ","['Bowling Green', 'Air Force', 'Appalachian State', 'Buffalo', 'Central Michigan', 'Coastal Carolina', 'Columbia', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Kent State', 'Liberty', 'Marshall', 'Mercer', 'South Alabama', 'Tulane', 'Western Kentucky', 'Georgia Tech']",GA
Trent Simms,https://247sports.com/player/trent-simms-46081812,ATH ,0.8173," Sylvania Northview (Sylvania, OH)  ","['Bowling Green', 'Ball State', 'Eastern Kentucky', 'Western Michigan']",OH
Terion Stewart,https://247sports.com/player/terion-stewart-46058752,RB ,0.8153," Sandusky (Sandusky, OH)    ","['Bowling Green', 'Cincinnati', 'Michigan State', 'Toledo']",OH
Dontrez Brown,https://247sports.com/player/dontrez-brown-46082362,DT ,0.8126," Fremont Ross (Fremont, OH)  ","['Bowling Green', 'Ball State', 'Eastern Michigan', 'Western Michigan']",OH
Charles Rosser,https://247sports.com/player/charles-rosser-46083431,WR ,0.8118," Benedictine (Cleveland, OH)    ","['Bowling Green', 'Akron', 'Findlay', 'Rutgers', 'Ashland University']",OH
Jeremiah Banks-Wall,https://247sports.com/player/jeremiah-banks-wall-46076878,OT ,0.8114," Montini Catholic (Lombard, IL)  ","['Bowling Green', 'Arkansas State', 'Eastern Illinois', 'Illinois State', 'Southern Illinois', 'Syracuse']",IL
Gabe Brown,https://247sports.com/player/gabe-brown-46093577,OG ,0.8065," East Kentwood (Grand Rapids, MI)  ",['Bowling Green'],MI
Marcus Sheppard,https://247sports.com/player/marcus-sheppard-46057030,CB ,0.8059," Detroit Country Day (Franklin, MI)  ","['Bowling Green', 'Alabama A&M', 'Eastern Kentucky', 'Indiana State', 'Kent State', 'Morgan State', 'Western Illinois']",MI
Jalen Grant,https://247sports.com/player/jalen-grant-46080188,OG ,0.8053," Mount Carmel (Chicago, IL)  ","['Bowling Green', 'Army', 'Ball State', 'Eastern Illinois', 'Eastern Kentucky', 'Fordham', 'Illinois State', 'Navy', 'New Mexico State', 'South Dakota', 'South Dakota State', 'Southern Illinois', 'UT Martin', 'Western Illinois', 'Wyoming']",IL
Joey Formani,https://247sports.com/player/joey-formani-46084036,RB ,0.8041," St. Edward (Lakewood, OH)      ","['Bowling Green', 'Akron', 'Youngstown State']",OH
Brian Kilbane Jr,https://247sports.com/player/brian-kilbane-jr-46078762,OT ,0.8041," St. Edward (Lakewood, OH)    ","['Bowling Green', 'Akron', 'Ball State', 'Buffalo', 'Cincinnati', 'Colorado State', 'Connecticut', 'Eastern Michigan', 'Indiana', 'Kent State', 'Marshall', 'Ohio', 'Rutgers', 'Toledo', 'Western Michigan', 'Youngstown State', 'Michigan State']",OH
Adrian Wilson,https://247sports.com/player/adrian-wilson-46056496,WDE ,0.7963," Lincoln-Way East (Frankfort, IL)  ","['Bowling Green', 'Ball State', 'North Dakota State', 'South Dakota', 'Yale', 'Illinois']",IL
Fortune Woods,https://247sports.com/player/fortune-woods-46085675,OLB ,0.7953," George Rogers Clark (Whiting, IN)    ",['Bowling Green'],IN
Matt Fortner,https://247sports.com/player/matt-fortner-46084256,OG ,0.7915," Sylvania Northview (Sylvania, OH)  ",['Bowling Green'],OH
Myles Williamson,https://247sports.com/player/myles-williamson-46056382,CB ,0.7897," Westerville Central (Westerville, OH)  ","['Bowling Green', 'Miami (OH)', 'Ohio State', 'Toledo']",OH
JB Brown,https://247sports.com/player/jb-brown-46085932,OLB ,0.7797," Har-Ber (Springdale, AR)  ",['Bowling Green'],AR
Shon Strickland,https://247sports.com/player/shon-strickland-46097563,WR ,0.7797," Reynoldsburg (Reynoldsburg, OH)  ",['Bowling Green'],OH
Anthony Hawkins,https://247sports.com/player/anthony-hawkins-46083414,DT ,0.7797," Mansfield (Mansfield, OH)  ","['Bowling Green', 'Ball State']",OH
Alexander Wollschlaeger,https://247sports.com/player/alexander-wollschlaeger-46083673,OT ,0.7791," Oswego East (Oswego, IL)    ","['Bowling Green', 'Eastern Michigan', 'Fordham', 'Harvard', 'Holy Cross', 'Illinois State', 'North Dakota', 'South Dakota State', 'Southern Illinois', 'Western Michigan']",IL
Jhaylin Embry,https://247sports.com/player/jhaylin-embry-46097562,WR ,0.7741," Sandalwood (Jacksonville, FL)  ",['Bowling Green'],FL
Bryce Boyer,https://247sports.com/player/bryce-boyer-46085208,TE ,0.7697," Anthony Wayne (Whitehouse, OH)  ",['Bowling Green'],OH
Jaylen Lawson,https://247sports.com/player/jaylen-lawson-46083302,ATH ,0.7697," Lafayette (Lexington, KY)  ","['Bowling Green', 'Kentucky']",KY
Torrance Farmer Jr.,https://247sports.com/player/torrance-farmer-jr-46085209,RB ,0.7935," Har-Ber (Springdale, AR)  ",['Bowling Green'],AR
