name,url,position,score,hometown,offers,state
Kody Epps,https://247sports.com/player/kody-epps-46041310,WR ,0.8625," Mater Dei (Santa Ana, CA)    ","['Brigham Young', 'Nevada', 'Oregon', 'San Jose State', 'UNLV', 'Utah State', 'Wyoming', 'Hawaii', 'Oregon State', 'USC', 'Washington', 'Washington']",CA
Bodie Schoonover,https://247sports.com/player/bodie-schoonover-46058717,OLB ,0.8586," American Fork (American Fork, UT)  ","['Brigham Young', 'UCLA', 'Nebraska', 'Utah', 'Utah State']",UT
Sol-Jay Maiava,https://247sports.com/player/sol-jay-maiava-94461,DUAL ,0.8521," St. John's (Washington, DC)    ","['Brigham Young', 'Fresno State', 'Hawaii', 'Liberty', 'Michigan', 'Oregon', 'Purdue', 'Utah', 'Utah State', 'Virginia', 'Penn State', 'Washington']",DC
Tate Romney,https://247sports.com/player/tate-romney-46055994,OLB ,0.8518," Chandler (Chandler, AZ)  ","['Brigham Young', 'Arizona', 'California', 'Colorado', 'Kansas State', 'Memphis', 'Utah', 'Vanderbilt', 'Washington State', 'Yale']",AZ
Isaiah Tupou,https://247sports.com/player/isaiah-tupou-46083581,OG ,0.8336," Grant Union (Sacramento, CA)    ","['Brigham Young', 'Arizona', 'Sacramento State', 'UCLA', 'Utah', 'Oregon State']",CA
Bruce Garrett,https://247sports.com/player/bruce-garrett-46084384,RB ,0.8305," Pleasant Grove (Texarkana, TX)    ","['Brigham Young', 'Illinois State']",TX
Josh Wilson,https://247sports.com/player/josh-wilson-46053664,ILB ,0.8302," Corner Canyon (Draper, UT)  ",['Brigham Young'],UT
Tuipulotu Lai,https://247sports.com/player/tuipulotu-lai-46096734,SDE ,0.8299," Lahainaluna (Lahaina, HI)  ","['Brigham Young', 'Northern Colorado']",HI
Ace Kaufusi,https://247sports.com/player/ace-kaufusi-46051754,OLB ,0.8282," Kahuku (Kahuku, HI)  ","['Brigham Young', 'Utah', 'Utah State', 'Stanford', 'UCLA', 'USC']",HI
Jake Griffin,https://247sports.com/player/jake-griffin-46081379,OT ,0.8268," Red Mountain (Mesa, AZ)    ","['Brigham Young', 'Arizona', 'Oregon State', 'Washington State', 'Indiana', 'Northern Arizona', 'Northern Colorado', 'San Diego State', 'South Dakota State', 'Tulane', 'Utah State', 'Weber State', 'UCLA', 'Utah']",AZ
Logan Pili,https://247sports.com/player/logan-pili-46047146,S ,0.8240," Timpview (Provo, UT)    ","['Brigham Young', 'Nevada', 'Northwestern', 'Penn State', 'Stanford', 'UCLA', 'Utah', 'Utah State']",UT
Preston Rex,https://247sports.com/player/preston-rex-46081628,ATH ,0.8227," San Clemente (San Clemente, CA)  ","['Brigham Young', 'Air Force', 'Army', 'Navy', 'Pennsylvania', 'Utah State']",CA
Koa Eldredge,https://247sports.com/player/koa-eldredge-46082559,WR ,0.8214," Punahou (Honolulu, HI)  ","['Brigham Young', 'Navy', 'Columbia', 'Dartmouth', 'Hawaii']",HI
Christopher Jackson,https://247sports.com/player/christopher-jackson-46096416,WR ,0.8206," Mt. San Antonio College (Walnut, CA)  ","['Brigham Young', 'Middle Tennessee State', 'San Jose State', 'Syracuse']",CA
Micah Harper,https://247sports.com/player/micah-harper-46040644,CB ,0.8204," Basha (Chandler, AZ)  ","['Brigham Young', 'Air Force', 'Army', 'Nevada', 'San Diego State', 'Abilene Christian', 'Colgate', 'Dartmouth', 'Fordham', 'Lehigh', 'Montana State', 'Navy', 'New Mexico', 'New Mexico State', 'Northern Arizona', 'Pennsylvania', 'Princeton', 'South Dakota State', 'Syracuse', 'Tulane', 'UTEP', 'Wyoming', 'Yale']",AZ
Devin Downing,https://247sports.com/player/devin-downing-46076948,WR ,0.8187," American Fork (American Fork, UT)    ","['Brigham Young', 'Arizona State']",UT
Terence Fall,https://247sports.com/player/terence-fall-46084799,WR ,0.8172," Aquinas (San Bernardino, CA)  ",['Brigham Young'],CA
Alex Muti,https://247sports.com/player/alex-muti-46085138,OLB ,0.8133," Konawaena (Kealakekua, HI)  ",['Brigham Young'],HI
Dean Jones,https://247sports.com/player/dean-jones-46084640,S ,0.8123," North Canyon (Phoenix, AZ)  ","['Brigham Young', 'Utah', 'Utah State']",AZ
Petey Tuipulotu,https://247sports.com/player/petey-tuipulotu-46086747,ATH ,0.8123," Nation Ford (Fort Mill, SC)  ",['Brigham Young'],SC
