name,url,position,score,hometown,offers,state
George Wolo,https://247sports.com/player/george-wolo-46086348,DT ,0.8398," Good Counsel (Olney, MD)  ","['Buffalo', 'Delaware State', 'Florida Atlantic', 'James Madison', 'Monmouth', 'Sacred Heart', 'Toledo']",MD
Bryce Johnson-Maith,https://247sports.com/player/bryce-johnson-maith-46080822,WDE ,0.8286," St. Frances Academy (Baltimore, MD)    ","['Buffalo', 'Bowie State', 'Massachusetts', 'Maryland', 'Penn State']",MD
Jalen McNair,https://247sports.com/player/jalen-mcnair-46056353,S ,0.8159," Good Counsel (Olney, MD)    ","['Buffalo', 'Howard', 'Rutgers', 'Yale']",MD
Casey Case,https://247sports.com/player/casey-case-46082010,DUAL ,0.8158," Winter Park (Winter Park, FL)    ","['Buffalo', 'Stetson', 'Wagner', 'Bucknell', 'Furman', 'Georgetown', 'Harvard', 'Lehigh', 'Northern Illinois', 'Princeton', 'Samford', 'Stetson', 'Syracuse', 'Yale']",FL
Kolbe Burrell,https://247sports.com/player/kolbe-burrell-46042328,RB ,0.8105," St. Joseph's (Philadelphia, PA)    ","['Buffalo', 'Albany', 'Bowling Green', 'Massachusetts', 'Northwestern State', 'Rutgers', 'Temple', 'Toledo', 'Kent State', 'West Virginia', 'Wisconsin']",PA
Deondre Doiron,https://247sports.com/player/deondre-doiron-46059193,OG ,0.8084," Catholic Central (London, ON)    ","['Buffalo', 'Brown', 'Buffalo', 'Columbia', 'Connecticut', 'Cornell', 'Duke', 'Fresno State', 'Houston', 'Howard', 'Kent State', 'Liberty', 'Maine', 'New Hampshire', 'Stony Brook', 'Syracuse', 'West Virginia']",ON
Michael Tetteh,https://247sports.com/player/michael-tetteh-46056107,DT ,0.8084," Cardinal Hayes (Bronx, NY)  ","['Buffalo', 'Fordham', 'Massachusetts', 'Morgan State', 'Temple']",NY
Lonnie Rice,https://247sports.com/player/lonnie-rice-46055069,S ,0.8003," Bishop McDevitt (Wyncote, PA)    ","['Buffalo', 'Air Force', 'Albany', 'Army', 'Bryant', 'Fordham', 'Morgan State', 'Navy', 'Pennsylvania', 'Robert Morris', 'Sacred Heart', 'Boston College', 'North Carolina', 'Rutgers', 'Syracuse', 'Temple']",PA
Michael Ford Jr,https://247sports.com/player/michael-ford-jr-46082294,OG ,0.7998," Homewood-Flossmoor (Flossmoor, IL)  ","['Buffalo', 'San Jose State', 'Army', 'Ball State', 'Bowling Green', 'Eastern Illinois', 'Fordham', 'Navy', 'Southern Illinois', 'Wyoming']",IL
Tyree O'Neil,https://247sports.com/player/tyree-oneil-93496,WR ,0.7900," Glendale C.c. (Glendale, CA)                    ","['Buffalo', 'Idaho', 'Memphis', 'Toledo']",CA
Trevor Borland,https://247sports.com/player/trevor-borland-46076577,TE ,0.7852," Bolingbrook (Bolingbrook, IL)    ","['Buffalo', 'Central Michigan', 'Colgate', 'Eastern Illinois', 'Eastern Kentucky', 'Fordham', 'Holy Cross', 'Indiana State', 'Kent State', 'Lehigh', 'Southeast Missouri State', 'Youngstown State', 'Wisconsin']",IL
Samuel Todd,https://247sports.com/player/samuel-todd-46085308,OT ,0.7797," The Peddie School (Hightstown, NJ)                ",['Buffalo'],NJ
Tyler Doty,https://247sports.com/player/tyler-doty-46046488,OT ,0.7797," St Joseph's Collegiate Institute (Buffalo, NY)                    ","['Buffalo', 'Albany', 'Brown', 'Cornell', 'Massachusetts', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Western Michigan']",NY
Logic Hudges,https://247sports.com/player/logic-hudges-46097544,CB ,0.7797," Archbishop Spalding (Severn, MD)  ",['Buffalo'],MD
Caron Robinson,https://247sports.com/player/caron-robinson-46097545,RB ,0.7797," Aquinas Institute (Rochester, NY)                 ",['Buffalo'],NY
E.J. Brown,https://247sports.com/player/e-j-brown-46099381,S ,0.7600," Iowa Central C.C. (Fort Dodge, IA)  ",['Buffalo'],IA
