name,url,position,score,hometown,offers,state
Daemon Hill,https://247sports.com/player/daemon-hill-46084293,CB ,0.8453," Palmetto (Palmetto, FL)    ","['Central Michigan', 'Kansas State', 'Bowling Green', 'Buffalo', 'Cincinnati', 'Coastal Carolina', 'Illinois', 'Iowa State', 'Louisville', 'Miami', 'Northern Illinois', 'Ohio', 'Samford', 'Western Kentucky', 'Rutgers']",FL
Nahree Biggins,https://247sports.com/player/nahree-biggins-46052019,WR ,0.8287," Hillside (Hillside, NJ)    ","['Central Michigan', 'Georgia Southern', 'Temple', 'Boston College', 'Bryant', 'Buffalo', 'Cincinnati', 'Kent State', 'Kentucky', 'Massachusetts', 'NC State', 'North Carolina', 'Rutgers', 'Syracuse', 'Maryland']",NJ
Myles Bailey,https://247sports.com/player/myles-bailey-46057239,RB ,0.8274," North Brunswick Twp (North Brunswick, NJ)    ","['Central Michigan', 'Boston College', 'Elon', 'Kent State', 'Massachusetts', 'Minnesota', 'Old Dominion', 'Syracuse', 'Toledo', 'Virginia Tech', 'Northern Illinois']",NJ
Keegan Smith,https://247sports.com/player/keegan-smith-46057685,OG ,0.8234," Lumen Christi (Jackson, MI)  ","['Central Michigan', 'Air Force', 'Ball State', 'Bowling Green', 'Buffalo', 'Eastern Michigan', 'Miami (OH)', 'Navy', 'Ball State', 'Toledo', 'Western Michigan']",MI
Davis Heinzen,https://247sports.com/player/davis-heinzen-46051780,TE ,0.8192," Lincoln (Manitowoc, WI)    ","['Central Michigan', 'Eastern Michigan', 'Iowa', 'Wisconsin']",WI
Tyler Pape,https://247sports.com/player/tyler-pape-46083686,PRO ,0.8118," Western (Parma, MI)  ",['Central Michigan'],MI
Donte Kent,https://247sports.com/player/donte-kent-46080765,ATH ,0.8098," Harrisburg (Harrisburg, PA)    ","['Central Michigan', 'Bowling Green', 'Buffalo', 'Connecticut', 'East Carolina', 'Massachusetts', 'Monmouth', 'New Hampshire', 'Toledo', 'Western Carolina', 'William & Mary', 'Youngstown State']",PA
Braden Doyle,https://247sports.com/player/braden-doyle-46059497,OG ,0.8064," Bay Port (Green Bay, WI)    ","['Central Michigan', 'Air Force', 'New Mexico State', 'North Dakota', 'South Dakota', 'South Dakota State', 'Southeast Missouri State', 'Western Illinois']",WI
Jason Williams,https://247sports.com/player/jason-williams-46097552,DT ,0.8064," Ocoee (Ocoee, FL)  ",['Central Michigan'],FL
Zahir Swann,https://247sports.com/player/zahir-swann-46057240,WR ,0.8030," Irvington (Irvington, NJ)    ","['Central Michigan', 'Bowling Green', 'Cincinnati', 'Western Michigan', 'Massachusetts']",NJ
Lawaia Brown,https://247sports.com/player/lawaia-brown-46079100,ILB ,0.8024," St. Louis (Honolulu, HI)  ","['Central Michigan', 'Brigham Young']",HI
Ronald Novosedliak,https://247sports.com/player/ronald-novosedliak-46085970,OT ,0.8022," North Hills (Pittsburgh, PA)  ",['Central Michigan'],PA
Kyle Moretti,https://247sports.com/player/kyle-moretti-46080034,ILB ,0.8004," Pomona (Arvada, CO)    ","['Central Michigan', 'Air Force', 'North Dakota', 'Northern Colorado', 'South Dakota', 'Colorado']",CO
Marion Lukes,https://247sports.com/player/marion-lukes-46059286,APB ,0.7991," Charlestown (Charlestown, IN)    ","['Central Michigan', 'Eastern Kentucky', 'Ball State', 'Cincinnati', 'Duke', 'Indiana', 'Kentucky', 'Louisville']",IN
Ke'Andre Collins,https://247sports.com/player/keandre-collins-46097550,WR ,0.7902," Sarasota (Sarasota, FL)  ",['Central Michigan'],FL
Alec Ward,https://247sports.com/player/alec-ward-46081447,WR ,0.7901," Bloomfield Hills (Bloomfield Hills, MI)  ","['Central Michigan', 'Air Force', 'Columbia', 'Cornell', 'Dartmouth', 'Ferris State', 'Findlay', 'Grand Valley State', 'Lafayette', 'Northwood University', 'Saginaw Valley State', 'Valparaiso']",MI
Marcus Romboli,https://247sports.com/player/marcus-romboli-46097551,SDE ,0.7898," Deerfield Academy (Deerfield, MA)  ",['Central Michigan'],MA
Mitchel Collier,https://247sports.com/player/mitchel-collier-46083985,TE ,0.7889," Columbus North (Columbus, IN)    ","['Central Michigan', 'Bowling Green']",IN
Jonathan Decker,https://247sports.com/player/jonathan-decker-46087003,SDE ,0.7697," Elkhart Central (Elkhart, IN)  ","['Central Michigan', 'Indiana State', 'UT Martin', 'Western Illinois', 'Iowa State']",IN
Jayden Cray,https://247sports.com/player/jayden-cray-46085394,OLB ,0.7630," Riverview (Sarasota, FL)    ","['Central Michigan', 'Appalachian State', 'Mercer', 'Richmond', 'Tennessee State', 'Western Kentucky']",FL
Cade Cote,https://247sports.com/player/cade-cote-46096503,WDE ,NA," Clarkson Football North (Mississauga, ON)    ","['Central Michigan', 'Idaho']",ON
Travon Walker,https://247sports.com/player/travon-walker-46085966,WR ,0.7972," East (Akron, OH)  ",['Central Michigan'],OH
