name,url,position,score,hometown,offers,state
Evan Prater,https://247sports.com/player/evan-prater-46050046,DUAL ,0.9279," Wyoming (Cincinnati, OH)    ","['Cincinnati', 'Air Force', 'Akron', 'Bowling Green', 'Buffalo', 'Duke', 'Georgia Tech', 'Indiana', 'Kansas', 'Kansas State', 'Kent State', 'Louisville', 'Miami', 'Miami (OH)', 'Michigan State', 'Ohio', 'Oklahoma State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Toledo', 'Western Michigan', 'Connecticut', 'Marshall', 'Mississippi State', 'Ohio State', 'Ole Miss', 'Penn State', 'Rutgers', 'UCF', 'UCLA', 'West Virginia']",OH
Jaheim Thomas,https://247sports.com/player/jaheim-thomas-46051266,OLB ,0.8941," Princeton (Cincinnati, OH)    ","['Cincinnati', 'LSU', 'Michigan State', 'Alabama', 'Bowling Green', 'Colorado', 'Duke', 'FIU', 'Florida State', 'Georgia', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kentucky', 'Louisville', 'Maryland', 'Memphis', 'Michigan', 'Minnesota', 'Nebraska', 'Notre Dame', 'Ohio State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'Toledo', 'Vanderbilt', 'West Virginia', 'Western Kentucky', 'Wisconsin', 'Penn State']",OH
Jadon Thompson,https://247sports.com/player/jadon-thompson-46048615,WR ,0.8925," Naperville Central (Naperville, IL)    ","['Cincinnati', 'Illinois', 'Boston College', 'Indiana', 'Iowa', 'Iowa State', 'Kansas State', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Oregon State', 'Purdue', 'Toledo', 'Western Michigan']",IL
Sammy Anderson,https://247sports.com/player/sammy-anderson-46052283,CB ,0.8748," Trotwood-Madison (Dayton, OH)    ","['Cincinnati', 'Michigan State', 'Akron', 'Austin Peay', 'Ball State', 'Boston College', 'Bowling Green', 'Duke', 'Eastern Kentucky', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kent State', 'Louisville', 'Michigan', 'Minnesota', 'Ohio', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee State', 'Toledo', 'Virginia', 'Virginia Tech', 'West Virginia', 'Youngstown State', 'Ohio State']",OH
Justin Wodtly,https://247sports.com/player/justin-wodtly-46050974,DT ,0.8633," Cleveland Heights (Cleveland, OH)    ","['Cincinnati', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Eastern Michigan', 'FIU', 'Indiana', 'Iowa State', 'Kent State', 'Michigan State', 'Minnesota', 'Ohio', 'Purdue', 'Rutgers', 'Syracuse', 'Toledo', 'Kentucky']",OH
Marquez Bell,https://247sports.com/player/marquez-bell-46055312,WR ,0.8614," Columbia (Lake City, FL)    ","['Cincinnati', 'Indiana', 'Virginia', 'USF', 'Arkansas', 'Duke', 'Florida Atlantic', 'Georgia Southern', 'Liberty', 'Marshall', 'Nebraska', 'Ole Miss', 'Penn State', 'Pittsburgh', 'South Carolina', 'Southern Miss', 'Temple', 'Tennessee', 'Texas A&M', 'Troy', 'UAB', 'UCF', 'Utah', 'Vanderbilt', 'Virginia Tech', 'Western Kentucky', 'William & Mary']",FL
Chris Scott,https://247sports.com/player/chris-scott-46050658,WR ,0.8613," Pickerington North (Pickerington, OH)    ","['Cincinnati', 'Boston College', 'Iowa State', 'Kent State', 'Kentucky', 'Miami (OH)', 'Michigan', 'Pittsburgh', 'Robert Morris', 'Rutgers', 'Toledo', 'West Virginia', 'Michigan State', 'Ohio State', 'Penn State', 'Pittsburgh', 'Wisconsin']",OH
Kobe McAllister,https://247sports.com/player/kobe-mcallister-46081209,OT ,0.8551," Heritage (Ringgold, GA)    ","['Cincinnati', 'Appalachian State', 'Jacksonville State', 'Tulane']",GA
Ethan Wright,https://247sports.com/player/ethan-wright-46048773,ATH ,0.8539," Manchester (Akron, OH)    ","['Cincinnati', 'Duke', 'Akron', 'Bowling Green', 'Indiana', 'Iowa State', 'Kent State', 'Minnesota', 'Northwestern', 'Rutgers', 'Toledo', 'Vanderbilt', 'Ohio State']",OH
Tyler Scott,https://247sports.com/player/tyler-scott-46082364,ATH ,0.8505," Norton (Barberton, OH)    ","['Cincinnati', 'Indiana', 'Akron', 'Ball State', 'Iowa State', 'Michigan State', 'Nebraska', 'Rutgers', 'Syracuse', 'Toledo']",OH
