name,url,position,score,hometown,offers,state
Bryan Bresee,https://247sports.com/player/bryan-bresee-46038819,DT ,0.9995," Damascus (Damascus, MD)                    ",,MD
Myles Murphy,https://247sports.com/player/myles-murphy-46042886,SDE ,0.9965," Hillgrove (Powder Springs, GA)                    ",,GA
DJ Uiagalelei,https://247sports.com/player/dj-uiagalelei-45573350,PRO ,0.9949," St. John Bosco (Bellflower, CA)                    ",,CA
Trenton Simpson,https://247sports.com/player/trenton-simpson-46048683,OLB ,0.9871," Mallard Creek (Charlotte, NC)                    ",,NC
Demonte Capehart,https://247sports.com/player/demonte-capehart-46042893,DT ,0.9832," IMG Academy (Bradenton, FL)                    ",,FL
Fred Davis II,https://247sports.com/player/fred-davis-ii-46037551,CB ,0.9743," Trinity Christian Academy (Jacksonville, FL)                    ",,FL
E.J. Williams,https://247sports.com/player/e-j-williams-46049986,WR ,0.9685," Central (Phenix City, AL)                    ",,AL
Mitchell Mayes,https://247sports.com/player/mitchell-mayes-46051711,OG ,0.9348," Leesville Road (Raleigh, NC)                    ",,NC
Sergio Allen,https://247sports.com/player/sergio-allen-46042574,ILB ,0.9183," Peach County (Fort Valley, GA)                    ",,GA
RJ Mickens,https://247sports.com/player/rj-mickens-91595,S ,0.9181," Southlake Carroll (Southlake, TX)                    ",,TX
Kevin Swint,https://247sports.com/player/kevin-swint-46036484,ILB ,0.9072," Carrollton (Carrollton, GA)                    ",,GA
Bryn Tucker,https://247sports.com/player/bryn-tucker-45572456,OG ,0.9015," Knoxville Catholic (Knoxville, TN)                    ",,TN
Sage Ennis,https://247sports.com/player/sage-ennis-46081869,TE ,0.8722," Lincoln (Tallahassee, FL)                    ",,FL
Tyler Venables,https://247sports.com/player/tyler-venables-94711,S ,0.8498," D W Daniel (Central, SC)                    ",,SC
Demarkcus Bowman,https://247sports.com/player/demarkcus-bowman-46048830,RB ,0.9910," Lakeland (Lakeland, FL)                  ","['Clemson', 'Alabama', 'Arkansas', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Miami', 'Michigan', 'Nebraska', 'North Carolina', 'Ohio State', 'Oregon', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas']",FL
Walker Parks,https://247sports.com/player/walker-parks-46043254,OT ,0.9747," Frederick Douglass (Lexington, KY)                  ","['Clemson', 'Auburn', 'Cincinnati', 'Eastern Kentucky', 'Kentucky', 'Louisville', 'Northwestern', 'Notre Dame', 'Purdue', 'Tennessee', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Alabama', 'Miami (OH)', 'Penn State', 'South Carolina']",KY
Tre Williams,https://247sports.com/player/tre-williams-46047260,DT ,0.9572," St. John's (Washington, DC)                  ","['Clemson', 'Alabama', 'Arizona', 'Baylor', 'Boston College', 'Buffalo', 'Connecticut', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Iowa', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Nebraska', 'North Carolina', 'Ohio State', 'Penn State', 'Pittsburgh', 'Rutgers', 'San Jose State', 'Syracuse', 'Tennessee', 'Texas A&M', 'Virginia', 'Virginia Tech', 'Wisconsin']",DC
Paul Tchio,https://247sports.com/player/paul-tchio-46047848,OG ,0.9548," Milton (Alpharetta, GA)                    ","['Clemson', 'Alabama', 'Florida', 'Florida State', 'Georgia', 'Louisville', 'Maryland', 'Memphis', 'Ohio State', 'South Alabama', 'Tennessee', 'Virginia', 'Georgia Tech']",GA
Malcolm Greene,https://247sports.com/player/malcolm-greene-46055228,S ,0.9025," Highland Springs (Highland Springs, VA)                  ","['Clemson', 'LSU', 'Alabama', 'Duke', 'East Carolina', 'Florida', 'Georgia Tech', 'James Madison', 'Liberty', 'Louisville', 'Maryland', 'Michigan', 'Michigan State', 'Morgan State', 'NC State', 'Norfolk State', 'North Carolina', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Stanford', 'TCU', 'Temple', 'Tennessee', 'Toledo', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'West Virginia']",VA
