name,url,position,score,hometown,offers,state
Shon Brown,https://247sports.com/player/shon-brown-46085511,OLB ,0.8302," Clover (Clover, SC)                    ","['Coastal Carolina', 'East Carolina', 'Air Force', 'Charleston Southern', 'Charlotte', 'Gardner-Webb', 'Lehigh', 'Newberry', 'Appalachian State', 'Coastal Carolina', 'Georgia State', 'Kennesaw State', 'Navy', 'Wake Forest']",SC
Travis Geiger,https://247sports.com/player/travis-geiger-46041852,DT ,0.8267," Highland C.C. (Highland, KS)  ","['Coastal Carolina', 'Akron', 'FIU', 'Morgan State', 'Nebraska', 'New Mexico State', 'Southeast Missouri State', 'Southern Miss']",KS
CJ Beasley,https://247sports.com/player/cj-beasley-46076865,RB ,0.8263," Maury (Norfolk, VA)                  ","['Coastal Carolina', 'Virginia Tech', 'East Carolina', 'Liberty', 'Morgan State', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'Tennessee', 'William & Mary']",VA
Willie Lampkin,https://247sports.com/player/willie-lampkin-46082187,DT ,0.8234," Lakeland (Lakeland, FL)    ","['Coastal Carolina', 'Appalachian State', 'Bowling Green', 'Middle Tennessee State', 'Southern Miss', 'USF']",FL
Rayquan Jones,https://247sports.com/player/rayquan-jones-46057651,DT ,0.8206," Rome (Rome, GA)                ","['Coastal Carolina', 'Florida Atlantic']",GA
Braydon Bennett,https://247sports.com/player/braydon-bennett-46040410,ATH ,0.8204," Southside (Greenville, SC)  ","['Coastal Carolina', 'Duke', 'Georgia State', 'Penn State', 'Virginia', 'East Carolina', 'NC State', 'North Carolina', 'South Carolina']",SC
Charles Steele,https://247sports.com/player/charles-steele-46094390,OLB ,0.8193," Collins Hill (Suwanee, GA)  ","['Coastal Carolina', 'UCF', 'Akron', 'Colorado State', 'Georgia Southern', 'James Madison', 'Kent State', 'Liberty', 'Marshall', 'Miami (OH)', 'Middle Tennessee State', 'Navy', 'South Alabama', 'Tennessee Tech']",GA
Mason Shelton,https://247sports.com/player/mason-shelton-46083282,ILB ,0.8179," Maryville (Maryville, TN)    ","['Coastal Carolina', 'Eastern Kentucky', 'Indiana State', 'Tennessee Tech', 'Tulane', 'UAB', 'Western Kentucky']",TN
Aaron Diggs,https://247sports.com/player/aaron-diggs-46082609,S ,0.8166," Auburn (Auburn, AL)                  ","['Coastal Carolina', 'Georgia Southern']",AL
Isaiah Connelly,https://247sports.com/player/isaiah-connelly-46076565,RB ,0.8154," Edgewater (Orlando, FL)  ","['Coastal Carolina', 'Austin Peay', 'Colorado State', 'Georgia Southern', 'Liberty', 'Mercer', 'Middle Tennessee State', 'South Alabama', 'South Dakota', 'Tennessee State', 'Troy', 'UAB', 'USF', 'Southern Miss', 'Tulane', 'Wake Forest']",FL
Manny Stokes,https://247sports.com/player/manny-stokes-46081805,CB ,0.8123," Lake Nona (Orlando, FL)                    ","['Coastal Carolina', 'South Dakota', 'Tennessee State', 'UT Martin']",FL
Mason Bowers,https://247sports.com/player/mason-bowers-46083008,DT ,0.8079," High Point Central (High Point, NC)    ","['Coastal Carolina', 'Liberty', 'Army', 'Massachusetts', 'North Carolina A&T', 'Richmond', 'The Citadel', 'Appalachian State', 'East Carolina', 'Elon', 'North Carolina', 'Old Dominion']",NC
Shane Bruce,https://247sports.com/player/shane-bruce-46086524,OLB ,0.8078," Central (Carrollton, GA)    ","['Coastal Carolina', 'Kennesaw State', 'Middle Tennessee State', 'Navy', 'Troy', 'Western Kentucky']",GA
D'Jordan Strong,https://247sports.com/player/djordan-strong-46040939,CB ,0.8074," Northeast Mississippi C.C. (Booneville, MS)                 ","['Coastal Carolina', 'Alcorn State', 'Arkansas State', 'Austin Peay', 'Central Arkansas', 'Charlotte', 'Hawaii', 'Lamar', 'Louisiana-Monroe', 'Marshall', 'Nicholls State', 'North Alabama', 'Southern University', 'Western Kentucky', 'Houston', 'Memphis', 'Old Dominion', 'Southern Miss', 'West Virginia']",MS
Braylon Ryan,https://247sports.com/player/braylon-ryan-46083212,SDE ,0.8044," Greenwood (Greenwood, SC)                 ","['Coastal Carolina', 'Campbell']",SC
Logan Mauldin,https://247sports.com/player/logan-mauldin-46084060,WR ,0.8022," Myers Park (Charlotte, NC)                 ",['Coastal Carolina'],NC
Tyler Wagner,https://247sports.com/player/tyler-wagner-46079938,OT ,0.8018," Parkview (Lilburn, GA)    ","['Coastal Carolina', 'Arkansas State', 'Ball State', 'Florida Atlantic', 'Ohio', 'South Alabama', 'Southern Miss', 'Temple', 'UAB', 'Western Kentucky']",GA
Wilton Gaby,https://247sports.com/player/wilton-gaby-46097223,SDE ,0.7994," Independence C.C. (Independence, KS)  ",['Coastal Carolina'],KS
Fred Jackson,https://247sports.com/player/fred-jackson-46039843,APB ,0.7994," New Mexico Military Institute (Roswell, NM)                 ",['Coastal Carolina'],NM
Isaiah Stephens,https://247sports.com/player/isaiah-stephens-46086139,OLB ,0.7991," Lord Botetourt (Daleville, VA)                    ","['Coastal Carolina', 'Lehigh']",VA
James Johnson,https://247sports.com/player/james-johnson-46097222,WDE ,0.7972," Vero Beach (Vero Beach, FL)                ",['Coastal Carolina'],FL
Tyson Mobley,https://247sports.com/player/tyson-mobley-46097221,WR ,0.7902," Master's Academy (Vero Beach, FL)                ",['Coastal Carolina'],FL
Shermari Jones,https://247sports.com/player/shermari-jones-46094920,RB ,NA," Independence C.C. (Independence, KS)                    ","['Coastal Carolina', 'Southern Miss']",KS
