name,url,position,score,hometown,offers,state
Brendon Lewis,https://247sports.com/player/brendon-lewis-46036862,DUAL ,0.8847," Melissa (Melissa, TX)                    ",,TX
Jake Wray,https://247sports.com/player/jake-wray-46036881,OT ,0.8643," Marietta (Marietta, GA)                    ",,GA
Carson Lee,https://247sports.com/player/carson-lee-46052719,OC ,0.8558," Cherry Creek (Englewood, CO)                    ",,CO
Guy Thomas,https://247sports.com/player/guy-thomas-80411,OLB ,0.8540," Coahoma C.C. (Clarksdale, MS)                    ",,MS
Alvin Williams,https://247sports.com/player/alvin-williams-46051892,WDE ,0.8518," Cedar Grove (Ellenwood, GA)                    ",,GA
Justin Jackson,https://247sports.com/player/justin-jackson-46039931,SDE ,0.8440," Northwest Mississippi C.C. (Senatobia, MS)                    ",,MS
Jaylen Striker,https://247sports.com/player/jaylen-striker-46086717,CB ,0.8378," Independence C.C. (Independence, KS)                    ",,KS
Josh Watts,https://247sports.com/player/josh-watts-46093575,P ,0.8197," ProKick Australia (Australia, AUST)                    ",,AU
Ashaad Clayton,https://247sports.com/player/ashaad-clayton-46036383,RB ,0.9284," Warren Easton (New Orleans, LA)    ","['Colorado', 'Florida', 'Kansas', 'Alabama', 'Arkansas', 'Auburn', 'Georgia', 'Houston', 'LSU', 'Nebraska', 'Tennessee', 'Texas', 'Texas A&M', 'Tulane', 'UTSA', 'Virginia', 'Western Kentucky', 'Georgia Tech']",LA
Jason Harris,https://247sports.com/player/jason-harris-46043274,WDE ,0.9008," Higley (Gilbert, AZ)    ","['Colorado', 'Arizona', 'Indiana', 'Texas A&M', 'UCLA', 'Alabama', 'Arizona State', 'Auburn', 'California', 'Illinois', 'Kentucky', 'Memphis', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'Penn State', 'Purdue', 'Syracuse', 'Texas', 'Texas Tech', 'USC', 'Utah']",AZ
Christian Gonzalez,https://247sports.com/player/christian-gonzalez-46080020,S ,0.8958," The Colony (The Colony, TX)                  ","['Colorado', 'Arizona State', 'Notre Dame', 'Purdue', 'Alabama', 'Arkansas', 'Baylor', 'Boston College', 'Duke', 'Hawaii', 'Illinois', 'Kansas', 'Kansas State', 'Miami', 'Michigan State', 'Minnesota', 'Missouri', 'North Texas', 'Northwestern', 'Ohio State', 'Oklahoma State', 'Ole Miss', 'Rutgers', 'SMU', 'Southern Miss', 'TCU', 'Texas Tech', 'Toledo', 'Tulane', 'Tulsa', 'Utah', 'Washington State']",TX
Brenden Rice,https://247sports.com/player/brenden-rice-46053118,WR ,0.8862," Hamilton (Chandler, AZ)                  ","['Colorado', 'Michigan', 'Arizona', 'Arizona State', 'California', 'Iowa State', 'Louisville', 'Nebraska', 'Northern Arizona', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Oregon State', 'Purdue', 'San Diego State', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington State', 'Wisconsin', 'Washington']",AZ
Caleb Fauria,https://247sports.com/player/caleb-fauria-46076638,TE ,0.8640," Bishop Feehan (Attleboro, MA)                  ","['Colorado', 'Boston College', 'Connecticut', 'Iowa', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Syracuse', 'TCU', 'Wisconsin', 'Arizona State', 'Georgia Tech', 'Tulane']",MA
Jordan Berry,https://247sports.com/player/jordan-berry-89525,DT ,0.8622," Narbonne (Harbor City, CA)                  ","['Colorado', 'LSU', 'Arizona', 'Boston College', 'Florida', 'Georgia', 'Oregon', 'Oregon State', 'USC']",CA
Mister Williams,https://247sports.com/player/mister-williams-46058244,OLB ,0.8593," Oaks Christian (Westlake Village, CA)                  ","['Colorado', 'California', 'Kansas State', 'LSU', 'Nebraska', 'UCLA']",CA
Devin Grant,https://247sports.com/player/devin-grant-46080748,WDE ,0.8592," Antonian College Prep (San Antonio, TX)                  ","['Colorado', 'Air Force', 'Army', 'Boston College', 'Colorado State', 'Duke', 'FIU', 'Houston Baptist', 'Illinois State', 'Incarnate Word', 'Iowa State', 'Kansas', 'Liberty', 'Oklahoma State', 'Rice', 'Southern Miss', 'Stephen F. Austin', 'Texas State', 'Tulane', 'Utah', 'UTEP', 'UTSA', 'West Virginia', 'SMU']",TX
Toren Pittman,https://247sports.com/player/toren-pittman-46050098,OLB ,0.8552," Lone Star (Frisco, TX)                  ","['Colorado', 'Arkansas', 'Arkansas State', 'Baylor', 'Nevada', 'Tulsa', 'UTSA']",TX
Montana Lemonious-Craig,https://247sports.com/player/montana-lemonious-craig-46080532,ATH ,0.8552," Inglewood (Inglewood, CA)                  ","['Colorado', 'Arizona', 'Auburn', 'Boise State', 'Brigham Young', 'Colorado State', 'Fresno State', 'Nevada', 'New Mexico', 'San Diego State', 'San Jose State', 'Utah State', 'Wyoming', 'Yale', 'Arizona', 'California', 'Oregon State', 'Utah', 'Washington', 'Washington State']",CA
Keith Miller,https://247sports.com/player/keith-miller-46050103,WR ,0.8485," The Colony (The Colony, TX)                  ","['Colorado', 'Kansas', 'Texas Tech', 'Boise State', 'Boston College', 'Connecticut', 'Georgia Tech', 'Illinois', 'Kansas State', 'Louisiana Tech', 'Nevada', 'North Texas', 'Purdue', 'San Diego State', 'SMU', 'Southern Miss', 'Troy', 'Tulane', 'Tulsa', 'Utah', 'Wake Forest', 'Washington State', 'Arkansas', 'Baylor', 'Florida', 'Iowa State', 'Oklahoma State', 'Ole Miss', 'TCU', 'Texas', 'Texas State', 'UTSA']",TX
Chris Carpenter,https://247sports.com/player/chris-carpenter-46076694,WR ,0.8485," Jacksonville (Jacksonville, TX)                  ","['Colorado', 'North Texas', 'Air Force', 'Arizona State', 'Arkansas', 'Arkansas State', 'Boise State', 'Colorado State', 'Houston', 'Lamar', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Oklahoma State', 'Oregon', 'Southern Miss', 'Tulsa', 'Virginia', 'Louisiana Tech', 'TCU']",TX
William Anglen,https://247sports.com/player/william-anglen-46081422,S ,0.8335," Glenville (Cleveland, OH)    ","['Colorado', 'Alabama A&M', 'Ball State', 'Bowling Green', 'Cincinnati', 'Eastern Kentucky', 'Kent State', 'Toledo']",OH
Gerad Lichtenhan,https://247sports.com/player/gerad-lichtenhan-46079395,OT ,0.8159," Davis Senior (Davis, CA)                  ","['Colorado', 'Nevada', 'Portland State', 'San Jose State', 'Fresno State', 'USC', 'Washington']",CA
Louis Passarello,https://247sports.com/player/louis-passarello-46083383,TE ,0.8118," Palo Alto (Palo Alto, CA)                  ","['Colorado', 'Air Force', 'Oregon State', 'UC Davis']",CA
Jayle Stacks,https://247sports.com/player/jayle-stacks-46086028,RB ,0.8113," Cherry Creek (Englewood, CO)                  ","['Colorado', 'Air Force', 'Colorado State', 'Columbia', 'Northern Colorado', 'Wyoming', 'Kansas State', 'Utah']",CO
