name,url,position,score,hometown,offers,state
James Mitchell,https://247sports.com/player/james-mitchell-46080326,DT ,0.8464," Duncanville (Duncanville, TX)    ","['Colorado State', 'Connecticut', 'Alabama A&M', 'Arkansas', 'Boston College', 'Colorado', 'Grambling State', 'Kansas', 'Louisiana', 'Michigan State', 'Minnesota', 'New Mexico', 'North Texas', 'Prairie View A&M', 'Southern University', 'Tennessee State', 'Texas State', 'Tulane', 'UCF', 'Vanderbilt', 'Western Kentucky']",TX
Owen Snively,https://247sports.com/player/owen-snively-46097387,OG ,0.8431," Tilton School (Tilton, NH)    ","['Colorado State', 'Rutgers', 'Albany', 'Austin Peay', 'Chattanooga', 'Connecticut', 'Kent State', 'Syracuse']",NH
Tai Marks,https://247sports.com/player/tai-marks-46048407,OC ,0.8402," Mater Dei (Santa Ana, CA)    ","['Colorado State', 'Liberty', 'New Mexico', 'San Jose State', 'UNLV', 'Utah State', 'Boise State', 'Fresno State', 'UCLA', 'USC']",CA
Casey Irons,https://247sports.com/player/casey-irons-46082317,SDE ,0.8389," Gilmer (Gilmer, TX)    ","['Colorado State', 'Kansas', 'Liberty', 'North Texas', 'Texas Southern']",TX
Kyjuan Herndon,https://247sports.com/player/kyjuan-herndon-46077016,ATH ,0.8386," Trinity Christian Academy (Deltona, FL)                    ","['Colorado State', 'Maryland', 'Ole Miss', 'Bowling Green', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Duke', 'Florida Atlantic', 'Florida State', 'Georgia Southern', 'Kentucky', 'Ohio', 'Purdue', 'Southern Miss', 'Troy', 'Tulane', 'UAB', 'UCF', 'USF', 'Virginia Tech']",FL
Dirk Nelson,https://247sports.com/player/dirk-nelson-46038103,OC ,0.8376," Central Valley Christian Schools (Visalia, CA)    ","['Colorado State', 'Air Force', 'Army', 'Montana State', 'Nevada', 'New Mexico', 'Oregon', 'San Jose State', 'UNLV', 'Yale', 'Boise State', 'California', 'Fresno State', 'Oklahoma', 'Penn State', 'UCLA', 'Washington']",CA
Aaron Moore,https://247sports.com/player/aaron-moore-46055280,OLB ,0.8376," Oakland (Murfreesboro, TN)    ","['Colorado State', 'Arkansas', 'Austin Peay', 'Charlotte', 'Memphis', 'Missouri', 'Purdue', 'Rutgers', 'Tulane', 'UTSA']",TN
Gage Gaynor,https://247sports.com/player/gage-gaynor-46042818,OC ,0.8215," Marjory Stoneman Douglas (Pompano Beach, FL)  ","['Colorado State', 'Air Force', 'Columbia', 'FIU', 'Louisville', 'Marshall', 'Middle Tennessee State', 'UNLV', 'Miami']",FL
Brian Crespo,https://247sports.com/player/brian-crespo-46085164,OT ,0.8173," Poudre (Fort Collins, CO)  ","['Colorado State', 'New Mexico State', 'Northern Colorado', 'Colorado', 'Wyoming']",CO
Cameron Bariteau,https://247sports.com/player/cameron-bariteau-46084290,DT ,0.8123," The Peddie School (Hightstown, NJ)    ","['Colorado State', 'New Hampshire', 'Bowling Green', 'Massachusetts', 'Army', 'Central Michigan', 'Columbia', 'Fordham', 'Rutgers']",NJ
Henry Blackburn,https://247sports.com/player/henry-blackburn-46077001,WR ,0.8118," Fairview (Boulder, CO)    ","['Colorado State', 'Pennsylvania', 'Air Force', 'Central Michigan', 'Columbia', 'Dartmouth', 'Hawaii', 'Holy Cross', 'Idaho', 'New Mexico State', 'Northern Colorado', 'Princeton', 'South Dakota', 'Yale', 'Ohio State']",CO
Brandon Guzman,https://247sports.com/player/brandon-guzman-46084321,WR ,0.8098," Charter Oak (Covina, CA)    ","['Colorado State', 'Brigham Young', 'New Mexico', 'New Mexico State', 'San Diego State']",CA
Dylan Walker,https://247sports.com/player/dylan-walker-46097568,TE ,0.8098," Pope John Paul II (Royersford, PA)  ",['Colorado State'],PA
Bam Amina,https://247sports.com/player/bam-amina-46053016,ILB ,0.8093," Mililani (Mililani, HI)  ","['Colorado State', 'Air Force', 'Harvard', 'Hawaii', 'Portland State', 'San Diego State', 'San Jose State', 'UNLV', 'Utah State', 'Yale', 'Arizona State', 'Nevada', 'Oregon', 'UCLA', 'USC']",HI
Chase Wilson,https://247sports.com/player/chase-wilson-46085965,ATH ,0.8002," Ralston Valley (Arvada, CO)    ","['Colorado State', 'Central Michigan', 'Northern Colorado']",CO
Sanjay Strickland,https://247sports.com/player/sanjay-strickland-46080035,ILB ,0.7998," Pomona (Arvada, CO)    ","['Colorado State', 'Idaho', 'New Mexico', 'North Dakota', 'Northern Colorado', 'South Dakota', 'Washington State']",CO
Brandon Hickerson-Rooks,https://247sports.com/player/brandon-hickerson-rooks-79891,WDE ,0.7800," Lackawanna C.C. (Scranton, PA)    ","['Colorado State', 'South Alabama', 'Toledo']",PA
Tanner Hollens,https://247sports.com/player/tanner-hollens-46097569,ATH ,0.7797," Columbine (Littleton, CO)  ",['Colorado State'],CO
