name,url,position,score,hometown,offers,state
Quay Evans,https://247sports.com/player/quay-evans-46082381,DT ,0.8261," Chester (Chester, SC)  ","['Connecticut', 'Georgia State', 'Liberty', 'Maryland', 'North Carolina', 'Oregon', 'UCF', 'West Virginia']",SC
Durante Jones,https://247sports.com/player/durante-jones-46076721,CB ,0.8247," Mays (Atlanta, GA)    ","['Connecticut', 'Boston College', 'UAB', 'Akron', 'Arkansas State', 'Charlotte', 'Coastal Carolina', 'Colorado State', 'Delaware State', 'East Tennessee State', 'Howard', 'Kansas', 'Kent State', 'Kentucky', 'Liberty', 'Marshall', 'Ohio', 'South Alabama', 'Tennessee State', 'Toledo', 'Troy', 'UNLV', 'Western Michigan', 'Connecticut', 'Georgia Tech', 'Syracuse', 'Syracuse']",GA
Alfred Chea,https://247sports.com/player/alfred-chea-46086614,CB ,0.8201," First Coast (Jacksonville, FL)  ","['Connecticut', 'Alabama State', 'Bethune-Cookman', 'Bowling Green', 'FIU', 'Florida Atlantic', 'Savannah State', 'Southern Miss', 'Troy', 'USF']",FL
Brendan Heatherman,https://247sports.com/player/brendan-heatherman-46079345,TE ,0.8193," Mountain View (Stafford, VA)    ","['Connecticut', 'Appalachian State', 'Army', 'Charlotte', 'Pennsylvania', 'William & Mary', 'Wofford', 'Youngstown State', 'Tulsa', 'Virginia', 'Virginia Tech', 'Wake Forest']",VA
Carter Hooper,https://247sports.com/player/carter-hooper-46053067,SDE ,0.8172," IMG Academy (Bradenton, FL)    ","['Connecticut', 'Brown', 'Charleston Southern', 'FIU', 'Massachusetts', 'Syracuse', 'Indiana', 'UCF', 'Wake Forest']",FL
Alex Wyant,https://247sports.com/player/alex-wyant-46097583,OT ,0.8162," Orange Coast College (Costa Mesa, CA)  ","['Connecticut', 'Fresno State', 'Morehead State', 'Toledo']",CA
Collin McCarthy,https://247sports.com/player/collin-mccarthy-46086617,SDE ,0.8158," Jackson Memorial (Jackson, NJ)  ","['Connecticut', 'Bryant', 'Massachusetts', 'New Hampshire', 'Rhode Island']",NJ
Christopher Fortin,https://247sports.com/player/christopher-fortin-46086618,OT ,0.8152," Cegep du Vieux  (Montreal, QC)  ",['Connecticut'],QC
Tui Brown,https://247sports.com/player/tui-brown-46078980,OLB ,0.8134," Gateway (Monroeville, PA)    ","['Connecticut', 'Air Force', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Delaware', 'Duquesne', 'Massachusetts', 'Ohio', 'Robert Morris', 'Toledo', 'Western Michigan', 'William & Mary', 'Navy']",PA
Marques Alexander,https://247sports.com/player/marques-alexander-46086613,WDE ,0.8134," Lakewood (Saint Petersburg, FL)  ","['Connecticut', 'Georgia Tech', 'Southern Miss']",FL
Reyan Blake,https://247sports.com/player/reyan-blake-46086616,CB ,0.8101," Seminole Ridge (Loxahatchee, FL)  ","['Connecticut', 'Fordham', 'Holy Cross', 'Southern Miss']",FL
Darius Bush,https://247sports.com/player/darius-bush-46076825,ATH ,0.8071," Jenkins (Savannah, GA)    ","['Connecticut', 'Akron', 'Central Michigan', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'Eastern Kentucky', 'Georgia Southern', 'Mercer', 'Navy', 'Savannah State', 'Southern Miss', 'The Citadel', 'UNLV', 'Western Carolina', 'Boston College', 'Eastern Michigan', 'Illinois', 'Kentucky', 'Massachusetts', 'Wake Forest']",GA
Keelan Marion,https://247sports.com/player/keelan-marion-46041510,WR ,0.8059," Palmetto Prep (Prep School) (Columbia, SC)    ","['Connecticut', 'Alabama State', 'Houston', 'Jacksonville State', 'UAB']",SC
Desmond Fogle,https://247sports.com/player/desmond-fogle-46097576,ILB ,0.8051," Camden County (Kingsland, GA)  ","['Connecticut', 'Campbellsville', 'Savannah State']",GA
Robby Rochester,https://247sports.com/player/robby-rochester-46097577,OT ,0.8051," Southlake Carroll (Southlake, TX)  ","['Connecticut', 'Idaho State', 'Illinois State', 'Northern Colorado']",TX
Brandon Niemenski,https://247sports.com/player/brandon-niemenski-46051006,WR ,0.8043," Crestwood (Mountain Top, PA)  ","['Connecticut', 'Albany', 'Bowling Green', 'Fordham', 'New Hampshire', 'William & Mary', 'Yale']",PA
Nick Harris,https://247sports.com/player/nick-harris-46085840,ATH ,0.8043," Marriotts Ridge (Marriottsville, MD)  ","['Connecticut', 'Maine', 'Monmouth', 'Temple']",MD
Zack Early,https://247sports.com/player/zack-early-46097575,OT ,0.8009," Perry (Perry, OH)  ",['Connecticut'],OH
Brian Brewton,https://247sports.com/player/brian-brewton-46081719,RB ,0.7996," St. Thomas Aquinas (Fort Lauderdale, FL)  ",['Connecticut'],FL
Jonathan Senecal,https://247sports.com/player/jonathan-senecal-46086615,DUAL ,0.7977," Cegep Garneau (Quebec City, QC)  ",['Connecticut'],QC
Sidney Walker,https://247sports.com/player/sidney-walker-46097578,OC ,0.7975," Baker School (Baker, FL)  ","['Connecticut', 'Arkansas-Pine Bluff', 'Morgan State', 'New Mexico State']",FL
Nathan Carter,https://247sports.com/player/nathan-carter-46096604,RB ,0.7901," Bishop Kearney (Rochester, NY)    ","['Connecticut', 'Albany', 'Army', 'Bryant', 'Cornell', 'Fordham', 'Maine', 'New Hampshire', 'Sacred Heart']",NY
Tre Wortham,https://247sports.com/player/tre-wortham-46099368,S ,0.7897," Bear Creek (Stockton, CA)  ",['Connecticut'],CA
Devontae Houston,https://247sports.com/player/devontae-houston-46099367,RB ,0.7697," Handley (Roanoke, AL)  ",['Connecticut'],AL
Remon Young,https://247sports.com/player/remon-young-46099366,OG ,0.7697," Colquitt County (Moultrie, GA)  ",['Connecticut'],GA
