name,url,position,score,hometown,offers,state
Luca Diamont,https://247sports.com/player/luca-diamont-46040631,DUAL ,0.8743," Venice (Los Angeles, CA)                    ",,CA
Aeneas Peebles,https://247sports.com/player/aeneas-peebles-46082933,DT ,0.8631," Knightdale (Knightdale, NC)                    ",,NC
Malik Bowen,https://247sports.com/player/malik-bowen-46053874,WR ,0.8593," Mount Juliet (Mount Juliet, TN)                    ",,TN
Michael Reese,https://247sports.com/player/michael-reese-46058735,DT ,0.8539," Cane Ridge (Antioch, TN)                    ",,TN
Christian Hood,https://247sports.com/player/christian-hood-46052537,ILB ,0.8492," Hightower (Missouri City, TX)                    ",,TX
Graham Barton,https://247sports.com/player/graham-barton-46056811,OG ,0.8673," Ravenwood (Brentwood, TN)                  ","['Duke', 'Austin Peay', 'Boston College', 'Central Michigan', 'Charlotte', 'Cincinnati', 'Florida Atlantic', 'Indiana', 'Kansas', 'Louisville', 'Marshall', 'Memphis', 'Michigan State', 'Mississippi State', 'Missouri', 'Purdue', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Washington State', 'Clemson', 'Georgia State', 'Nebraska', 'Samford', 'Tennessee', 'Western Kentucky']",TN
Jontavis Robertson,https://247sports.com/player/jontavis-robertson-46058571,WR ,0.8614," Jones County (Gray, GA)                  ","['Duke', 'Indiana', 'Akron', 'Baylor', 'Central Michigan', 'Colorado State', 'East Carolina', 'Georgia', 'Georgia State', 'Kansas State', 'Kent State', 'Kentucky', 'Louisville', 'Nebraska', 'Rutgers', 'Southeast Missouri State', 'Syracuse', 'Tennessee', 'Toledo', 'Tulane', 'Wake Forest', 'Western Kentucky', 'Western Michigan']",GA
Addison Penn,https://247sports.com/player/addison-penn-46080044,OC ,0.8572," Southlake Carroll (Southlake, TX)    ","['Duke', 'Boston College', 'SMU', 'Air Force', 'Arizona', 'Army', 'Boise State', 'Colorado State', 'FIU', 'Harvard', 'Kansas', 'Louisiana-Monroe', 'Memphis', 'Nevada', 'North Texas', 'Pennsylvania', 'Princeton', 'Rutgers', 'Tulsa', 'Utah State', 'Virginia Tech']",TX
Dorian Mausi,https://247sports.com/player/dorian-mausi-46051873,OLB ,0.8539," University Of Detroit Jesuit HS (Detroit, MI)                ","['Duke', 'Akron', 'Alabama State', 'Austin Peay', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Colorado State', 'Eastern Michigan', 'Indiana', 'Kent State', 'Miami (OH)', 'Michigan State', 'Temple', 'Tennessee State', 'Toledo', 'Western Michigan']",MI
Nicky Dalmolin,https://247sports.com/player/nicky-dalmolin-46051840,WR ,0.8527," North Forsyth (Cumming, GA)                  ","['Duke', 'Appalachian State']",GA
Jaylen Stinson,https://247sports.com/player/jaylen-stinson-46055993,ATH ,0.8519," Opelika (Opelika, AL)                  ","['Duke', 'Purdue', 'Arkansas State', 'Austin Peay', 'East Carolina', 'Louisiana', 'Louisville', 'Nebraska', 'Samford', 'Southern Miss', 'Troy', 'UAB', 'Western Kentucky']",AL
Calib Perez,https://247sports.com/player/calib-perez-46056869,OT ,0.8424," Dawson (Pearland, TX)                  ","['Duke', 'Oklahoma State', 'Texas Tech', 'Air Force', 'Arizona State', 'Army', 'Baylor', 'Boise State', 'Boston College', 'Colorado', 'Colorado State', 'Dartmouth', 'Houston', 'Illinois', 'Illinois State', 'Indiana', 'Kansas', 'Louisiana', 'Minnesota', 'Nebraska', 'Pennsylvania', 'Southern Miss', 'TCU', 'Texas State', 'Tulane', 'Tulsa', 'Utah State', 'UTSA', 'Vanderbilt', 'Northwestern', 'TCU']",TX
Isaiah Fisher-Smith,https://247sports.com/player/isaiah-fisher-smith-46056898,S ,0.8423," Page (Greensboro, NC)                  ","['Duke', 'Appalachian State', 'Austin Peay', 'Charlotte', 'East Carolina', 'Liberty', 'Massachusetts', 'North Carolina', 'Tennessee', 'Wake Forest', 'Coastal Carolina', 'NC State', 'Notre Dame', 'Syracuse', 'Tennessee State', 'Virginia Tech']",NC
Gary Smith,https://247sports.com/player/gary-smith-46050732,OG ,0.8376," Central (Shelbyville, TN)                  ","['Duke', 'Virginia Tech', 'Austin Peay', 'Chattanooga', 'Florida State', 'Georgia State', 'Kent State', 'Kentucky', 'Middle Tennessee State', 'Ole Miss', 'South Carolina', 'Troy', 'Vanderbilt', 'Wake Forest', 'Western Kentucky', 'Tennessee']",TN
Ryan Smith,https://247sports.com/player/ryan-smith-46056060,ILB ,0.8356," Harrison (Kennesaw, GA)                  ","['Duke', 'Air Force', 'Akron', 'Columbia', 'Cornell', 'Dartmouth', 'Eastern Kentucky', 'Florida Atlantic', 'Illinois State', 'Kent State', 'Liberty', 'Louisville', 'Louisville', 'Ohio', 'Troy', 'UTSA', 'Yale']",GA
Da'Quan Johnson,https://247sports.com/player/daquan-johnson-46051883,ATH ,0.8301," Flomaton (Flomaton, AL)  ","['Duke', 'Troy', 'Army', 'Austin Peay', 'Eastern Kentucky', 'South Alabama', 'Southern Miss', 'Tulane', 'UAB']",AL
Cole Finney,https://247sports.com/player/cole-finney-46058643,TE ,0.8269," Hingham (Hingham, MA)                ","['Duke', 'Air Force', 'Army', 'Bowling Green', 'Brown', 'Dartmouth', 'Delaware', 'Florida Atlantic', 'Fordham', 'Holy Cross', 'Massachusetts', 'Princeton', 'Rhode Island', 'Rutgers', 'Yale', 'Syracuse']",MA
