name,url,position,score,hometown,offers,state
DJ Smith,https://247sports.com/player/dj-smith-87631,APB ,0.8426," Lone Star (Frisco, TX)    ",,TX
CJ Parks,https://247sports.com/player/cj-parks-46040351,WR ,0.8600," Cerritos College (Norwalk, CA)    ",['Eastern Michigan'],CA
Rico Small,https://247sports.com/player/rico-small-46085972,WR ,0.8286," South (Willoughby, OH)  ","['Eastern Michigan', 'Robert Morris']",OH
Jason Eaton,https://247sports.com/player/jason-eaton-46036589,OT ,0.8274," Clarksville (Clarksville, TN)    ","['Eastern Michigan', 'Austin Peay', 'Fresno State', 'Indiana', 'Kansas', 'Kentucky', 'LSU', 'South Carolina', 'Alabama', 'Brigham Young', 'Louisville', 'Notre Dame', 'USC', 'Wisconsin']",TN
David Carter,https://247sports.com/player/david-carter-46055759,CB ,0.8213," River Rouge (River Rouge, MI)  ","['Eastern Michigan', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Florida Atlantic', 'Iowa State', 'Northern Illinois', 'Ohio', 'Western Michigan', 'Michigan State', 'Northwestern', 'Wisconsin']",MI
Mickey Rewolinski,https://247sports.com/player/mickey-rewolinski-46094202,OT ,0.8192," Union Grove (Union Grove, WI)  ","['Eastern Michigan', 'Syracuse']",WI
Baron May,https://247sports.com/player/baron-may-46081731,DUAL ,0.8185," New Philadelphia (New Philadelphia, OH)    ","['Eastern Michigan', 'Air Force', 'Bowling Green', 'Harvard', 'Youngstown State']",OH
Myles McNeal,https://247sports.com/player/myles-mcneal-46078996,CB ,0.8154," Grand Blanc Community (Grand Blanc, MI)  ","['Eastern Michigan', 'Alabama State', 'Austin Peay', 'Bowling Green', 'Central Michigan', 'Eastern Kentucky', 'Tennessee State', 'Youngstown State']",MI
Jacob Barrett,https://247sports.com/player/jacob-barrett-46059414,WR ,0.8139," Checotah (Checotah, OK)    ","['Eastern Michigan', 'Air Force', 'Army', 'Central Oklahoma', 'East Central University', 'Missouri State', 'Navy', 'Northern Iowa', 'Tulsa', 'Western Illinois']",OK
Brycen Huddleston,https://247sports.com/player/brycen-huddleston-46085698,ILB ,0.8084," Highlands (Fort Thomas, KY)  ","['Eastern Michigan', 'Bowling Green', 'Southeast Missouri State']",KY
Tristen Hines,https://247sports.com/player/tristen-hines-46083173,CB ,0.8041," Milan (Milan, MI)  ",['Eastern Michigan'],MI
Xavier Smith,https://247sports.com/player/xavier-smith-46085181,WR ,0.8041," River Rouge (River Rouge, MI)  ","['Eastern Michigan', 'Findlay', 'Morgan State']",MI
Mikah Coleman,https://247sports.com/player/mikah-coleman-46098161,OLB ,0.7998," Reynoldsburg (Reynoldsburg, OH)  ","['Eastern Michigan', 'Ball State', 'Notre Dame College', 'Tiffin University']",OH
Trey Bess,https://247sports.com/player/trey-bess-46096581,APB ,0.7998," Telfair County (Mcrae, GA)    ","['Eastern Michigan', 'Akron', 'Chattanooga', 'Kent State', 'Tennessee Tech', 'Western Carolina']",GA
Kaiden Keefe,https://247sports.com/player/kaiden-keefe-46082322,WR ,0.7991," Valor Christian (Littleton, CO)  ",['Eastern Michigan'],CO
Dennis Jackson,https://247sports.com/player/dennis-jackson-46042280,DT ,0.7975," Hutchinson C.C. (Hutchinson, KS)  ","['Eastern Michigan', 'Massachusetts', 'Morehouse College', 'South Alabama', 'Southeast Missouri State']",KS
Jere Getzinger,https://247sports.com/player/jere-getzinger-46078907,TE ,0.7960," Ogemaw Heights (West Branch, MI)  ","['Eastern Michigan', 'Bowling Green', 'Central Michigan', 'Cornell', 'Western Illinois']",MI
Zach Hartsfield,https://247sports.com/player/zach-hartsfield-46096641,TE ,0.7700," Bakersfield College (Bakersfield, CA)  ","['Eastern Michigan', 'Portland State']",CA
Patrick Ross,https://247sports.com/player/patrick-ross-46050176,SDE ,0.7697," Hope College Prep (Chicago, IL)  ","['Eastern Michigan', 'Western Illinois']",IL
Adam Heston,https://247sports.com/player/adam-heston-46099204,P ,0.7496," St. Augustine Prep (Richland, NJ)  ",['Eastern Michigan'],NJ
Peyton Knight,https://247sports.com/player/peyton-knight-46099347,LS ,0.7396," Lutheran Of Indianapolis (Indianapolis, IN)  ",['Eastern Michigan'],IN
