player_id,name,url,position,score,hometown,offers,state
26,Dylan Downing,https://247sports.com/player/dylan-downing-45573225/high-school,RB ,0.8287," Carmel (Carmel, IN)    ","['UNLV', 'Ball State', 'Central Michigan', 'Eastern Illinois', 'Eastern Michigan', 'Toledo', 'Tulane', 'Washington State', 'Western Illinois', 'Western Michigan', 'Indiana', 'Iowa', 'Ohio State']",IN
27,Jeremiah Houston,https://247sports.com/player/jeremiah-houston-46079279/high-school,CB ,0.8045," Long Beach City College (Long Beach, CA)  ",,CA
28,Kue Olotoa,https://247sports.com/player/kue-olotoa-46099322/high-school,OLB ,," Riverside C.C. (Riverside, CA)                 ",,CA
54,Logan Loya,https://247sports.com/player/logan-loya-46047339/high-school,WR ,0.8958," St. John Bosco (Bellflower, CA)                    ","['UCLA', 'Arizona State', 'Colorado', 'Iowa State', 'Nebraska', 'Oregon', 'Oregon State', 'San Jose State', 'USC', 'Utah', 'Vanderbilt', 'Washington', 'Washington State', 'California', 'Fresno State', 'Nevada']",CA
55,John Humphrey,https://247sports.com/player/john-humphrey-46079589/high-school,CB ,0.8884," John Muir (Pasadena, CA)                    ","['UCLA', 'Oregon', 'Arizona', 'Arizona State', 'California', 'Oklahoma', 'Oregon State', 'San Jose State', 'Southern Miss', 'USC', 'Washington State']",CA
56,Choe Bryant-Strother,https://247sports.com/player/choe-bryant-strother-46052981/high-school,ILB ,0.883," Greater Atlanta Christian School (Norcross, GA)                    ","['UCLA', 'Brigham Young', 'Nebraska', 'Arizona', 'Boston College', 'California', 'Cincinnati', 'Columbia', 'Georgia Tech', 'Kentucky', 'Liberty', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'Mississippi State', 'North Carolina', 'Ole Miss', 'Purdue', 'South Alabama', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'UCF', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Western Kentucky']",GA
57,Mitchell Agude,https://247sports.com/player/mitchell-agude-46079579/high-school,WDE ,0.8797," Riverside C.C. (Riverside, CA)                    ",[],CA
58,Kenny Mestidor,https://247sports.com/player/kenny-mestidor-46051999/high-school,WDE ,0.8721," St. Thomas More (Oakdale, CT)                    ","['UCLA', 'Boston College', 'California', 'Florida', 'Iowa', 'Kentucky', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Ole Miss', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'UCF', 'USC', 'Vanderbilt', 'Western Michigan', 'Penn State']",CT
59,Caleb Johnson,https://247sports.com/player/caleb-johnson-46056538/high-school,ILB ,0.8669," Fullerton College (Fullerton, CA)                    ",,CA
60,Myles Jackson,https://247sports.com/player/myles-jackson-46056600/high-school,WDE ,0.8618," Mill Creek (Hoschton, GA)                    ","['UCLA', 'Virginia Tech', 'Air Force', 'Appalachian State', 'Army', 'Austin Peay', 'Charlotte', 'Coastal Carolina', 'Colorado State', 'Columbia', 'Cornell', 'Dartmouth', 'East Carolina', 'Eastern Kentucky', 'Florida Atlantic', 'Gardner-Webb', 'Georgia Southern', 'Georgia Tech', 'Holy Cross', 'Howard', 'Illinois', 'Jackson State', 'Jacksonville State', 'James Madison', 'Kansas', 'Kansas State', 'Kent State', 'Liberty', 'Marshall', 'Mercer', 'Middle Tennessee State', 'Navy', 'Princeton', 'Savannah State', 'The Citadel', 'Troy', 'Western Kentucky', 'William & Mary', 'Yale', 'Clemson', 'Eastern Kentucky']",GA
