name,url,position,score,hometown,offers,state
Jahari Rogers,https://247sports.com/player/jahari-rogers-46057921,CB ,0.9633," Arlington (Arlington, TX)                    ",,TX
Issiah Walker Jr.,https://247sports.com/player/issiah-walker-jr-46041758,OT ,0.9311," Norland (Miami, FL)                    ",,FL
Ethan Pouncey,https://247sports.com/player/ethan-pouncey-46079307,CB ,0.9280," Winter Park (Winter Park, FL)                    ",,FL
Antwaun Powell,https://247sports.com/player/antwaun-powell-46057108,WDE ,0.9251," Indian River (Chesapeake, VA)                    ",,VA
Anthony Richardson,https://247sports.com/player/anthony-richardson-46049661,DUAL ,0.9208," Eastside (Gainesville, FL)                    ",,FL
Joshua Braun,https://247sports.com/player/joshua-braun-83391,OT ,0.9049," Suwannee (Live Oak, FL)                    ",,FL
Rashad Torrence II,https://247sports.com/player/rashad-torrence-ii-46041913,S ,0.8952," Marietta (Marietta, GA)                    ",,GA
Lamar Goods,https://247sports.com/player/lamar-goods-46056026,DT ,0.8922," St. Thomas More (Oakdale, CT)                    ",,CT
Richard Leonard,https://247sports.com/player/richard-leonard-46054385,OG ,0.8633," Cocoa (Cocoa, FL)                    ",,FL
Jeremy Crawshaw,https://247sports.com/player/jeremy-crawshaw-46094164,P ,0.7940," ProKick Australia (Australia, AUST)                 ",,AU
Gervon Dexter,https://247sports.com/player/gervon-dexter-46056492,DT ,0.9946," Lake Wales (Lake Wales, FL)                  ","['Florida', 'Alabama', 'Arkansas', 'Charlotte', 'Cincinnati', 'Clemson', 'East Tennessee State', 'FIU', 'Florida Atlantic', 'Georgia', 'Indiana', 'Kansas', 'Miami', 'Mississippi State', 'NC State', 'Nebraska', 'North Carolina', 'Ohio', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas A&M', 'USF', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Michigan']",FL
Derek Wingo,https://247sports.com/player/derek-wingo-46041166,OLB ,0.9706," St. Thomas Aquinas (Fort Lauderdale, FL)                  ","['Florida', 'Penn State', 'Auburn', 'Boston College', 'Cincinnati', 'Clemson', 'Colorado', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Purdue', 'South Carolina', 'Southern Miss', 'Tennessee', 'Texas', 'Wisconsin']",FL
