name,url,position,score,hometown,offers,state
Bryan Robinson,https://247sports.com/player/bryan-robinson-46047673,WR ,0.9265," Palm Beach Central (West Palm Beach, FL)                    ",,FL
Stephen Dix Jr.,https://247sports.com/player/stephen-dix-jr-46039535,OLB ,0.9125," Dr. Phillips (Orlando, FL)                 ",,FL
Ja'Khi Douglas,https://247sports.com/player/jakhi-douglas-46050903,WR ,0.9012," Terrebonne (Houma, LA)                    ",,LA
Josh Griffis,https://247sports.com/player/josh-griffis-46048872,WDE ,0.8729," IMG Academy (Bradenton, FL)                    ",,FL
Tate Rodemaker,https://247sports.com/player/tate-rodemaker-46052628,PRO ,0.8681," Valdosta (Valdosta, GA)                    ",,GA
Zane Herring,https://247sports.com/player/zane-herring-46051859,OG ,0.8621," Madison County (Madison, FL)                    ",,FL
Carter Boatwright,https://247sports.com/player/carter-boatwright-46085547,TE ,0.8559," Colquitt County (Moultrie, GA)                    ",,GA
Alex Mastromanno,https://247sports.com/player/alex-mastromanno-46097539,P ,0.7885," Brighton Grammar School (Melbourne, VC)                 ",,VC
Demorie Tate,https://247sports.com/player/demorie-tate-46055223,CB ,0.9830," Freedom (Orlando, FL)                  ","['Florida State', 'Alabama', 'Auburn', 'Florida', 'Florida Atlantic', 'Georgia', 'Miami', 'Pittsburgh', 'Tennessee', 'UCF']",FL
Chubba Purdy,https://247sports.com/player/chubba-purdy-46076928,DUAL ,0.9227," Perry (Gilbert, AZ)                  ","['Florida State', 'Louisville', 'Arizona State', 'Boise State', 'Bowling Green', 'California', 'Colorado', 'Illinois', 'Kansas', 'Kansas State', 'Michigan State', 'Northern Arizona', 'Oregon State', 'Purdue', 'Toledo', 'UCF', 'UNLV', 'Utah', 'Washington State', 'Yale', 'Colorado State', 'Fresno State', 'Iowa State', 'Nevada']",AZ
Jadarius Green-McKnight,https://247sports.com/player/jadarius-green-mcknight-46041817,S ,0.9178," Dunbar (Fort Myers, FL)                  ","['Florida State', 'Arkansas', 'Auburn', 'Florida', 'Illinois', 'Miami', 'Nebraska', 'Notre Dame', 'Oregon', 'Southern Miss', 'Tennessee', 'Texas A&M']",FL
Lawrance Toafili,https://247sports.com/player/lawrance-toafili-46039737,RB ,0.9143," Pinellas Park (Largo, FL)                  ","['Florida State', 'Alabama', 'Auburn', 'Duke', 'Florida', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oregon', 'Syracuse', 'UCF', 'USF', 'Virginia', 'Arkansas', 'Kentucky', 'Louisville', 'Northwestern', 'Purdue']",FL
Emanuel Rogers,https://247sports.com/player/emanuel-rogers-46079822,DT ,0.8904," Jensen Beach (Jensen Beach, FL)                  ","['Florida State', 'Auburn', 'FIU', 'Florida', 'Florida Atlantic', 'Indiana', 'LSU', 'Miami', 'Michigan', 'Oregon', 'Penn State', 'Pittsburgh', 'Rutgers', 'Tennessee', 'UCF', 'USF', 'Virginia']",FL
Corey Wren,https://247sports.com/player/corey-wren-46057831,ATH ,0.8822," John Curtis (New Orleans, LA)    ","['Florida State', 'Arizona State', 'Houston', 'Maryland', 'TCU', 'Georgia', 'Arizona', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Kansas', 'Kentucky', 'Louisiana Tech', 'Louisiana-Monroe', 'Louisville', 'Memphis', 'Mississippi State', 'Nebraska', 'Nicholls State', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'SMU', 'South Alabama', 'Southern Miss', 'Tennessee', 'Texas Tech', 'Tulane', 'USC', 'UTSA', 'Washington State', 'West Virginia', 'Louisiana Tech', 'Louisiana-Monroe', 'Ole Miss']",LA
Kentron Poitier,https://247sports.com/player/kentron-poitier-46058431,WR ,0.8788," Miami Palmetto (Miami, FL)                  ","['Florida State', 'Florida', 'Syracuse', 'Alabama', 'Auburn', 'Baylor', 'Boston College', 'FIU', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'North Carolina', 'Oregon', 'Pittsburgh', 'Southern Miss', 'Tennessee', 'Toledo', 'Virginia', 'Washington State', 'Western Kentucky']",FL
Jayion McCluster,https://247sports.com/player/jayion-mccluster-46039453,ILB ,0.8784," Largo (Largo, FL)                  ","['Florida State', 'Auburn', 'Boston College', 'Florida', 'Iowa', 'Iowa State', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'North Carolina', 'Oregon', 'Syracuse', 'Tennessee', 'Toledo', 'UCF', 'USF', 'Virginia Tech', 'West Virginia']",FL
Robert Scott,https://247sports.com/player/robert-scott-46082360,OT ,0.8776," Conway (Conway, AR)    ","['Florida State', 'Arkansas', 'Ole Miss', 'Arkansas State', 'Central Arkansas', 'Kansas', 'Louisiana', 'Louisville', 'Mississippi State', 'Missouri', 'Nebraska', 'SMU', 'TCU', 'Tennessee', 'Vanderbilt']",AR
Sidney Williams,https://247sports.com/player/sidney-williams-46078946,ATH ,0.8742," Vigor (Mobile, AL)  ","['Florida State', 'Indiana', 'Tulane', 'Alcorn State', 'Auburn', 'Central Michigan', 'Georgia', 'Kansas', 'Kentucky', 'LSU', 'Nebraska', 'Ole Miss', 'South Alabama', 'Southern Miss', 'Tennessee', 'Texas A&M']",AL
Thomas Shrader,https://247sports.com/player/thomas-shrader-46076578,OC ,0.8701," Venice (Venice, FL)                  ","['Florida State', 'Louisville', 'Boston College', 'Coastal Carolina', 'Duke', 'FIU', 'Georgia Tech', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kentucky', 'Louisiana-Monroe', 'Middle Tennessee State', 'Minnesota', 'Old Dominion', 'Pittsburgh', 'Purdue', 'Syracuse', 'Troy', 'Tulane', 'UCF', 'USF', 'Vanderbilt', 'West Virginia', 'Western Kentucky', 'Auburn', 'Illinois', 'Miami']",FL
Darion Williamson,https://247sports.com/player/darion-williamson-46086125,ATH ,0.8648," Haywood (Brownsville, TN)    ","['Florida State', 'Tennessee', 'Arkansas', 'Arkansas State', 'Memphis']",TN
La’Damian Webb,https://247sports.com/player/ladamian-webb-86234,RB ,0.8615," Jones County J.C. (Ellisville, MS)    ","['Florida State', 'Arkansas State', 'Louisiana', 'Missouri', 'Oklahoma State', 'Ole Miss', 'Troy', 'West Virginia', 'Western Kentucky']",MS
DJ Lundy,https://247sports.com/player/dj-lundy-46055222,ATH ,0.8551," Irwin County (Ocilla, GA)    ","['Florida State', 'Georgia', 'Vanderbilt', 'Virginia Tech', 'Appalachian State', 'Auburn', 'Georgia Southern', 'Kentucky', 'South Carolina', 'Tennessee', 'Troy', 'UAB', 'West Virginia', 'Georgia Tech', 'Wake Forest']",GA
Lloyd Willis,https://247sports.com/player/lloyd-willis-46056767,OT ,0.8505," Killian (Miami, FL)                    ","['Florida State', 'FIU', 'Florida A&M', 'Indiana', 'UCF', 'Miami']",FL
TJ Davis,https://247sports.com/player/tj-davis-46076569,OLB ,0.8416," Metter (Metter, GA)    ","['Florida State', 'Central Michigan', 'Georgia Tech', 'Middle Tennessee State', 'Akron', 'Arizona', 'Charlotte', 'Chattanooga', 'Coastal Carolina', 'East Tennessee State', 'Georgia Southern', 'Jacksonville State', 'Kent State', 'Liberty', 'Louisiana', 'Mercer', 'Notre Dame College', 'Savannah State', 'Southeast Missouri State', 'Tennessee State', 'Tusculum', 'Western Kentucky', 'Kentucky']",GA
