name,url,position,score,hometown,offers,state
Joseph Church,https://247sports.com/player/joseph-church-46077032,OT ,0.8410," Upland (Upland, CA)    ","['Fresno State', 'Arizona State', 'New Mexico', 'UTEP', 'Nevada']",CA
Julian Polendo,https://247sports.com/player/julian-polendo-46056923,OT ,0.8399," Palm Springs (Palm Springs, CA)    ","['Fresno State', 'California', 'Arizona State', 'Sacramento State', 'San Diego State', 'San Jose State', 'UNLV']",CA
Rory Hanson,https://247sports.com/player/rory-hanson-46097627,TE ,0.8270," Modesto J.C. (Modesto, CA)    ","['Fresno State', 'Massachusetts', 'Sam Houston State', 'UTEP']",CA
Matt Lowe,https://247sports.com/player/matt-lowe-46055075,TE ,0.8269," Serrano (Phelan, CA)    ","['Fresno State', 'Arizona State', 'Boise State', 'New Mexico', 'San Diego State', 'San Jose State', 'UNLV', 'Utah State', 'UTEP', 'Oregon', 'UC Davis', 'UCLA', 'Washington', 'Washington State']",CA
Kamron Forest,https://247sports.com/player/kamron-forest-46047004,CB ,0.8248," Cajon (San Bernardino, CA)    ","['Fresno State', 'Nevada', 'New Mexico', 'San Diego State', 'San Jose State', 'UNLV', 'Utah State', 'Oregon State', 'Wyoming']",CA
Da'Marcus Johnson,https://247sports.com/player/damarcus-johnson-46094772,SDE ,0.8206," American River C.C. (Sacramento, CA)    ","['Fresno State', 'Arizona State', 'Hawaii', 'Western Kentucky']",CA
CJ Jones,https://247sports.com/player/cj-jones-46085495,CB ,0.8198," Buchanan (Clovis, CA)    ","['Fresno State', 'San Jose State', 'UNLV']",CA
Malik Sherrod,https://247sports.com/player/malik-sherrod-46082434,ATH ,0.8173," Pacifica (Oxnard, CA)    ","['Fresno State', 'Air Force', 'Middle Tennessee State', 'Montana', 'Montana State', 'North Dakota', 'Sacramento State', 'San Jose State', 'South Dakota', 'Texas State', 'UC Davis', 'Utah State', 'Yale']",CA
Dupree Williams,https://247sports.com/player/dupree-williams-46055972,S ,0.8154," Compton Dominguez (Compton, CA)  ","['Fresno State', 'Nevada', 'New Mexico State', 'San Diego State', 'UNLV']",CA
Mac Dalena,https://247sports.com/player/mac-dalena-46058892,WR ,0.8111," San Joaquin Memorial (Fresno, CA)    ",['Fresno State'],CA
Kosi Agina,https://247sports.com/player/kosi-agina-46085184,CB ,0.8098," Sanger (Sanger, CA)    ","['Fresno State', 'Air Force', 'Northern Arizona', 'UNLV', 'Wyoming']",CA
Tyler Mello,https://247sports.com/player/tyler-mello-46095025,ILB ,0.8053," Hanford (Hanford, CA)    ","['Fresno State', 'UC Davis', 'Colorado State', 'Montana State', 'Sacramento State', 'San Diego State', 'UNLV', 'Wyoming']",CA
Mose Vavao,https://247sports.com/player/mose-vavao-46048994,OG ,0.7998," St. Francis (Mountain View, CA)  ","['Fresno State', 'Air Force', 'Columbia', 'Harvard', 'Hawaii', 'San Jose State', 'UNLV', 'Utah State', 'Yale', 'UCLA']",CA
Logan Fife,https://247sports.com/player/logan-fife-46051290,DUAL ,0.7882," Tracy (Tracy, CA)  ","['Fresno State', 'Cal Poly']",CA
Jamir Shepard,https://247sports.com/player/jamir-shepard-46077131,WR ,0.8456," Palo Alto (Palo Alto, CA)    ","['Fresno State', 'Arizona State', 'Hawaii', 'Oregon State', 'UNLV', 'Washington State', 'Wyoming', 'Oregon', 'Washington']",CA
