name,url,position,score,hometown,offers,state
Kendall Milton,https://247sports.com/player/kendall-milton-46041050,RB ,0.9740," Buchanan (Clovis, CA)                    ",,CA
Jalen Kimber,https://247sports.com/player/jalen-kimber-46048842,CB ,0.9537," Mansfield Timberview (Arlington, TX)                    ",,TX
Major Burns,https://247sports.com/player/major-burns-46055558,S ,0.9261," Madison Prep Academy (Baton Rouge, LA)                    ",,LA
Carson Beck,https://247sports.com/player/carson-beck-46053141,PRO ,0.9098," Mandarin (Jacksonville, FL)                    ",,FL
Justin Robinson,https://247sports.com/player/justin-robinson-46058884,WR ,0.8998," Eagle's Landing Christian (Mcdonough, GA)                    ",,GA
Warren Brinson,https://247sports.com/player/warren-brinson-46057836,DT ,0.8978," IMG Academy (Bradenton, FL)                    ",,FL
Kelee Ringo,https://247sports.com/player/kelee-ringo-46047125,CB ,0.9976," Saguaro (Scottsdale, AZ)    ","['Georgia', 'Oregon', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Clemson', 'Florida', 'Florida State', 'Howard', 'Iowa State', 'Louisville', 'LSU', 'Memphis', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Penn State', 'Stanford', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'USC', 'Vanderbilt', 'Washington', 'Arkansas']",AZ
Broderick Jones,https://247sports.com/player/broderick-jones-46051865,OT ,0.9947," Lithonia (Lithonia, GA)    ","['Georgia', 'Arkansas', 'Illinois', 'Alabama', 'Auburn', 'Maryland', 'Tennessee', 'Clemson']",GA
Jalen Carter,https://247sports.com/player/jalen-carter-46042405,DT ,0.9913," Apopka (Apopka, FL)                  ","['Georgia', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Florida State', 'Miami', 'North Carolina', 'Ole Miss', 'Purdue', 'USF']",FL
Darnell Washington,https://247sports.com/player/darnell-washington-46048728,ATH ,0.9894," Desert Pines (Las Vegas, NV)    ","['Georgia', 'Alabama', 'Florida', 'Miami', 'Tennessee', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Brigham Young', 'Clemson', 'Florida State', 'Kansas', 'Kansas State', 'LSU', 'Michigan', 'Minnesota', 'Mississippi State', 'Nebraska', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Oregon State', 'Penn State', 'San Diego State', 'Southern Utah', 'Texas', 'Texas A&M', 'USC', 'Utah', 'Utah State', 'Vanderbilt', 'West Virginia']",NV
Mekhail Sherman,https://247sports.com/player/mekhail-sherman-46043181,OLB ,0.9833," St. John's (Washington, DC)                  ","['Georgia', 'Ohio State', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Indiana', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Oklahoma', 'Oregon', 'Penn State', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wisconsin']",DC
Tate Ratledge,https://247sports.com/player/tate-ratledge-94238,OT ,0.9822," Darlington School (Rome, GA)                  ","['Georgia', 'Alabama', 'Auburn', 'Florida', 'LSU', 'Michigan', 'Mississippi State', 'Ole Miss', 'Penn State', 'South Carolina', 'Tennessee', 'Virginia Tech', 'West Virginia', 'Nebraska']",GA
Marcus Rosemy,https://247sports.com/player/marcus-rosemy-46043121,WR ,0.9737," St. Thomas Aquinas (Fort Lauderdale, FL)                  ","['Georgia', 'Florida', 'Arkansas', 'Auburn', 'Boston College', 'Cincinnati', 'East Carolina', 'Florida State', 'Illinois', 'Kentucky', 'LSU', 'Maryland', 'Miami', 'Michigan', 'NC State', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Tennessee', 'Texas', 'Texas A&M', 'USF', 'Wake Forest']",FL
Arian Smith,https://247sports.com/player/arian-smith-46052428,WR ,0.9723," Lakeland (Lakeland, FL)                  ","['Georgia', 'Alabama', 'Alcorn State', 'Appalachian State', 'Auburn', 'Clemson', 'Duke', 'Florida', 'Florida State', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'NC State', 'North Carolina', 'Notre Dame', 'Oklahoma', 'Purdue', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas A&M', 'UCF']",FL
Sedrick Van Pran,https://247sports.com/player/sedrick-van-pran-46052225,OC ,0.9715," Warren Easton (New Orleans, LA)    ","['Georgia', 'Alabama', 'Florida', 'Oklahoma', 'Texas A&M', 'Arkansas', 'Auburn', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'LSU', 'Miami', 'Mississippi State', 'Ole Miss', 'SMU', 'Southern Miss', 'Tennessee', 'Texas State', 'Tulane', 'Virginia', 'West Virginia', 'Florida State']",LA
Jermaine Burton,https://247sports.com/player/jermaine-burton-46039009,WR ,0.9649," Calabasas (Calabasas, CA)                  ","['Georgia', 'Arizona State', 'LSU', 'Oregon', 'Miami', 'Alabama', 'Arkansas', 'Auburn', 'Colorado', 'Florida', 'Georgia Tech', 'Kentucky', 'Louisville', 'Mississippi State', 'Penn State', 'South Carolina', 'Syracuse', 'Tennessee', 'UCLA', 'USC']",CA
Chad Lindberg,https://247sports.com/player/chad-lindberg-46047350,OT ,0.9367," Clear Creek (League City, TX)                  ","['Georgia', 'LSU', 'Texas', 'Texas A&M', 'USC', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Clemson', 'Colorado', 'Florida', 'Georgia Tech', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Purdue', 'SMU', 'Stanford', 'TCU', 'Texas Tech', 'Tulane', 'Tulsa', 'Utah', 'Vanderbilt', 'Virginia Tech', 'Wisconsin']",TX
Nazir Stackhouse,https://247sports.com/player/nazir-stackhouse-46045556,DT ,0.9098," Columbia (Decatur, GA)                  ","['Georgia', 'Alabama', 'Florida', 'Florida State', 'Georgia Tech', 'LSU', 'Mississippi State', 'Nebraska', 'Ohio State', 'Tennessee', 'Texas A&M']",GA
Daijun Edwards,https://247sports.com/player/daijun-edwards-46040402,RB ,0.9025," Colquitt County (Moultrie, GA)    ","['Georgia', 'Arkansas', 'Auburn', 'Colorado', 'Florida State', 'Georgia State', 'Kentucky', 'Maryland', 'Mississippi State', 'Penn State', 'Tennessee']",GA
Austin Blaske,https://247sports.com/player/austin-blaske-46081392,OT ,0.8759," South Effingham (Guyton, GA)                  ","['Georgia', 'NC State', 'Air Force', 'Cincinnati', 'Columbia', 'East Carolina', 'Eastern Kentucky', 'Florida Atlantic', 'Furman', 'Georgia Southern', 'Georgia State', 'Memphis', 'Mercer', 'Middle Tennessee State', 'Samford', 'Savannah State', 'Troy', 'Tulane', 'UCF', 'Vanderbilt', 'Western Kentucky', 'Duke']",GA
Daran Branch,https://247sports.com/player/daran-branch-46054701,CB ,0.8668," Amite (Amite, LA)    ","['Georgia', 'Ole Miss', 'Southern Miss', 'Auburn', 'Colorado', 'Kansas', 'Kentucky', 'Louisiana Tech', 'Memphis', 'Miami', 'Oklahoma', 'Oklahoma State', 'Tennessee', 'Tulane', 'Indiana', 'LSU', 'Mississippi State']",LA
Devin Willock,https://247sports.com/player/devin-willock-46051802,OT ,0.8573," Paramus Catholic (Paramus, NJ)                  ","['Georgia', 'Penn State', 'Boston College', 'Buffalo', 'Georgia Tech', 'Howard', 'Indiana', 'Massachusetts', 'Rutgers', 'Virginia', 'Delaware', 'Kentucky', 'Stony Brook', 'Syracuse', 'Temple', 'West Virginia']",NJ
Ladd McConkey,https://247sports.com/player/ladd-mcconkey-46084972,WR ,0.8485," North Murray (Chatsworth, GA)  ","['Georgia', 'Army', 'Bucknell', 'Furman', 'Georgia Southern', 'Kennesaw State', 'Kent State', 'Mercer', 'Vanderbilt', 'William & Mary', 'Clemson', 'Tennessee']",GA
Cameron Kinnie,https://247sports.com/player/cameron-kinnie-46056021,DT ,0.8343," Collins Hill (Suwanee, GA)  ","['Georgia', 'Iowa State', 'Jacksonville State', 'Syracuse', 'Temple', 'Georgia Tech']",GA
Jared Zirkel,https://247sports.com/player/jared-zirkel-46085595,K ,0.8263," Tivy (Kerrville, TX)                ","['Georgia', 'Air Force', 'Army']",TX
