name,url,position,score,hometown,offers,state
Samuel Kenerson,https://247sports.com/player/samuel-kenerson-46080522,ATH ,0.8551," Central (Baton Rouge, LA)    ","['Georgia Southern', 'South Alabama', 'Army', 'Austin Peay', 'Jackson State', 'Lamar', 'Louisiana-Monroe', 'Middle Tennessee State', 'Nicholls State', 'Richmond', 'Southern Miss', 'Southern University']",LA
Jordan Mitchell,https://247sports.com/player/jordan-mitchell-46053815,WDE ,0.8431," Sandy Creek (Tyrone, GA)    ","['Georgia Southern', 'Maryland', 'Air Force', 'Arkansas State', 'Army', 'Coastal Carolina', 'Dartmouth', 'Eastern Kentucky', 'Florida Atlantic', 'Georgia State', 'Howard', 'Jacksonville State', 'Kent State', 'Liberty', 'Louisville', 'Pittsburgh', 'Rutgers', 'Samford', 'South Alabama', 'Tennessee State', 'Yale', 'Georgia Tech', 'Rice', 'Rutgers', 'SMU', 'Troy']",GA
Chalon Howard,https://247sports.com/player/chalon-howard-46077008,S ,0.8379," Madison County (Madison, FL)    ","['Georgia Southern', 'Air Force', 'Austin Peay', 'Georgia State', 'Marshall', 'Mercer', 'Ohio', 'Tennessee State', 'The Citadel', 'Troy', 'USF', 'Western Carolina', 'Tulane', 'Wake Forest']",FL
Jalen White,https://247sports.com/player/jalen-white-46094671,RB ,0.8366," Daleville (Daleville, AL)    ","['Georgia Southern', 'Tulane', 'Alabama A&M', 'Arkansas State', 'Coastal Carolina', 'Mercer', 'North Alabama', 'South Alabama', 'Tennessee State', 'Toledo', 'Western Kentucky', 'Florida', 'Florida State', 'Tennessee']",AL
Tyler Bride,https://247sports.com/player/tyler-bride-46051449,ATH ,0.8282," Greater Atlanta Christian School (Norcross, GA)    ",,GA
Anthony Dinkins-McCall,https://247sports.com/player/anthony-dinkins-mccall-46085890,APB ,0.8274," Sumter (Sumter, SC)  ",['Georgia Southern'],SC
Rasheed Miller,https://247sports.com/player/rasheed-miller-46086508,OT ,0.8259," Lake Wales (Lake Wales, FL)    ","['Georgia Southern', 'Kent State', 'Mercer', 'Samford', 'Tennessee State', 'Western Kentucky']",FL
Teva Reynolds,https://247sports.com/player/teva-reynolds-46098429,OC ,0.8250," Mt. San Antonio College (Walnut, CA)    ","['Georgia Southern', 'Adams State', 'Morgan State', 'West Liberty']",CA
Brandon Wilson,https://247sports.com/player/brandon-wilson-46086044,SDE ,0.8216," Battery Creek (Beaufort, SC)    ","['Georgia Southern', 'Coastal Carolina', 'Furman', 'Navy']",SC
Sean Pelkisson,https://247sports.com/player/sean-pelkisson-46079188,WDE ,0.8173," Downingtown West (Downingtown, PA)    ","['Georgia Southern', 'Air Force', 'Army', 'Bryant', 'Cornell', 'Fordham', 'Holy Cross', 'Lafayette', 'Lehigh', 'Massachusetts', 'New Hampshire', 'Robert Morris', 'The Citadel', 'William & Mary', 'Youngstown State', 'Brown', 'Buffalo', 'Columbia', 'Connecticut', 'Delaware', 'Kent State', 'Liberty', 'Merrimack', 'Monmouth', 'Pennsylvania', 'Richmond', 'Villanova']",PA
