name,url,position,score,hometown,offers,state
Mikele Colasurdo,https://247sports.com/player/mikele-colasurdo-46055358,PRO ,0.8294," Chapman (Inman, SC)      ",,SC
Jalen Tate,https://247sports.com/player/jalen-tate-46058829,S ,0.8247," Greenville (Greenville, SC)      ",,SC
Jonathan Brown,https://247sports.com/player/jonathan-brown-46084693,OT ,0.8174," T L Hanna (Anderson, SC)      ",,SC
Kris Byrd,https://247sports.com/player/kris-byrd-46094266,TE ,0.8098," Byrnes (Duncan, SC)      ",,SC
Jacob Freeman,https://247sports.com/player/jacob-freeman-46047576,WR ,0.8505," Callaway (Hogansville, GA)  ","['Georgia State', 'Arkansas State', 'Baylor', 'Boston College', 'Cincinnati', 'Colorado', 'East Carolina', 'Georgia Tech', 'Louisville', 'Maryland', 'Michigan State', 'Mississippi State', 'North Carolina', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Temple', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Alabama', 'Georgia', 'Tennessee', 'Virginia']",GA
Terrell Gordon,https://247sports.com/player/terrell-gordon-46083787,S ,0.8410," Central (Phenix City, AL)                  ","['Georgia State', 'Chattanooga', 'Jacksonville State', 'Ole Miss', 'Troy', 'Virginia Tech', 'Western Carolina', 'Auburn']",AL
Robert Lewis,https://247sports.com/player/robert-lewis-46079389,WR ,0.8410," Newton (Covington, GA)    ","['Georgia State', 'Connecticut', 'Akron', 'Coastal Carolina', 'Georgia Southern', 'Kentucky', 'Louisville', 'Minnesota', 'Purdue', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'Troy', 'USF', 'Virginia Tech', 'Western Michigan']",GA
Jeff Miller,https://247sports.com/player/jeff-miller-46084463,OG ,0.8348," Armwood (Seffner, FL)    ","['Georgia State', 'Appalachian State', 'Bowling Green', 'Buffalo', 'Campbell', 'Eastern Michigan', 'FIU', 'Tennessee State', 'Valdosta State']",FL
Chandler Durham,https://247sports.com/player/chandler-durham-46081390,OT ,0.8336," Ola (McDonough, GA)    ","['Georgia State', 'Nebraska', 'Arkansas State', 'Kent State', 'Troy', 'USF', 'Western Kentucky']",GA
Justin Abraham,https://247sports.com/player/justin-abraham-46086171,ILB ,0.8307," Hartsville (Hartsville, SC)    ","['Georgia State', 'Liberty', 'Coastal Carolina']",SC
Tailique Williams,https://247sports.com/player/tailique-williams-46094709,ATH ,0.8294," Harris County (Hamilton, GA)    ","['Georgia State', 'Central Michigan', 'Charleston Southern', 'Chattanooga', 'Coastal Carolina', 'East Tennessee State', 'Florida Atlantic', 'Georgia Southern', 'Kennesaw State', 'Mercer', 'Southeast Missouri State', 'Tennessee State', 'Tennessee Tech', 'Troy', 'UAB', 'Western Kentucky']",GA
Marcus Carroll,https://247sports.com/player/marcus-carroll-46038010,RB ,0.8214," Hapeville Charter (Atlanta, GA)    ","['Georgia State', 'Georgia Southern', 'Coastal Carolina', 'Akron', 'Kent State', 'Maryland', 'USF']",GA
Christian Thomas,https://247sports.com/player/christian-thomas-46085307,WR ,0.8139," Greater Atlanta Christian School (Norcross, GA)    ","['Georgia State', 'Air Force', 'Army', 'Charleston Southern', 'North Dakota State', 'South Alabama', 'Stetson', 'Tennessee State']",GA
Ahmon Green,https://247sports.com/player/ahmon-green-46084070,PRO ,0.8132," Westwood (Blythewood, SC)    ","['Georgia State', 'Coastal Carolina', 'Elon', 'Howard', 'Louisville', 'North Carolina A&T', 'North Carolina Central']",SC
Mason Cook,https://247sports.com/player/mason-cook-46084788,OG ,0.8044," Central (Phenix City, AL)    ","['Georgia State', 'Alcorn State', 'Arkansas State', 'Bowling Green', 'Illinois', 'Auburn', 'Liberty', 'Troy']",AL
Manny Thompson,https://247sports.com/player/manny-thompson-46096733,OT ,0.8041," Warner Robins (Warner Robins, GA)  ","['Georgia State', 'Southeast Missouri State']",GA
