name,url,position,score,hometown,offers,state
Jahmyr Gibbs,https://247sports.com/player/jahmyr-gibbs-46080991,RB ,0.9653," Dalton (Dalton, GA)    ","['Georgia Tech', 'Florida', 'Alabama', 'Charlotte', 'Coastal Carolina', 'East Carolina', 'Florida State', 'Georgia Southern', 'Iowa State', 'Louisville', 'LSU', 'Michigan', 'Mississippi State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Ohio State', 'Ole Miss', 'Purdue', 'South Carolina', 'Syracuse', 'Texas', 'Texas A&M', 'Troy', 'USC', 'Virginia Tech', 'Wake Forest']",GA
Jeff Sims,https://247sports.com/player/jeff-sims-46054126,DUAL ,0.9169," Sandalwood (Jacksonville, FL)                    ","['Georgia Tech', 'Maryland', 'Florida State', 'Boston College', 'Bowling Green', 'Cincinnati', 'Colorado State', 'Connecticut', 'FIU', 'Georgia', 'Louisville', 'LSU', 'Penn State', 'Tennessee', 'UCF', 'USF', 'Virginia Tech', 'Alabama', 'Florida Atlantic', 'Miami', 'Nebraska', 'North Carolina', 'Wake Forest', 'Western Kentucky']",FL
Miles Brooks,https://247sports.com/player/miles-brooks-46040393,CB ,0.9087," Trinity Christian Academy (Jacksonville, FL)    ","['Georgia Tech', 'Alabama', 'Arizona', 'Auburn', 'Duke', 'Florida', 'Illinois', 'Kentucky', 'Louisville', 'Nebraska', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'South Carolina', 'Utah', 'Valdosta State', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia']",FL
Bryce Gowdy,https://247sports.com/player/bryce-gowdy-46050312,WR ,0.8980," Deerfield Beach (Deerfield Beach, FL)      ","['Georgia Tech', 'Syracuse', 'West Virginia', 'Arkansas', 'Auburn', 'Boston College', 'Bowling Green', 'Florida', 'Florida Atlantic', 'Florida State', 'Illinois', 'Kentucky', 'Louisville', 'Minnesota', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'South Carolina', 'Temple', 'Tennessee', 'USF', 'Utah', 'Virginia', 'Virginia Tech', 'Notre Dame']",FL
Jared Ivey,https://247sports.com/player/jared-ivey-46076703,WDE ,0.8946," North Gwinnett (Suwanee, GA)    ","['Georgia Tech', 'Colorado', 'Nebraska', 'Arizona State', 'Duke', 'Iowa', 'Iowa State', 'Miami', 'Michigan State', 'Minnesota', 'Notre Dame', 'Pittsburgh', 'Purdue', 'Rice', 'Stanford', 'Tennessee', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia']",GA
Nate McCollum,https://247sports.com/player/nate-mccollum-46059488,WR ,0.8870," Dutchtown (Hampton, GA)    ","['Georgia Tech', 'NC State', 'Akron', 'Appalachian State', 'Coastal Carolina', 'East Carolina', 'Florida A&M', 'Georgia Southern', 'Georgia State', 'Kansas', 'Kent State', 'Mercer', 'Michigan', 'Michigan State', 'South Alabama', 'Syracuse', 'Tennessee', 'Western Kentucky', 'Troy']",GA
Khatavian Franks,https://247sports.com/player/khatavian-franks-46037630,ILB ,0.8837," Creekside (Fairburn, GA)    ","['Georgia Tech', 'Colorado', 'Louisville', 'Pittsburgh', 'Boston College', 'Campbell', 'Coastal Carolina', 'Colorado State', 'Delta State', 'Duke', 'Georgia State', 'Kent State', 'Liberty', 'Memphis', 'Michigan State', 'Middle Tennessee State', 'Tennessee State', 'Troy', 'Tulane', 'USF', 'Virginia', 'Virginia Tech', 'Wake Forest', 'Washington State', 'Western Kentucky', 'Georgia Tech']",GA
Ryan King,https://247sports.com/player/ryan-king-46056049,WR ,0.8830," Grayson (Loganville, GA)    ","['Georgia Tech', 'Arkansas', 'Baylor', 'Coastal Carolina', 'FIU', 'Kentucky', 'LSU', 'Maryland', 'Minnesota', 'North Carolina', 'Ole Miss', 'Rutgers', 'Tennessee', 'Texas', 'Texas A&M', 'Vanderbilt', 'Wake Forest', 'Clemson', 'Michigan']",GA
Michael Rankins,https://247sports.com/player/michael-rankins-46052237,OT ,0.8755," Lennard (Ruskin, FL)   ","['Georgia Tech', 'Minnesota', 'Appalachian State', 'Auburn', 'Coastal Carolina', 'Duke', 'Florida State', 'Illinois', 'Louisville', 'Miami', 'Pittsburgh', 'Southern Miss', 'UCF', 'USF', 'Wake Forest']",FL
Jordan Williams,https://247sports.com/player/jordan-williams-46055673,OT ,0.8742," Gainesville (Gainesville, GA)      ","['Georgia Tech', 'Appalachian State', 'Ball State', 'East Carolina', 'Indiana', 'NC State', 'Rutgers', 'SMU', 'South Carolina', 'Vanderbilt']",GA
Tyson Meiguez,https://247sports.com/player/tyson-meiguez-46053216,OLB ,0.8721," Creekside (Fairburn, GA)    ","['Georgia Tech', 'Baylor', 'Boston College', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Duke', 'East Carolina', 'Georgia Southern', 'Georgia State', 'Iowa State', 'Kansas', 'Kentucky', 'Maryland', 'Michigan State', 'Minnesota', 'Missouri', 'Pittsburgh', 'South Alabama', 'Syracuse', 'Tennessee', 'UAB', 'USF', 'Wake Forest', 'Western Kentucky', 'Michigan State', 'Purdue', 'Tulane']",GA
Jalen Huff,https://247sports.com/player/jalen-huff-46036492,CB ,0.8689," Buford (Buford, GA)      ","['Georgia Tech', 'Oklahoma', 'Arizona State', 'Arkansas State', 'Auburn', 'Boston College', 'Colorado', 'Duke', 'FIU', 'Florida A&M', 'Illinois', 'Kentucky', 'Louisiana Tech', 'Louisville', 'Michigan State', 'Mississippi State', 'Missouri', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ole Miss', 'Ole Miss', 'Oregon', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas Tech', 'Troy', 'UCF', 'Vanderbilt', 'Virginia', 'Western Kentucky', 'Arkansas']",GA
Paula Vaipulu,https://247sports.com/player/paula-vaipulu-46080006,OC ,0.8627," Channelview (Channelview, TX)    ","['Georgia Tech', 'Arizona', 'Boston College', 'Brigham Young', 'Colorado State', 'FIU', 'Hawaii', 'Houston', 'Liberty', 'Louisiana', 'Missouri', 'Nebraska', 'North Texas', 'Rutgers', 'SMU', 'Southern Miss', 'Texas State', 'Tulsa', 'Utah State', 'UTSA']",TX
Kyle Kennard,https://247sports.com/player/kyle-kennard-46056592,WDE ,0.8614," Riverwood (Atlanta, GA)    ","['Georgia Tech', 'Arizona State', 'East Carolina', 'Iowa State', 'Memphis', 'Minnesota', 'Missouri', 'Tennessee', 'Toledo', 'Troy', 'Virginia', 'Western Michigan', 'Georgia', 'Georgia State', 'Michigan State', 'Tulsa', 'Wisconsin']",GA
Khaya Wright,https://247sports.com/player/khaya-wright-46058373,OLB ,0.8605," South Miami Senior (Miami, FL)    ","['Georgia Tech', 'FIU', 'Kentucky', 'Louisville', 'Marshall', 'Miami', 'Rutgers', 'Syracuse', 'Tennessee State', 'UNLV', 'USF', 'Virginia', 'Western Kentucky', 'FIU', 'Florida Atlantic', 'Michigan State']",FL
Akelo Stone,https://247sports.com/player/akelo-stone-46054479,SDE ,0.8601," Jenkins (Savannah, GA)   ","['Georgia Tech', 'Air Force', 'Army', 'Cincinnati', 'Coastal Carolina', 'East Carolina', 'FIU', 'Georgia Southern', 'Georgia State', 'Liberty', 'Missouri', 'Troy', 'Tulane', 'UAB', 'USF', 'Wake Forest', 'West Virginia']",GA
Billy Ward,https://247sports.com/player/billy-ward-46059487,TE ,0.8559," Locust Grove (Locust Grove, GA)    ","['Georgia Tech', 'Air Force', 'Appalachian State', 'Boston College', 'Coastal Carolina', 'Florida Atlantic', 'Georgia Southern', 'Georgia State', 'Kent State', 'Louisville', 'South Alabama', 'Troy', 'Virginia', 'Georgia', 'South Carolina']",GA
Wing Green,https://247sports.com/player/wing-green-46085803,OT ,0.8552," Lee County (Leesburg, GA)  ","['Georgia Tech', 'Western Kentucky', 'Florida Atlantic']",GA
Tucker Gleason,https://247sports.com/player/tucker-gleason-46054252,DUAL ,0.8521," Plant (Tampa, FL)      ","['Georgia Tech', 'Cincinnati', 'Duke', 'Georgia', 'Illinois', 'Indiana', 'Kentucky', 'North Carolina', 'Pittsburgh', 'Toledo', 'USF', 'Vanderbilt', 'Virginia Tech', 'West Virginia']",FL
Cade Kootsouradis,https://247sports.com/player/cade-kootsouradis-46080584,OT ,0.8473," Crestview (Crestview, FL)    ","['Georgia Tech', 'Columbia', 'Cornell', 'Marshall', 'Middle Tennessee State', 'South Alabama', 'Southern Miss', 'Appalachian State', 'Auburn', 'Cincinnati', 'Louisville', 'Vanderbilt']",FL
Avery Boyd,https://247sports.com/player/avery-boyd-46082874,WR ,0.8450," Amos P. Godby (Tallahassee, FL)  ","['Georgia Tech', 'Southern Miss', 'Troy', 'UCF', 'USF']",FL
Emmanuel Johnson,https://247sports.com/player/emmanuel-johnson-46083911,SDE ,0.8336," Fort Dorchester (North Charleston, SC)  ","['Georgia Tech', 'Tennessee', 'Western Kentucky']",SC
Ryan Spiers,https://247sports.com/player/ryan-spiers-46082949,OG ,0.8160," Biloxi (Biloxi, MS)      ","['Georgia Tech', 'South Alabama', 'UAB']",MS
Albany Casey,https://247sports.com/player/albany-casey-46051018,WDE ,0.8518," Baldwin County (Bay Minette, AL)    ","['Georgia Tech', 'Duke', 'Indiana', 'Jacksonville State', 'Kansas', 'Missouri', 'Nebraska', 'SMU', 'South Alabama', 'Southern Miss', 'Temple', 'Tennessee Tech', 'Troy', 'Tulane', 'UAB', 'UCF', 'Clemson']",AL
