name,url,position,score,hometown,offers,state
Sofian Massoud,https://247sports.com/player/sofian-massoud-45572668,ATH ,0.8552," Cy Lakes (Katy, TX)                    ",,TX
Sedrick Williams,https://247sports.com/player/sedrick-williams-46080328,DT ,0.8371," Kilgore J.C. (Kilgore, TX)                    ",,TX
Jayce Rogers,https://247sports.com/player/jayce-rogers-79656,CB ,0.8353," Northwest Mississippi C.C. (Senatobia, MS)                    ",,MS
Nathaniel Dell,https://247sports.com/player/nathaniel-dell-46047995,WR ,0.8291," Independence C.C. (Independence, KS)                    ",,KS
Malik Robinson,https://247sports.com/player/malik-robinson-80018,OLB ,0.8213," Fort Scott C.C. (Fort Scott, KS)                    ",,KS
James Faminu,https://247sports.com/player/james-faminu-46086519,OT ,0.7902," London Academy (London, EN)                    ",,EN
Laine Wilkins,https://247sports.com/player/laine-wilkins-46097231,P ,NA," ProKick Australia (Australia, AUST)                 ",,AU
Chidozie Nwankwo,https://247sports.com/player/chidozie-nwankwo-46037576,DT ,0.8593," Foster (Richmond, TX)                  ","['Houston', 'Arkansas', 'Baylor', 'Boston College', 'Central Arkansas', 'Colorado', 'Duke', 'Grambling State', 'Indiana', 'Iowa State', 'Kansas State', 'Louisiana', 'LSU', 'Minnesota', 'SMU', 'Texas Tech', 'Tulane', 'Tulsa', 'Virginia Tech', 'Texas A&M']",TX
Derek Bowman,https://247sports.com/player/derek-bowman-46059419,OG ,0.8565," Magnolia (Magnolia, TX)                  ","['Houston', 'Air Force', 'Arizona', 'Arkansas State', 'East Carolina', 'Indiana', 'Liberty', 'Louisiana', 'Louisiana-Monroe', 'Memphis', 'Minnesota', 'New Mexico State', 'North Texas', 'Southern Miss', 'Texas State', 'Tulane', 'Tulsa', 'UTEP', 'Texas Tech']",TX
Stacy Sneed,https://247sports.com/player/stacy-sneed-46042940,RB ,0.8538," Mansfield Timberview (Arlington, TX)                  ","['Houston', 'Arizona', 'Colorado', 'Arkansas', 'Arkansas State', 'Baylor', 'Boise State', 'Illinois', 'Iowa State', 'Kansas State', 'Louisiana Tech', 'Missouri', 'SMU', 'Southern Miss', 'Texas Tech']",TX
Dylan Robinson,https://247sports.com/player/dylan-robinson-46058559,WR ,0.8477," Atascocita (Humble, TX)                  ","['Houston', 'Arizona', 'Colorado State', 'Kansas State', 'Louisiana Tech', 'Memphis', 'New Mexico', 'North Texas', 'Northwestern State', 'Southern University', 'Texas Tech', 'Tulane', 'Utah', 'UTSA', 'Arkansas']",TX
Khiyon Wafer,https://247sports.com/player/khiyon-wafer-46093626,WR ,0.8424," Independence (Frisco, TX)    ","['Houston', 'Connecticut', 'Illinois', 'McNeese State', 'New Mexico State', 'UNLV', 'UTEP', 'Southern Miss']",TX
D'Anthony Jones,https://247sports.com/player/danthony-jones-46083141,OLB ,0.8337," Long Beach City College (Long Beach, CA)  ","['Houston', 'Hawaii', 'UNLV', 'Boise State', 'South Alabama', 'UAB', 'USF']",CA
Ugonna Nnanna,https://247sports.com/player/ugonna-nnanna-46083775,OT ,0.8315," Seguin (Arlington, TX)                  ","['Houston', 'Washington State', 'Air Force', 'Alcorn State', 'Arkansas State', 'Liberty', 'SMU', 'Tennessee State', 'Vanderbilt', 'Baylor', 'TCU']",TX
Darius Edmonds,https://247sports.com/player/darius-edmonds-46055448,TE ,0.8302," Atascocita (Humble, TX)  ","['Houston', 'Louisiana Tech', 'Fordham', 'New Mexico', 'North Texas', 'Texas Southern', 'Utah State', 'UTSA', 'Wyoming']",TX
Trevonte Sylvester,https://247sports.com/player/trevonte-sylvester-46085685,SDE ,0.8206," Breaux Bridge (Breaux Bridge, LA)                  ","['Houston', 'Louisiana Tech']",LA
Reuben Unije,https://247sports.com/player/reuben-unije-84039,OT ,0.8200," Coahoma C.C. (Clarksdale, MS)    ",['Houston'],MS
Mike Welch,https://247sports.com/player/mike-welch-46050444,ATH ,0.8118," Dickinson (Dickinson, TX)    ","['Houston', 'Incarnate Word', 'Sam Houston State', 'Stephen F. Austin']",TX
