name,url,position,score,hometown,offers,state
Phifer Griffin,https://247sports.com/player/phifer-griffin-46083531,OT ,0.8424," Union Academy (Monroe, NC)    ",,NC
Blaise Sparks,https://247sports.com/player/blaise-sparks-46056108,OT ,0.8247," North Fort Myers (North Fort Myers, FL)    ",,FL
James Frenchie,https://247sports.com/player/james-frenchie-46040705,WR ,0.8864," Trinity Catholic (Saint Louis, MO)    ","['Illinois', 'Iowa State', 'Kansas', 'Kansas State', 'Kentucky', 'Louisville', 'Missouri', 'Nebraska', 'Purdue', 'South Carolina', 'Syracuse', 'Tennessee']",MO
Reggie Love,https://247sports.com/player/reggie-love-46040706,RB ,0.8844," Trinity Catholic (Saint Louis, MO)    ","['Illinois', 'Arkansas', 'Bowling Green', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kentucky', 'Louisville', 'Minnesota', 'Nebraska', 'Notre Dame', 'Penn State', 'Purdue', 'Syracuse', 'TCU', 'Tennessee', 'Utah', 'Vanderbilt', 'Wisconsin']",MO
Tre'von Riggins,https://247sports.com/player/trevon-riggins-46040444,DT ,0.8613," Lakewood (Saint Petersburg, FL)                  ","['Illinois', 'Miami', 'Arizona State', 'Bowling Green', 'Colorado State', 'Florida', 'Liberty', 'Syracuse', 'Temple', 'Tennessee', 'USF']",FL
Cooper Davis,https://247sports.com/player/cooper-davis-46078826,SDE ,0.8567," Viera (Melbourne, FL)    ","['Illinois', 'Missouri', 'Buffalo', 'Connecticut', 'FIU', 'Florida Atlantic', 'Georgia Tech', 'Louisville', 'Marshall', 'Mercer', 'Minnesota', 'Richmond', 'Syracuse', 'Tennessee', 'Troy', 'UCF', 'USF', 'West Virginia', 'Duke', 'Nebraska']",FL
Deuce Spann,https://247sports.com/player/deuce-spann-46054225,DUAL ,0.8566," Lakewood (Saint Petersburg, FL)    ","['Illinois', 'Auburn', 'Boston College', 'Cincinnati', 'Coastal Carolina', 'Duke', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Southern', 'Georgia State', 'Liberty', 'Louisville', 'Maryland', 'Miami', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Syracuse', 'Toledo', 'UCF', 'USF', 'Utah', 'Virginia Tech', 'Florida']",FL
Johnny Newton,https://247sports.com/player/johnny-newton-46046954,SDE ,0.8519," Clearwater Central Catholic (Clearwater, FL)    ","['Illinois', 'Georgia Tech', 'Maryland', 'Boston College', 'Cincinnati', 'Colorado State', 'Florida', 'Florida State', 'Indiana', 'Iowa', 'Kansas State', 'Kentucky', 'Miami', 'Middle Tennessee State', 'North Carolina', 'Rutgers', 'Southern Miss', 'Syracuse', 'Toledo', 'UCF', 'USF', 'Virginia Tech', 'West Virginia']",FL
Anthony Shipton,https://247sports.com/player/anthony-shipton-46095002,DT ,0.8506," Cerritos College (Norwalk, CA)    ","['Illinois', 'Arizona', 'Hawaii', 'UTEP']",CA
Lavar Gardner,https://247sports.com/player/lavar-gardner-46039414,ATH ,0.8420," Hutchinson C.C. (Hutchinson, KS)      ","['Illinois', 'Massachusetts', 'Nebraska', 'Southern Miss', 'Texas State']",KS
Kevin Tyler,https://247sports.com/player/kevin-tyler-46058209,OT ,0.8411," Ritenour (Saint Louis, MO)    ","['Illinois', 'Houston', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Memphis', 'Minnesota', 'Missouri', 'Northern Illinois', 'Purdue', 'SMU', 'Syracuse', 'Western Michigan', 'Wyoming']",MO
Quinton McCoy,https://247sports.com/player/quinton-mccoy-46078797,DT ,0.8336," Bloomingdale (Valrico, FL)  ","['Illinois', 'Bowling Green', 'FIU', 'Georgia Southern', 'Iowa State', 'Louisville', 'Southern Miss', 'Toledo', 'USF', 'Kentucky']",FL
Tahveon Nicholson,https://247sports.com/player/tahveon-nicholson-46057683,ATH ,0.8056," Palmetto Prep (Prep School) (Columbia, SC)  ","['Illinois', 'Florida Atlantic']",SC
