name,url,position,score,hometown,offers,state
Damarjhe Lewis,https://247sports.com/player/damarjhe-lewis-46049619,DT ,0.8668," Griffin (Griffin, GA)                    ",,GA
Caleb Murphy,https://247sports.com/player/caleb-murphy-46080444,WDE ,0.8559," West Washington (Campbellsburg, IN)                    ",,IN
Tim Baldwin Jr.,https://247sports.com/player/tim-baldwin-jr-46049635,RB ,0.8541," Patriot (Nokesville, VA)                    ",,VA
Dexter Williams II,https://247sports.com/player/dexter-williams-ii-46084717,DUAL ,0.8511," Mount De Sales Academy (Macon, GA)                    ",,GA
Luke Wiginton,https://247sports.com/player/luke-wiginton-46076727,OT ,0.8451," Bishop Dwenger (Fort Wayne, IN)                    ",,IN
Luke Haggard,https://247sports.com/player/luke-haggard-46084986,OT ,0.8445," Santa Rosa J.C. (Santa Rosa, CA)                    ",,CA
Ty Wise,https://247sports.com/player/ty-wise-46052927,OLB ,0.8423," Carmel (Carmel, IN)                    ",,IN
Cameron Knight,https://247sports.com/player/cameron-knight-46058302,OG ,0.8167," Noblesville (Noblesville, IN)                    ",,IN
Rashawn Williams,https://247sports.com/player/rashawn-williams-93980,WR ,0.8928," Martin Luther King (Detroit, MI)                  ","['Indiana', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Eastern Michigan', 'Kansas State', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Morgan State', 'Norfolk State', 'Ohio State', 'Old Dominion', 'Ole Miss', 'Pittsburgh', 'Purdue', 'Syracuse', 'Temple', 'Toledo', 'West Virginia', 'Western Michigan']",MI
Kahlil Benson,https://247sports.com/player/kahlil-benson-46081236,OG ,0.8647," Southaven (Southaven, MS)    ","['Indiana', 'Mississippi State', 'Ole Miss', 'Kentucky', 'Louisiana', 'Louisiana-Monroe', 'LSU', 'Memphis', 'Southern Miss', 'Tennessee', 'Tulane']",MS
Lem Watley-Neely,https://247sports.com/player/lem-watley-neely-46048513,CB ,0.8539," Harper Woods (Harper Woods, MI)                  ","['Indiana', 'Central Michigan', 'Cincinnati', 'Iowa State', 'Kentucky', 'Michigan State', 'Morgan State', 'Syracuse', 'Western Michigan']",MI
David Baker,https://247sports.com/player/david-baker-46055797,WR ,0.8538," Scecina Memorial (Indianapolis, IN)                  ","['Indiana', 'Ball State', 'Cincinnati', 'Duke', 'Iowa', 'Michigan', 'Purdue', 'Washington State', 'Western Illinois', 'Western Michigan', 'Louisville', 'Michigan State', 'Northwestern', 'Notre Dame', 'Ohio State']",IN
Christopher Keys,https://247sports.com/player/christopher-keys-46085400,CB ,0.8535," Collins (Collins, MS)                  ","['Indiana', 'Jackson State', 'Louisiana-Monroe', 'Ole Miss', 'South Alabama']",MS
Jalen Mayala,https://247sports.com/player/jalen-mayala-46057838,WDE ,0.8530," Archer (Lawrenceville, GA)    ","['Indiana', 'Purdue', 'Appalachian State', 'Arizona', 'Coastal Carolina', 'East Carolina', 'Georgia Tech', 'Illinois', 'Kent State', 'Minnesota', 'Mississippi State', 'Rutgers', 'South Alabama', 'Syracuse', 'Troy', 'UCF', 'UCLA', 'Virginia', 'Wake Forest']",GA
AJ Barner,https://247sports.com/player/aj-barner-46085166,TE ,0.8490," Aurora (Aurora, OH)                  ","['Indiana', 'Ohio', 'Akron', 'Ball State', 'Eastern Kentucky', 'Eastern Michigan', 'Kent State', 'Michigan State', 'Youngstown State', 'Cincinnati']",OH
Bryson Bonds,https://247sports.com/player/bryson-bonds-46038006,S ,0.8478," Crowley (Crowley, TX)                  ","['Indiana', 'Abilene Christian', 'Air Force', 'Army', 'Columbia', 'Cornell', 'Fordham', 'Harvard', 'Illinois State', 'Kansas', 'Lehigh', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'McNeese State', 'Minnesota', 'Navy', 'New Mexico State', 'Pennsylvania', 'Princeton', 'Texas Tech', 'Utah State', 'UTEP', 'Wyoming', 'Yale']",TX
Brady Feeney,https://247sports.com/player/brady-feeney-46047232,OG ,0.8444," Christian Brothers College (Saint Louis, MO)                ","['Indiana', 'Rice', 'Ball State', 'Kent State', 'Memphis', 'South Dakota', 'Yale', 'Maryland', 'Michigan State', 'Northwestern', 'Notre Dame', 'Oklahoma State', 'Tennessee']",MO
Javon Swinton,https://247sports.com/player/javon-swinton-46035460,ATH ,0.8362," North Stafford (Stafford, VA)                  ","['Indiana', 'Marshall', 'Massachusetts', 'Old Dominion', 'South Carolina', 'Syracuse', 'Temple', 'Virginia', 'Virginia Tech']",VA
Randy Holtz,https://247sports.com/player/randy-holtz-46049468,OT ,0.8255," R Nelson Snider (Fort Wayne, IN)    ","['Indiana', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Minnesota', 'Purdue', 'Toledo', 'West Virginia']",IN
