name,url,position,score,hometown,offers,state
Gavin Williams,https://247sports.com/player/gavin-williams-46043167,RB ,0.8767," Dowling Catholic (West Des Moines, IA)    ",,IA
Elijah Yelverton,https://247sports.com/player/elijah-yelverton-46051912,TE ,0.8763," Trinity Christian School (Cedar Hill, TX)    ",,TX
Mason Richman,https://247sports.com/player/mason-richman-46081821,OT ,0.8727," Blue Valley (Stilwell, KS)  ",,KS
Logan Jones,https://247sports.com/player/logan-jones-46047847,DT ,0.9128," Lewis Central (Council Bluffs, IA)    ","['Iowa', 'Iowa State', 'Minnesota', 'Nebraska', 'Michigan State', 'Purdue']",IA
Deontae Craig,https://247sports.com/player/deontae-craig-46058128,WDE ,0.8897," The Culver Academies (Culver, IN)    ","['Iowa', 'Indiana', 'Tennessee', 'Ball State', 'Cincinnati', 'Georgia Tech', 'Indiana State', 'Michigan', 'Michigan State', 'Minnesota', 'North Carolina', 'Northwestern', 'Notre Dame', 'Ohio State', 'Purdue', 'Vanderbilt', 'Washington State']",IN
Luke Lachey,https://247sports.com/player/luke-lachey-46057202,TE ,0.8893," Grandview Heights (Columbus, OH)    ","['Iowa', 'Michigan State', 'Akron', 'Bowling Green', 'Cincinnati', 'Eastern Michigan', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kent State', 'Kentucky', 'Liberty', 'LSU', 'Minnesota', 'Princeton', 'Rutgers', 'Toledo', 'Tulane', 'West Virginia', 'Wisconsin', 'Yale', 'Youngstown State', 'Boston College', 'Louisville', 'Northwestern', 'Ohio State', 'Pittsburgh', 'Purdue']",OH
Tyler Elsbury,https://247sports.com/player/tyler-elsbury-46050178,OG ,0.8866," Byron (Byron, IL)    ","['Iowa', 'Illinois', 'Northern Illinois', 'Purdue', 'Wisconsin']",IL
Deuce Hogan,https://247sports.com/player/deuce-hogan-46036398,PRO ,0.8824," Faith Christian (Grapevine, TX)    ","['Iowa', 'Baylor', 'Boston College', 'Colorado', 'Georgia', 'Houston', 'Iowa State', 'Louisiana Tech', 'Oklahoma State', 'Syracuse', 'Tennessee', 'Tulsa', 'Kentucky', 'LSU', 'Michigan State', 'North Carolina', 'Ole Miss', 'SMU', 'Texas', 'Texas A&M', 'Texas Tech', 'Wisconsin']",TX
Josh Volk,https://247sports.com/player/josh-volk-46050489,OG ,0.8734," Xavier (Cedar Rapids, IA)    ","['Iowa', 'Iowa State', 'Nebraska', 'Michigan State', 'Minnesota', 'Northwestern', 'Notre Dame', 'Vanderbilt']",IA
Yahya Black,https://247sports.com/player/yahya-black-46081312,ATH ,0.8727," Marshall (Marshall, MN)    ","['Iowa', 'Buffalo', 'Kansas State', 'Minnesota', 'North Dakota State', 'South Dakota', 'South Dakota State']",MN
Leshon Williams,https://247sports.com/player/leshon-williams-46057057,RB ,0.8676," H L Richards (Oak Lawn, IL)    ","['Iowa', 'Ball State', 'Central Michigan', 'Cincinnati', 'Eastern Illinois', 'Eastern Michigan', 'Iowa', 'Kansas State', 'Kent State', 'Miami (OH)', 'Northern Illinois', 'Ohio', 'Wyoming', 'Youngstown State', 'Michigan State', 'Wisconsin']",IL
Ethan Hurkett,https://247sports.com/player/ethan-hurkett-46080662,ILB ,0.8606," Xavier (Cedar Rapids, IA)    ",['Iowa'],IA
Reggie Bracy,https://247sports.com/player/reggie-bracy-90201,S ,0.8593," St. Paul's Episcopal (Mobile, AL)    ","['Iowa', 'Indiana', 'Air Force', 'Central Michigan', 'South Alabama', 'Southern Miss', 'Troy', 'UAB', 'Alabama', 'Auburn', 'LSU', 'Tennessee', 'UAB']",AL
Isaiah Bruce,https://247sports.com/player/isaiah-bruce-46057256,DT ,0.8586," Lena-Winslow (Lena, IL)    ","['Iowa', 'Northwestern']",IL
Diante Vines,https://247sports.com/player/diante-vines-46083764,WR ,0.8530," The Taft School (Watertown, CT)  ","['Iowa', 'Army', 'Boston College', 'Bryant', 'Fordham', 'Georgetown', 'Holy Cross', 'Howard', 'Lehigh', 'Merrimack', 'Monmouth', 'Navy', 'Sacred Heart', 'Syracuse']",CT
AJ Lawson,https://247sports.com/player/aj-lawson-46081034,CB ,0.8518," MacArthur (Decatur, IL)  ","['Iowa', 'Ball State', 'Eastern Kentucky', 'Illinois State', 'Kent State', 'Minnesota', 'Toledo', 'Western Michigan']",IL
Lukas Van Ness,https://247sports.com/player/lukas-van-ness-46076835,SDE ,0.8518," Barrington (Barrington, IL)    ","['Iowa', 'Air Force', 'Army', 'Bowling Green', 'Brown', 'Central Michigan', 'Columbia', 'Cornell', 'Eastern Illinois', 'Eastern Kentucky', 'Holy Cross', 'Illinois', 'Kansas', 'Kansas', 'Kansas State', 'Kansas State', 'Lehigh', 'Minnesota', 'Navy', 'Northern Illinois', 'Ohio', 'Princeton', 'South Dakota', 'Southern Illinois', 'Tulane', 'UT Martin', 'Western Illinois', 'Western Michigan', 'Wyoming', 'Memphis', 'Ohio', 'Wyoming']",IL
Michael Lois,https://247sports.com/player/michael-lois-46056013,SDE ,0.8467," Elkhorn Area (Elkhorn, WI)    ","['Iowa', 'Northern Illinois', 'South Dakota', 'Wisconsin']",WI
Jay Higgins,https://247sports.com/player/jay-higgins-46051435,ILB ,0.8335," Brebeuf Jesuit (Indianapolis, IN)    ","['Iowa', 'Air Force', 'Ball State', 'Bowling Green', 'Central Michigan', 'Eastern Michigan', 'Kent State', 'Miami (OH)', 'Toledo', 'Tulane', 'Western Illinois', 'Wisconsin']",IN
Quavon Matthews,https://247sports.com/player/quavon-matthews-46055771,WR ,0.8296," Largo (Largo, FL)  ","['Iowa', 'North Carolina', 'Southern Miss']",FL
Brenden Deasfernandes,https://247sports.com/player/brenden-deasfernandes-46054316,CB ,0.8086," Belleville (Belleville, MI)    ","['Iowa', 'Davenport', 'Northwood University', 'Southeast Missouri State', 'Bowling Green', 'Minnesota']",MI
