name,url,position,score,hometown,offers,state
Latrell Bankston,https://247sports.com/player/latrell-bankston-46050485,DT ,0.8789," Hutchinson C.C. (Hutchinson, KS)                    ",,KS
Aidan Bouman,https://247sports.com/player/aidan-bouman-46052347,PRO ,0.8726," Buffalo Senior (Buffalo, MN)                    ",,MN
Hayden Pauls,https://247sports.com/player/hayden-pauls-46055476,OT ,0.8626," Emporia (Emporia, KS)                    ",,KS
Tyler Miller,https://247sports.com/player/tyler-miller-46054364,OT ,0.8625," Greene County (Jefferson, IA)                    ",,IA
Johnny Wilson,https://247sports.com/player/johnny-wilson-46055177,SDE ,0.8614," Park Hill (Kansas City, MO)                    ",,MO
Craig McDonald,https://247sports.com/player/craig-mcdonald-46053449,S ,0.8593," Minnehaha Academy (Minneapolis, MN)                    ",,MN
Xavier Hutchinson,https://247sports.com/player/xavier-hutchinson-46081159,WR ,0.8560," Blinn College (Brenham, TX)                    ",,TX
Mason Chambers,https://247sports.com/player/mason-chambers-46081367,S ,0.8519," Samuel Clemens (Schertz, TX)                    ",,TX
Jordyn Morgan,https://247sports.com/player/jordyn-morgan-46079906,S ,0.8364," Cornerstone Christian (San Antonio, TX)                    ",,TX
Hunter Dekkers,https://247sports.com/player/hunter-dekkers-46083992,DUAL ,0.9008," West Sioux (Hawarden, IA)                  ","['Iowa State', 'Indiana', 'Purdue', 'Central Michigan', 'Kansas State', 'Northern Iowa', 'South Dakota', 'South Dakota State', 'Baylor', 'Iowa', 'Michigan State', 'Ohio State', 'UCLA']",IA
Cole Pedersen,https://247sports.com/player/cole-pedersen-46056514,OLB ,0.8706," Central Decatur (Leon, IA)                  ",['Iowa State'],IA
Daniel Jackson,https://247sports.com/player/daniel-jackson-46048424,WR ,0.8702," Steele (Cibolo, TX)                  ","['Iowa State', 'Arizona State', 'USC', 'Arizona', 'Arkansas', 'Baylor', 'Bowling Green', 'Colorado State', 'Illinois', 'Illinois State', 'Incarnate Word', 'Indiana', 'Kansas', 'Kansas State', 'North Carolina', 'North Texas', 'Oklahoma State', 'Rice', 'Rutgers', 'TCU', 'Toledo', 'Utah', 'UTSA']",TX
Willis Singleton,https://247sports.com/player/willis-singleton-46043089,DT ,0.8598," Warren Township (Gurnee, IL)                  ","['Iowa State', 'Cincinnati', 'Illinois', 'Louisville', 'Miami (OH)', 'Michigan State', 'Missouri', 'Northern Illinois', 'Ohio', 'Temple', 'Toledo', 'USF', 'Washington State', 'Western Michigan']",IL
Brady Petersen,https://247sports.com/player/brady-petersen-46080055,OT ,0.8552," Ankeny Centennial (Ankeny, IA)                  ","['Iowa State', 'Akron', 'Arkansas State', 'Eastern Michigan', 'Illinois State', 'Miami (OH)', 'New Mexico State', 'Northern Illinois', 'Northern Iowa', 'South Dakota', 'South Dakota State', 'Toledo', 'Western Illinois', 'Iowa', 'Iowa State', 'Kansas State', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Virginia Tech']",IA
T.J. Tampa,https://247sports.com/player/t-j-tampa-46058983,WR ,0.8484," Lakewood (Saint Petersburg, FL)    ","['Iowa State', 'Bryant', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Georgia', 'Georgia State', 'Illinois State', 'Liberty', 'Maryland', 'Northern Illinois', 'Rutgers', 'Southern Miss', 'Syracuse', 'Toledo', 'UCF', 'USF', 'Wake Forest', 'Western Kentucky', 'Minnesota']",FL
Michal Antoine,https://247sports.com/player/michal-antoine-46080112,CB ,0.8477," Cardinal Gibbons (Fort Lauderdale, FL)                  ","['Iowa State', 'UCF', 'Boston College', 'Cincinnati', 'Elon', 'Faulkner', 'FIU', 'Georgia Tech', 'Kent State', 'Kentucky', 'Louisville', 'Minnesota', 'Missouri', 'Pittsburgh', 'Rhode Island', 'USF']",FL
Sam Rengert,https://247sports.com/player/sam-rengert-46056136,OT ,0.8477," Fairbanks (Milford Center, OH)                  ","['Iowa State', 'West Virginia', 'Akron', 'Buffalo', 'Cincinnati', 'Massachusetts', 'Purdue', 'Rutgers', 'Toledo', 'Virginia']",OH
Aidan Bitter,https://247sports.com/player/aidan-bitter-46084564,WR ,0.8424," Steinbrenner (Lutz, FL)                  ","['Iowa State', 'Air Force', 'Cornell', 'South Dakota', 'Troy']",FL
Hunter Zenzen,https://247sports.com/player/hunter-zenzen-46080659,OLB ,0.8356," Barnesville Secondary (Barnesville, MN)                  ","['Iowa State', 'North Dakota', 'North Dakota State', 'South Dakota', 'Minnesota']",MN
Ar'Quel Smith,https://247sports.com/player/arquel-smith-46080926,OLB ,0.8277," Naples (Naples, FL)                  ","['Iowa State', 'Kansas', 'Albany', 'Florida Atlantic', 'Georgia State', 'Kent State', 'Liberty', 'Mercer', 'Miami']",FL
Anthony Smith,https://247sports.com/player/anthony-smith-46095152,OG ,0.8105," Lakeland (Lakeland, FL)    ","['Iowa State', 'Hawaii', 'Air Force', 'Albany State University', 'Alcorn State', 'Army', 'Bryant', 'Campbell', 'Coastal Carolina', 'Florida Atlantic', 'Florida Tech', 'Iowa State', 'Kent State', 'Lake Erie College', 'Navy', 'Samford', 'Southern Miss', 'Southern University', 'USF']",FL
Koby Hathcock,https://247sports.com/player/koby-hathcock-46085262,LS ,0.7975," Desert Ridge (Mesa, AZ)                ",['Iowa State'],AZ
