name,url,position,score,hometown,offers,state
JaCobee Bryant,https://247sports.com/player/jacobee-bryant-46079397,CB ,0.8742," Hillcrest (Evergreen, AL)    ","['Kansas', 'Alabama State', 'Central Michigan', 'Charlotte', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Georgia Tech', 'Houston', 'Indiana', 'Jacksonville State', 'Kentucky', 'Liberty', 'Louisiana', 'Memphis', 'Mercer', 'Nebraska', 'Ole Miss', 'Purdue', 'Rutgers', 'South Alabama', 'Tennessee', 'Tennessee State', 'Toledo', 'Troy', 'Tulane', 'UAB', 'Virginia', 'Virginia Tech']",AL
Lawrence Arnold,https://247sports.com/player/lawrence-arnold-46050247,WR ,0.8660," DeSoto (DeSoto, TX)                  ","['Kansas', 'Boston College', 'California', 'Colorado', 'Harvard', 'Illinois', 'Illinois State', 'Iowa State', 'Kansas State', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Minnesota', 'Missouri', 'Northwestern', 'Oregon', 'Purdue', 'Southern Miss', 'Utah', 'Wisconsin']",TX
Duece Mayberry,https://247sports.com/player/duece-mayberry-46053516,CB ,0.8646," Owasso (Owasso, OK)                  ","['Kansas', 'Illinois State', 'New Mexico State', 'Northern Iowa', 'South Dakota State', 'Tulane', 'Arkansas', 'Drake', 'Iowa State', 'Kansas State', 'Oklahoma', 'Wyoming']",OK
Krishawn Brown,https://247sports.com/player/krishawn-brown-46058620,OLB ,0.8626," Booker T. Washington (Tulsa, OK)                  ","['Kansas', 'Howard', 'Memphis', 'North Texas', 'Oklahoma State', 'Texas State', 'SMU']",OK
Taiwan Berryhill,https://247sports.com/player/taiwan-berryhill-46055130,OLB ,0.8552," St. Augustine (New Orleans, LA)                  ","['Kansas', 'Arkansas', 'Colorado State', 'Eastern Illinois', 'Houston Baptist', 'Indiana', 'Louisiana Tech', 'Louisiana-Monroe', 'McNeese State', 'Memphis', 'Nicholls State', 'North Texas', 'South Alabama', 'Southern Miss', 'Tennessee', 'Tulane', 'UNLV', 'UTSA', 'Virginia']",LA
Kenean Caldwell,https://247sports.com/player/kenean-caldwell-46051167,DT ,0.8540," Oak Grove (Oak Grove, LA)    ","['Kansas', 'Colorado', 'Louisiana', 'Louisiana-Monroe', 'Nicholls State', 'Ole Miss', 'Oregon', 'SMU', 'Southern Miss', 'TCU', 'Texas A&M', 'Troy', 'LSU', 'Mississippi State', 'Texas']",LA
Will Huggins,https://247sports.com/player/will-huggins-46081205,TE ,0.8519," Shawnee Mission South (Overland Park, KS)                  ","['Kansas', 'Arkansas', 'Iowa State', 'Kansas State', 'South Dakota State']",KS
Steven McBride,https://247sports.com/player/steven-mcbride-46082020,WR ,0.8497," East Ascension (Gonzales, LA)                  ","['Kansas', 'Alcorn State', 'Arkansas State', 'Grambling State', 'Louisiana Tech', 'Louisiana-Monroe', 'New Mexico State', 'Nicholls State', 'Northwestern State', 'Richmond', 'South Alabama', 'Southern University', 'Texas Southern', 'Wake Forest']",LA
Johnquai Lewis,https://247sports.com/player/johnquai-lewis-46038473,ATH ,0.8484," Champagnat Catholic - Hialeah (Hialeah, FL)                  ","['Kansas', 'Appalachian State', 'Bowling Green', 'FIU', 'Florida Atlantic', 'Indiana', 'Jackson State', 'Kent State', 'Louisville', 'Marshall', 'Michigan', 'NC State', 'Nebraska', 'Pittsburgh', 'Southern Miss', 'Syracuse', 'Tulane', 'UCF', 'USF', 'Utah', 'Western Kentucky']",FL
Trevor Kardell,https://247sports.com/player/trevor-kardell-46081793,TE ,0.8477," Lee's Summit West (Lees Summit, MO)    ","['Kansas', 'Missouri']",MO
Alonso Person,https://247sports.com/player/alonso-person-46057052,OLB ,0.8471," Narbonne (Harbor City, CA)                ","['Kansas', 'Arizona', 'Arizona State', 'Illinois', 'Oregon', 'Oregon State', 'Syracuse']",CA
Clinton Anokwuru,https://247sports.com/player/clinton-anokwuru-46052534,SDE ,0.8423," Fort Bend Bush (Richmond, TX)    ","['Kansas', 'Colorado State', 'Washington State', 'Texas Tech', 'Alcorn State', 'Army', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Navy', 'New Mexico', 'North Texas', 'SMU', 'Texas Southern', 'UTSA', 'Virginia Tech', 'Wyoming', 'Ole Miss']",TX
Tristan Golightly,https://247sports.com/player/tristan-golightly-46055045,WR ,0.8410," Poteet (Mesquite, TX)                  ","['Kansas', 'Georgia Tech', 'Houston', 'Iowa State', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisville', 'LSU', 'Nebraska', 'Nevada', 'Purdue', 'Southern Miss', 'UCF', 'Utah', 'Utah State', 'UTSA', 'Wyoming', 'Arkansas', 'SMU']",TX
Karon Prunty,https://247sports.com/player/karon-prunty-46083839,CB ,0.8369," I.C. Norcom (Portsmouth, VA)                  ","['Kansas', 'Liberty', 'Virginia Tech', 'Charlotte', 'Delaware State', 'Marshall', 'Norfolk State', 'North Carolina A&T', 'Pittsburgh', 'Richmond', 'Temple', 'Tennessee', 'Towson', 'William & Mary']",VA
Malik Johnson,https://247sports.com/player/malik-johnson-46037404,WR ,0.8356," The Woodlands (The Woodlands, TX)                  ","['Kansas', 'Memphis', 'Charlotte', 'Colorado', 'Colorado State', 'Florida Atlantic', 'Hawaii', 'Houston Baptist', 'Kansas State', 'Nevada', 'Northern Iowa', 'Southern Miss', 'Texas Southern', 'Utah State', 'Texas Tech']",TX
Caleb Taylor,https://247sports.com/player/caleb-taylor-46078885,SDE ,0.8343," Staley (Kansas City, MO)                  ","['Kansas', 'Alabama A&M', 'Ball State', 'Bowling Green', 'Eastern Michigan', 'Illinois', 'Iowa State', 'North Dakota State', 'Northern Iowa', 'Ohio', 'SMU', 'Western Michigan', 'Wyoming']",MO
Armaj Adams-Reed,https://247sports.com/player/armaj-adams-reed-46081126,OT ,0.8315," DeSoto (DeSoto, TX)                  ","['Kansas', 'Illinois State', 'New Mexico State', 'North Texas', 'Rice', 'Southern Miss', 'Utah State']",TX
Ra'Mello Dotson,https://247sports.com/player/ramello-dotson-46080088,CB ,0.8315," Mainland (Daytona Beach, FL)    ","['Kansas', 'Central Michigan', 'Florida Atlantic', 'Georgia State', 'Connecticut', 'Charlotte', 'Florida A&M', 'Massachusetts', 'Mercer', 'Middle Tennessee State', 'Savannah State', 'UT Martin', 'USF']",FL
Jackson Satterwhite,https://247sports.com/player/jackson-satterwhite-46094598,OT ,0.8301," Miami (Miami, OK)    ","['Kansas', 'Alcorn State', 'Central Arkansas', 'Texas State', 'Oklahoma', 'Oklahoma State', 'Southern Miss', 'Virginia Tech']",OK
Daniel Hishaw Jr.,https://247sports.com/player/daniel-hishaw-jr-46081215,ATH ,0.8294," Moore (Moore, OK)                  ","['Kansas', 'Central Oklahoma', 'Eastern Michigan', 'Houston Baptist', 'Nevada', 'North Texas', 'Southern Miss', 'Texas State', 'Western Illinois']",OK
Luke Grimm,https://247sports.com/player/luke-grimm-46080599,WR ,0.8242," Raymore-Peculiar (Peculiar, MO)                ","['Kansas', 'Arkansas State', 'Ball State', 'Indiana State', 'Kent State', 'North Dakota State', 'Northern Iowa', 'South Dakota', 'South Dakota State', 'Southern Illinois', 'Tulane', 'Western Illinois', 'Illinois', 'Illinois State', 'Iowa State', 'Kansas State', 'North Dakota State', 'Northern Iowa']",MO
Nicholas Martinez,https://247sports.com/player/nicholas-martinez-46080015,OT ,0.8213," Servite (Anaheim, CA)                  ","['Kansas', 'Arizona State', 'Idaho State', 'South Dakota', 'UAB']",CA
Garrett Jones,https://247sports.com/player/garrett-jones-46083958,OG ,0.8166," Berrien Springs (Berrien Springs, MI)                  ","['Kansas', 'Air Force', 'Ball State', 'Eastern Kentucky', 'Youngstown State']",MI
Jalon Daniels,https://247sports.com/player/jalon-daniels-46081530,DUAL ,0.8139," Lawndale (Lawndale, CA)                  ","['Kansas', 'Middle Tennessee State', 'Army', 'Bryant', 'Eastern Washington', 'Louisiana', 'New Hampshire', 'New Mexico State', 'UT Martin', 'Air Force', 'Boston College', 'Hawaii', 'Houston', 'San Jose State', 'UTEP']",CA
Bryce Cabeldue,https://247sports.com/player/bryce-cabeldue-46098363,OT ,0.8126," Clovis (Clovis, NM)    ","['Kansas', 'Incarnate Word', 'New Mexico', 'Texas State']",NM
Kyler Pearson,https://247sports.com/player/kyler-pearson-46057805,WR ,0.8010," Union (Tulsa, OK)                  ","['Kansas', 'Abilene Christian', 'Air Force', 'Army', 'Indiana State', 'Missouri State', 'Montana', 'Navy', 'Western Illinois']",OK
