name,url,position,score,hometown,offers,state
Will Swanson,https://247sports.com/player/will-swanson-46085221,TE ,0.8593," Papillion-La Vista South (Papillion, NE)                    ",,NE
Will Howard,https://247sports.com/player/will-howard-46056477,PRO ,0.8586," Downingtown West (Downingtown, PA)                    ",,PA
Tee Denson,https://247sports.com/player/tee-denson-46049181,CB ,0.8585," Cedar Grove (Ellenwood, GA)    ",,GA
Carver Willis,https://247sports.com/player/carver-willis-46085599,OT ,0.8539," Durango (Durango, CO)                 ",,CO
TJ Smith,https://247sports.com/player/tj-smith-46047495,CB ,0.8484," McEachern (Powder Springs, GA)                    ",,GA
DeMarrquese Hayes,https://247sports.com/player/demarrquese-hayes-46081978,OLB ,0.8431," La Vega (Waco, TX)      ",,TX
Sam Shields,https://247sports.com/player/sam-shields-46081717,OG ,0.8410," Manhattan (Manhattan, KS)    ",,KS
Derick Newton,https://247sports.com/player/derick-newton-46041486,DT ,0.8398," Butler C.C. (El Dorado, KS)                  ",,KS
Dawson Delforge,https://247sports.com/player/dawson-delforge-46094812,OG ,0.8325," Butler C.C. (El Dorado, KS)                    ",,KS
Christian Moore,https://247sports.com/player/christian-moore-46081506,TE ,0.8193," Huntington Beach (Huntington Beach, CA)                    ",,CA
Kirmari Gainous,https://247sports.com/player/kirmari-gainous-46085054,SDE ,0.8669," Hutchinson C.C. (Hutchinson, KS)      ","['Kansas State', 'Arkansas', 'Central Michigan', 'Colorado State', 'East Carolina', 'Eastern Michigan', 'Hawaii', 'Houston', 'LSU', 'Massachusetts', 'New Mexico', 'Oregon State', 'SMU', 'UCF', 'UTEP', 'Western Kentucky']",KS
Nate Matlack,https://247sports.com/player/nate-matlack-46057473,WDE ,0.8668," Olathe East (Olathe, KS)    ","['Kansas State', 'Air Force', 'Boise State', 'Illinois State', 'Kansas', 'Northern Illinois', 'Syracuse', 'TCU', 'Texas Tech', 'Iowa', 'Iowa State', 'Kentucky', 'Missouri', 'Nebraska', 'Oklahoma State', 'Penn State', 'Rutgers', 'Southern Illinois', 'UCLA', 'Wisconsin']",KS
Talor Warner,https://247sports.com/player/talor-warner-46083984,OG ,0.8658," Gardner Edgerton (Gardner, KS)    ","['Kansas State', 'Air Force', 'Akron', 'Ball State', 'Columbia', 'Eastern Illinois', 'Illinois State', 'North Dakota State', 'South Dakota State', 'Western Illinois']",KS
Jeremiah Harris,https://247sports.com/player/jeremiah-harris-46052191,ILB ,0.8614," Shadow Creek (Pearland, TX)    ","['Kansas State', 'Oklahoma State', 'Air Force', 'Arkansas', 'Boise State', 'Colorado', 'Colorado State', 'Cornell', 'FIU', 'Fresno State', 'Houston Baptist', 'Illinois', 'Mercer', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'Princeton', 'Southern University', 'Texas Southern', 'Tulane', 'Tulsa', 'UNLV', 'Utah State']",TX
Robert Hentz,https://247sports.com/player/robert-hentz-46040158,DT ,0.8574," Northwest Mississippi C.C. (Senatobia, MS)                    ","['Kansas State', 'Colorado State', 'Louisiana-Monroe', 'Memphis', 'North Texas', 'South Alabama', 'Southern Miss', 'Troy']",MS
