name,url,position,score,hometown,offers,state
Tyler Berrong,https://247sports.com/player/tyler-berrong-46042222,OLB ,0.8567," Atlantic (Port Orange, FL)  ","['Kent State', 'Eastern Kentucky', 'USF', 'Colorado State', 'Connecticut', 'FIU', 'Florida', 'Florida Atlantic', 'Indiana', 'Marshall', 'Minnesota', 'Missouri', 'Nebraska', 'North Carolina', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Troy', 'UCF', 'Wake Forest', 'West Virginia', 'Georgia Tech']",FL
CJ West,https://247sports.com/player/cj-west-46081873,DT ,0.8473," Nazareth Academy (La Grange Park, IL)                  ","['Kent State', 'Minnesota', 'Bowling Green', 'Eastern Illinois', 'Illinois State', 'Northern Illinois', 'Toledo', 'Western Michigan', 'Iowa State']",IL
Luke Floriea,https://247sports.com/player/luke-floriea-46079610,WR ,0.8322," Mentor (Mentor, OH)    ","['Kent State', 'Air Force', 'Ball State', 'Boston College', 'Fordham', 'Lehigh', 'Massachusetts', 'Robert Morris', 'Sacred Heart', 'Yale', 'Akron', 'Bowling Green', 'Miami (OH)']",OH
Michael West,https://247sports.com/player/michael-west-46079704,WDE ,0.8286," Christian Brothers College (Saint Louis, MO)  ","['Kent State', 'Northern Iowa', 'South Dakota', 'Southern Illinois', 'UT Martin', 'Western Illinois', 'Wyoming', 'Ball State', 'Illinois', 'Iowa', 'Kansas State', 'Kentucky', 'Nebraska', 'Ohio State', 'Wisconsin']",MO
Griffin Brewster,https://247sports.com/player/griffin-brewster-94314,PRO ,0.8268," Darlington School (Rome, GA)    ","['Kent State', 'Bowling Green', 'Colorado State', 'Columbia', 'Louisville', 'Oklahoma State', 'Southern Miss', 'Alabama', 'Georgia', 'South Carolina']",GA
Tyler Roberson,https://247sports.com/player/tyler-roberson-46083799,SDE ,0.8227," Trinity (Louisville, KY)  ","['Kent State', 'Ball State', 'Eastern Illinois', 'Western Michigan', 'Bowling Green', 'Cincinnati', 'Eastern Kentucky', 'Louisville', 'Miami (OH)', 'Purdue', 'Southern Illinois', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Wofford']",KY
Reignings Awah,https://247sports.com/player/reignings-awah-46085085,WDE ,0.8154," Clarkson Football North (Mississauga, ON)    ",['Kent State'],ON
Jasper Robinson,https://247sports.com/player/jasper-robinson-46056765,TE ,0.8118," McKinley (Canton, OH)    ","['Kent State', 'Akron', 'Ball State', 'Toledo', 'Kentucky', 'Louisville']",OH
Savion Washington,https://247sports.com/player/savion-washington-46081225,OT ,0.8118," St. Vincent-St. Mary (Akron, OH)    ","['Kent State', 'Akron', 'Bowling Green']",OH
Marcellus Marshall,https://247sports.com/player/marcellus-marshall-46085851,OT ,0.8104," Morgantown (Morgantown, WV)  ","['Kent State', 'Bowling Green', 'Central Michigan', 'Eastern Kentucky', 'Fordham', 'Marshall', 'Robert Morris', 'Villanova', 'Virginia Military Institute', 'Youngstown State', 'Wake Forest', 'West Virginia']",WV
Luke Murphy,https://247sports.com/player/luke-murphy-46083492,S ,0.8091," Washington (Massillon, OH)    ",['Kent State'],OH
Marquez Cooper,https://247sports.com/player/marquez-cooper-46083523,RB ,0.8072," Quince Orchard (Gaithersburg, MD)    ","['Kent State', 'Buffalo', 'Massachusetts', 'New Hampshire']",MD
Tyler Dixon,https://247sports.com/player/tyler-dixon-46082193,WR ,0.8072," Christian Brothers College (Saint Louis, MO)  ","['Kent State', 'Army', 'Eastern Illinois', 'Illinois State', 'Indiana State', 'Southeast Missouri State', 'UT Martin', 'Yale', 'Southeast Missouri State']",MO
Robie Glass,https://247sports.com/player/robie-glass-46097208,WR ,0.8010," Shawnee (Springfield, OH)    ",['Kent State'],OH
Adin Huntington,https://247sports.com/player/adin-huntington-46085951,DT ,0.8010," Mountain View (Stafford, VA)    ","['Kent State', 'Bowie State', 'James Madison', 'Monmouth', 'Virginia State', 'NC State', 'Penn State', 'Virginia']",VA
Nadir Pineda,https://247sports.com/player/nadir-pineda-91996,DT ,0.7999," Monroe College (New Rochelle, NY)  ",['Kent State'],NY
Terrell Miller,https://247sports.com/player/terrell-miller-46098738,CB ,0.7998," Creekside (Fairburn, GA)    ","['Kent State', 'Chattanooga', 'Eastern Kentucky', 'South Alabama', 'Tennessee State']",GA
Tynan Tucker,https://247sports.com/player/tynan-tucker-46098723,S ,0.7998," Statesville (Statesville, NC)    ",['Kent State'],NC
Tyler Thomas,https://247sports.com/player/tyler-thomas-46086317,OG ,0.7991," St. Frances Academy (Baltimore, MD)  ",['Kent State'],MD
Thor Kracht,https://247sports.com/player/thor-kracht-46053830,OG ,0.7940," Carmel (Carmel, IN)    ","['Kent State', 'Central Michigan', 'Indiana', 'Iowa', 'Purdue']",IN
Marquail Coaxum,https://247sports.com/player/marquail-coaxum-46097613,CB ,0.7897," Cartersville (Cartersville, GA)    ","['Kent State', 'Akron', 'Alabama A&M', 'Charlotte', 'Chattanooga', 'Eastern Kentucky', 'Mercer', 'Southern Illinois', 'Tennessee State', 'Troy', 'Valdosta State']",GA
Josh Smith,https://247sports.com/player/josh-smith-46099357,P ,0.7396," ProKick Australia (Australia, AUST)  ",['Kent State'],AU
Brandon Perkins,https://247sports.com/player/brandon-perkins-46082565,ILB ,0.8072," Williamstown (Williamstown, NJ)    ","['Kent State', 'Army', 'Central Michigan', 'Delaware', 'Elon', 'Fordham', 'Holy Cross', 'Lehigh', 'Maine', 'Monmouth', 'New Hampshire', 'Richmond', 'Sacred Heart', 'Stony Brook', 'Temple', 'Villanova']",NJ
