name,url,position,score,hometown,offers,state
Samuel Anaele,https://247sports.com/player/samuel-anaele-46042790,SDE ,0.9046," McDougal Technical Institute (Deerfield Beach, FL)                    ",,FL
Joel Williams,https://247sports.com/player/joel-williams-46053198,ATH ,0.8923," Madison Prep Academy (Baton Rouge, LA)                    ",,LA
Jeremy Flax,https://247sports.com/player/jeremy-flax-46093812,OT ,0.8917," Independence C.C. (Independence, KS)                    ",,KS
John Young,https://247sports.com/player/john-young-46047442,OT ,0.8904," Christian Academy Of Louisville (Louisville, KY)                    ",,KY
Jutahn McClain,https://247sports.com/player/jutahn-mcclain-46052145,APB ,0.8884," Fairfield (Fairfield, OH)                    ",,OH
Deondre Buford,https://247sports.com/player/deondre-buford-46051995,OT ,0.8863," Martin Luther King (Detroit, MI)                  ",,MI
Beau Allen,https://247sports.com/player/beau-allen-46039461,PRO ,0.8791," Lexington Catholic (Lexington, KY)                    ",,KY
Octavious Oxendine,https://247sports.com/player/octavious-oxendine-46047737,DT ,0.8707," North Hardin (Radcliff, KY)                    ",,KY
Kalil Branham,https://247sports.com/player/kalil-branham-46040367,WR ,0.8689," Northland (Columbus, OH)                    ",,OH
Andru Phillips,https://247sports.com/player/andru-phillips-46056880,CB ,0.8688," Mauldin (Mauldin, SC)                    ",,SC
D'Eryk Jackson,https://247sports.com/player/deryk-jackson-46080695,ILB ,0.8519," West Laurens (Dublin, GA)                    ",,GA
Justin Rogers,https://247sports.com/player/justin-rogers-91684,DT ,0.9745," Oak Park (Oak Park, MI)                  ","['Kentucky', 'Alabama', 'Georgia', 'Tennessee', 'Arizona', 'Auburn', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Clemson', 'Colorado', 'Eastern Michigan', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Miami (OH)', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Texas', 'Texas A&M', 'Toledo', 'USC', 'West Virginia', 'Western Michigan']",MI
Michael Drennen II,https://247sports.com/player/michael-drennen-ii-93981,APB ,0.9103," Dublin Coffman (Dublin, OH)    ","['Kentucky', 'USC', 'Akron', 'Alabama', 'Arizona State', 'Auburn', 'Boston College', 'Cincinnati', 'Colorado', 'Duke', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Indiana', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Miami (OH)', 'Michigan', 'Michigan State', 'Minnesota', 'Northwestern', 'Notre Dame', 'Ohio', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Saginaw Valley State', 'Stanford', 'Tennessee', 'Toledo', 'Vanderbilt', 'Virginia', 'West Virginia', 'North Carolina', 'Wisconsin']",OH
Josaih Hayes,https://247sports.com/player/josaih-hayes-46052913,DT ,0.9093," Horn Lake (Horn Lake, MS)                  ","['Kentucky', 'Auburn', 'Ole Miss', 'Alabama', 'Georgia', 'LSU', 'Memphis', 'Mississippi State', 'Oregon', 'Tennessee']",MS
Tre'vonn Rybka,https://247sports.com/player/trevonn-rybka-46080787,DT ,0.8850," Dickson County (Dickson, TN)                  ","['Kentucky', 'Cincinnati', 'Oklahoma', 'Oregon', 'Alabama', 'Arizona', 'Arkansas', 'Boston College', 'Charlotte', 'Georgia', 'Georgia Tech', 'LSU', 'Memphis', 'Mississippi State', 'Nebraska', 'North Carolina', 'Tennessee', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Ole Miss']",TN
RJ Adams,https://247sports.com/player/rj-adams-46052914,OG ,0.8817," Woodbridge (Woodbridge, VA)                  ","['Kentucky', 'NC State', 'Penn State', 'Alabama', 'Charlotte', 'Duke', 'East Carolina', 'Florida State', 'Howard', 'Liberty', 'Louisville', 'LSU', 'Marshall', 'Maryland', 'Miami', 'Michigan State', 'Mississippi State', 'Navy', 'North Carolina', 'Old Dominion', 'Oregon', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'UAB', 'UCF', 'Vanderbilt', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'William & Mary', 'South Carolina']",VA
