name,url,position,score,hometown,offers,state
Rashad Whitehead,https://247sports.com/player/rashad-whitehead-46085155,SDE ,0.8518," Best Academy (Atlanta, GA)    ","['Liberty', 'Akron', 'Appalachian State', 'Arizona', 'Army', 'Bowling Green', 'Charlotte', 'Chattanooga', 'Eastern Kentucky', 'Fordham', 'Jackson State', 'Mercer', 'Navy', 'Rutgers', 'South Alabama', 'Southeast Missouri State', 'Southern Illinois', 'Tennessee State', 'Tennessee Tech', 'USF']",GA
Brian Hannibal,https://247sports.com/player/brian-hannibal-46057504,OG ,0.8471," James Hubert Blake (Silver Spring, MD)  ","['Liberty', 'Buffalo', 'Georgetown', 'Marshall', 'Massachusetts', 'Monmouth', 'Old Dominion', 'Purdue', 'Rutgers', 'Yale', 'Syracuse']",MD
Juawan Treadwell,https://247sports.com/player/juawan-treadwell-35651,CB ,0.8337," Independence C.C. (Independence, KS)    ","['Liberty', 'Akron', 'Old Dominion', 'SMU', 'South Alabama', 'Southern Miss', 'Temple']",KS
Ahmad Jackson,https://247sports.com/player/ahmad-jackson-46056522,WR ,0.8336," Sandy Creek (Tyrone, GA)  ","['Liberty', 'Akron', 'Boston College', 'Buffalo', 'Colorado State', 'Eastern Kentucky', 'Indiana', 'Miami (OH)', 'Ole Miss', 'South Alabama', 'Southern University', 'Troy', 'Tulane', 'Louisville']",GA
Quinton Reese,https://247sports.com/player/quinton-reese-46083959,CB ,0.8221," Blessed Trinity Catholic (Roswell, GA)  ","['Liberty', 'Akron', 'Austin Peay', 'Ball State', 'Boston College', 'Coastal Carolina', 'East Tennessee State', 'Georgia State', 'Lehigh', 'Miami (OH)', 'Northern Illinois', 'Richmond', 'Tennessee State', 'Troy', 'Western Kentucky', 'Western Michigan', 'Wofford']",GA
Karsen Perkins,https://247sports.com/player/karsen-perkins-46081387,TE ,0.8188," Northwest Cabarrus (Concord, NC)  ","['Liberty', 'Akron', 'Campbell', 'Charlotte', 'Holy Cross', 'North Carolina A&T']",NC
Deon Biggins,https://247sports.com/player/deon-biggins-46082756,CB ,0.8118," Horn Lake (Horn Lake, MS)    ","['Liberty', 'Nebraska', 'Ole Miss', 'Southern Miss', 'Tennessee']",MS
Marcus Hawkins,https://247sports.com/player/marcus-hawkins-46097594,S ,0.8111," Iowa Western C.C. (Council Bluffs, IA)  ",['Liberty'],IA
CJ Daniels,https://247sports.com/player/cj-daniels-46083221,WR ,0.8084," Parkview (Lilburn, GA)  ","['Liberty', 'Air Force', 'Army', 'Navy', 'North Dakota State', 'Southern Illinois', 'Stetson']",GA
Jerome Jolly,https://247sports.com/player/jerome-jolly-46082130,OLB ,0.8071," Mandarin (Jacksonville, FL)    ","['Liberty', 'Southern Miss']",FL
Aakil Washington,https://247sports.com/player/aakil-washington-46057224,SDE ,0.8051," Wheeler (Marietta, GA)  ",['Liberty'],GA
Gaberiel Fuster,https://247sports.com/player/gaberiel-fuster-46042567,ILB ,0.8030," Deep Creek (Chesapeake, VA)    ","['Liberty', 'Florida Atlantic', 'Massachusetts', 'Southern Miss', 'Virginia Tech']",VA
Jaivian Lofton,https://247sports.com/player/jaivian-lofton-46084135,WR ,0.7995," Chaffey College (Rancho Cucamonga, CA)                    ","['Liberty', 'Arkansas-Pine Bluff', 'Middle Tennessee State', 'Tennessee Tech', 'Western Kentucky']",CA
Gage Bassham,https://247sports.com/player/gage-bassham-46079797,OT ,0.7978," Abingdon (Abingdon, VA)    ","['Liberty', 'Old Dominion', 'East Tennessee State', 'Duke', 'Louisville', 'Virginia', 'Virginia Tech']",VA
Kendy Charles,https://247sports.com/player/kendy-charles-46082141,SDE ,0.7943," Orange Park (Orange Park, FL)    ","['Liberty', 'Chattanooga', 'Coastal Carolina', 'Western Kentucky', 'Wofford']",FL
Aaron Lovins,https://247sports.com/player/aaron-lovins-46097595,S ,0.7901," Brentwood Academy (Brentwood, TN)  ",['Liberty'],TN
Sean Brown,https://247sports.com/player/sean-brown-46084111,PRO ,0.7869," Middle Creek (Apex, NC)  ","['Liberty', 'Bucknell', 'Campbell', 'Virginia Military Institute']",NC
Louis Taylor,https://247sports.com/player/louis-taylor-46097593,S ,0.7840," Magna Vista (Ridgeway, VA)  ",['Liberty'],VA
Will Buchanan,https://247sports.com/player/will-buchanan-46052963,OT ,0.7794," Christ School (Arden, NC)  ","['Liberty', 'Bryant', 'Campbell', 'Charleston Southern', 'Elon', 'Gardner-Webb', 'Jacksonville State', 'Mercer', 'William & Mary', 'Wofford', 'Duke', 'Kentucky', 'NC State', 'North Carolina', 'Penn State', 'Pittsburgh', 'Purdue', 'Tennessee', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia']",NC
Durrell Johnson,https://247sports.com/player/durrell-johnson-46097592,WDE ,0.7785," ASA College (New York) (Brooklyn, NY)  ",['Liberty'],NY
Chase Mitchell,https://247sports.com/player/chase-mitchell-46097596,OT ,0.7760," Washington (Washington, PA)  ",['Liberty'],PA
BJ Wheat,https://247sports.com/player/bj-wheat-46084489,OG ,0.7680," E. C. Glass (Lynchburg, VA)  ",['Liberty'],VA
RJ Glod,https://247sports.com/player/rj-glod-46099410,PRO ,0.7680," Ponte Vedra (Ponte Vedra Beach, FL)    ",['Liberty'],FL
Stephen Sings,https://247sports.com/player/stephen-sings-46081956,WDE ,0.8593," Zebulon B. Vance (Charlotte, NC)  ","['Liberty', 'Virginia Tech', 'Auburn', 'Charlotte', 'Coastal Carolina', 'Colorado', 'East Carolina', 'Georgia Southern', 'Kent State', 'Maryland', 'Massachusetts', 'Missouri', 'North Carolina', 'North Carolina A&T', 'Old Dominion', 'Oregon', 'Syracuse', 'UCF']",NC
Tim Coutras,https://247sports.com/player/tim-coutras-46080384,S ,0.8232," Nolensville (Nolensville, TN)    ","['Liberty', 'Missouri', 'East Tennessee State', 'Eastern Illinois', 'Tennessee Tech', 'UT Martin', 'Army', 'Furman', 'Illinois State', 'Miami (OH)', 'Navy', 'Vanderbilt', 'Wake Forest']",TN
Michael James Jr.,https://247sports.com/player/michael-james-jr-46080977,WR ,0.8099," Life Christian Academy (Colonial Heights, VA)  ","['Liberty', 'Rutgers', 'Southern Miss', 'Virginia Tech']",VA
