name,url,position,score,hometown,offers,state
Cedric Woods,https://247sports.com/player/cedric-woods-46082241,CB ,0.8532," Carroll (Monroe, LA)  ","['Louisiana Tech', 'Grambling State', 'Louisiana-Monroe', 'Northwestern State', 'Southern Miss']",LA
Jamison Kelly,https://247sports.com/player/jamison-kelly-46082626,S ,0.8530," Columbia (Columbia, MS)    ","['Louisiana Tech', 'Arkansas State', 'Jackson State', 'Louisiana-Monroe', 'South Alabama', 'Troy', 'Southern Miss']",MS
Kershawn Fisher,https://247sports.com/player/kershawn-fisher-46058720,OLB ,0.8519," Northshore (Slidell, LA)    ","['Louisiana Tech', 'Kansas State', 'Kansas', 'Air Force', 'Arkansas State', 'Jacksonville State', 'Louisiana', 'Louisiana-Monroe', 'McNeese State', 'Middle Tennessee State', 'Nicholls State', 'South Alabama', 'Southeastern Louisiana', 'Southern University', 'Texas Southern', 'UTSA', 'West Virginia', 'West Virginia', 'Houston', 'LSU', 'Southern Miss', 'Tulane']",LA
Harlan Dixon,https://247sports.com/player/harlan-dixon-46053015,RB ,0.8415," Slidell (Slidell, LA)    ","['Louisiana Tech', 'Colorado State', 'Dartmouth', 'Grambling State', 'Houston Baptist', 'Louisiana', 'McNeese State', 'Nicholls State', 'Northwestern State', 'Richmond', 'South Alabama', 'Southeastern Louisiana', 'Tulane', 'UAB', 'UNLV']",LA
Dontrell Cobbs,https://247sports.com/player/dontrell-cobbs-46085541,DT ,0.8397," West Monroe (West Monroe, LA)    ","['Louisiana Tech', 'Arizona', 'Arkansas-Pine Bluff', 'Jackson State', 'Kansas', 'Northwestern State', 'SMU', 'Texas Southern', 'Western Kentucky']",LA
JD Head,https://247sports.com/player/jd-head-46056407,PRO ,0.8389," Pearland (Pearland, TX)    ","['Louisiana Tech', 'Arkansas State', 'Colorado State', 'Cornell', 'Kansas', 'Louisiana', 'Nevada', 'New Mexico', 'Pennsylvania', 'Southern Miss', 'Texas Southern', 'Texas State', 'Troy', 'Tulane', 'UTSA', 'Yale', 'Arkansas', 'Dartmouth', 'Houston', 'Memphis', 'Oklahoma State', 'Princeton']",TX
CJ McWilliams,https://247sports.com/player/cj-mcwilliams-46081239,ATH ,0.8388," Haughton (Haughton, LA)    ","['Louisiana Tech', 'Air Force', 'Army', 'Louisiana-Monroe', 'Nicholls State', 'Tulane']",LA
Xavier Guy,https://247sports.com/player/xavier-guy-46082448,OG ,0.8386," Tyler J.C.  (Tyler, TX)  ","['Louisiana Tech', 'Arkansas State', 'Grambling State', 'Louisiana', 'Middle Tennessee State', 'UTSA']",TX
Keveionta Spears,https://247sports.com/player/keveionta-spears-46085984,SDE ,0.8370," McKinley (Baton Rouge, LA)  ","['Louisiana Tech', 'Louisiana-Monroe', 'McNeese State', 'Nicholls State']",LA
Jemaurian Jones,https://247sports.com/player/jemaurian-jones-94471,CB ,0.8328," Copiah-Lincoln C.C. (Wesson, MS)    ","['Louisiana Tech', 'Arizona', 'Arkansas State', 'Charlotte', 'Colorado', 'Grambling State', 'Grambling State', 'Kansas State', 'Louisiana', 'Louisiana-Monroe', 'Louisville', 'New Mexico', 'New Mexico', 'Southern Miss', 'Western Kentucky', 'Arizona', 'New Mexico', 'Purdue']",MS
Dakota White,https://247sports.com/player/dakota-white-46084017,OG ,0.8315," Katy (Katy, TX)    ","['Louisiana Tech', 'Colorado State', 'Grambling State', 'Hawaii', 'Houston Baptist', 'Louisiana', 'New Mexico State', 'Prairie View A&M', 'Texas Southern', 'Texas State']",TX
Ben Bell,https://247sports.com/player/ben-bell-46083578,SDE ,0.8296," Cedar Park (Cedar Park, TX)    ","['Louisiana Tech', 'Angelo State', 'Army', 'Dartmouth', 'FIU', 'Fordham', 'Incarnate Word', 'Navy', 'Sam Houston State', 'UTSA']",TX
Michael Gause,https://247sports.com/player/michael-gause-46086036,OT ,0.8283," Hinds C.C. (Raymond, MS)    ",['Louisiana Tech'],MS
Damon McFarland,https://247sports.com/player/damon-mcfarland-46083127,CB ,0.8265," St. Augustine (New Orleans, LA)    ","['Louisiana Tech', 'Houston', 'Louisiana-Monroe', 'New Mexico State', 'Northwestern State']",LA
Joseph Mason,https://247sports.com/player/joseph-mason-46081902,OLB ,0.8235," Green Oaks (Shreveport, LA)    ","['Louisiana Tech', 'Louisiana-Monroe', 'Northwestern State', 'Southern Miss', 'Arkansas', 'Baylor', 'Louisiana', 'LSU', 'Miami', 'Nicholls State', 'TCU', 'Texas', 'Tulane']",LA
Jerren Gilbert,https://247sports.com/player/jerren-gilbert-46082688,OC ,0.8214," Sam Houston (Lake Charles, LA)    ","['Louisiana Tech', 'Air Force', 'Alcorn State', 'Grambling State', 'McNeese State', 'Southeastern Louisiana', 'Southern University']",LA
Tyler Grubbs,https://247sports.com/player/tyler-grubbs-46036207,ILB ,0.8179," Holy Cross (New Orleans, LA)  ","['Louisiana Tech', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'Richmond', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Auburn']",LA
Cleveland Harris,https://247sports.com/player/cleveland-harris-46086167,ATH ,0.8147," Comeaux (Lafayette, LA)    ","['Louisiana Tech', 'Louisiana', 'Louisiana-Monroe', 'McNeese State', 'Nicholls State', 'Northwestern State']",LA
Bert Hale,https://247sports.com/player/bert-hale-46080863,OG ,0.8147," Oak Grove (Oak Grove, LA)    ","['Louisiana Tech', 'Lamar', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'Southern Miss', 'Troy', 'Ole Miss']",LA
Ralpheal Marshall,https://247sports.com/player/ralpheal-marshall-46086497,S ,0.8105," Pearland (Pearland, TX)    ",['Louisiana Tech'],TX
Dallas Taylor-Cortez,https://247sports.com/player/dallas-taylor-cortez-46039362,CB ,0.8055," Iowa Western C.C. (Council Bluffs, IA)    ","['Louisiana Tech', 'Marshall']",IA
Joren Dickey,https://247sports.com/player/joren-dickey-46038169,OLB ,0.7800," Trinity Valley C.C. (Athens, TX)  ","['Louisiana Tech', 'Houston Baptist', 'Nebraska']",TX
Caleb Holstein,https://247sports.com/player/caleb-holstein-46040823,PRO ,0.8430," St. Thomas More (Lafayette, LA)      ","['Louisiana Tech', 'Harvard', 'Boston College', 'Cincinnati', 'Cornell', 'Dartmouth', 'Louisiana', 'Missouri', 'Southern Miss', 'Troy', 'Tulsa', 'UTSA', 'Western Kentucky', 'Yale', 'Georgia', 'LSU', 'Mississippi State']",LA
