name,url,position,score,hometown,offers,state
Marcus Moore,https://247sports.com/player/marcus-moore-46056652,DT ,0.8390," The Colony (The Colony, TX)    ","['Louisiana-Monroe', 'Arkansas State', 'Army', 'Charlotte', 'Colorado State', 'FIU', 'Grambling State', 'Hawaii', 'Houston Baptist', 'Lamar', 'Louisiana', 'Nevada', 'New Mexico State', 'Northern Colorado', 'Northwestern State', 'Prairie View A&M', 'Southern University', 'Stephen F. Austin', 'Texas Southern', 'Toledo', 'Tulane', 'UTEP', 'UTSA', 'Wyoming', 'SMU']",TX
Keydrain Calligan,https://247sports.com/player/keydrain-calligan-46093543,CB ,0.8262," Westgate (New Iberia, LA)    ","['Louisiana-Monroe', 'Louisiana Tech', 'South Alabama', 'Southeastern Louisiana']",LA
Tre Odom,https://247sports.com/player/tre-odom-46083132,S ,0.8255," Lufkin (Lufkin, TX)    ","['Louisiana-Monroe', 'Colorado State', 'Louisiana Tech', 'McNeese State', 'New Mexico State', 'Northwestern State', 'Sam Houston State', 'Stephen F. Austin']",TX
Zach Gulley,https://247sports.com/player/zach-gulley-46083909,S ,0.8099," Newton (Newton, TX)    ","['Louisiana-Monroe', 'Stephen F. Austin']",TX
Garrett Kahmann,https://247sports.com/player/garrett-kahmann-46078955,PRO ,0.8092," West Monroe (West Monroe, LA)  ",['Louisiana-Monroe'],LA
Jahmeel Rice,https://247sports.com/player/jahmeel-rice-46080216,WR ,0.8073," Copperas Cove (Copperas Cove, TX)    ","['Louisiana-Monroe', 'Lamar', 'New Mexico State', 'Baylor']",TX
Taylor Behl,https://247sports.com/player/taylor-behl-46079881,ILB ,0.8044," Georgetown (Georgetown, TX)    ","['Louisiana-Monroe', 'Missouri', 'Nevada']",TX
DJ Travis,https://247sports.com/player/dj-travis-46039969,CB ,0.8033," Jones County J.C. (Ellisville, MS)    ","['Louisiana-Monroe', 'Alcorn State', 'Austin Peay', 'Bethune-Cookman', 'Mississippi Valley State', 'Southeast Missouri State', 'Southern Illinois', 'UT Martin']",MS
Jeremy Hunt,https://247sports.com/player/jeremy-hunt-90166,PRO ,0.8025," Trinity Valley C.C. (Athens, TX)  ",['Louisiana-Monroe'],TX
Elijah Fisher,https://247sports.com/player/elijah-fisher-46082489,TE ,0.7996," Allen (Allen, TX)    ","['Louisiana-Monroe', 'Illinois State']",TX
Noah Patty,https://247sports.com/player/noah-patty-46085902,TE ,0.7991," Nolan Catholic (Fort Worth, TX)    ","['Louisiana-Monroe', 'Pittsburgh', 'Air Force', 'New Mexico', 'Northern Colorado', 'Rhode Island', 'Stephen F. Austin', 'SMU']",TX
Nate Heidecker,https://247sports.com/player/nate-heidecker-46055444,OT ,0.7977," College Park (The Woodlands, TX)    ","['Louisiana-Monroe', 'UTSA']",TX
Quincy Ledet,https://247sports.com/player/quincy-ledet-46081321,DT ,0.7977," West Orange-Stark (Orange, TX)    ","['Louisiana-Monroe', 'New Mexico State', 'Northwestern State', 'Texas Southern', 'Texas State']",TX
Hayes Crockett,https://247sports.com/player/hayes-crockett-46094988,PRO ,0.7977," Sterlington (Monroe, LA)  ",['Louisiana-Monroe'],LA
Dillon Brooks,https://247sports.com/player/dillon-brooks-46097571,OG ,0.7975," Tyler J.C.  (Tyler, TX)  ",['Louisiana-Monroe'],TX
Coby Cavil,https://247sports.com/player/coby-cavil-94659,WR ,0.7915," Red Oak (Red Oak, TX)  ","['Louisiana-Monroe', 'Alabama A&M', 'Howard', 'Sam Houston State', 'William & Mary', 'Oklahoma', 'Texas']",TX
Peyton Dunn,https://247sports.com/player/peyton-dunn-46097572,OG ,0.7901," Jackson Prep (Flowood, MS)  ",['Louisiana-Monroe'],MS
Ja'Korian Newsome,https://247sports.com/player/jakorian-newsome-46099318,OLB ,0.7897," Petal (Petal, MS)  ",['Louisiana-Monroe'],MS
Javarian Jenkins,https://247sports.com/player/javarian-jenkins-46099319,OLB ,0.7797," Oak Grove (Hattiesburg, MS)  ",['Louisiana-Monroe'],MS
Vincent Hall,https://247sports.com/player/vincent-hall-46058409,OG ,0.8431," Woodlawn (Shreveport, LA)    ","['Louisiana-Monroe', 'Louisiana', 'Louisiana Tech', 'Missouri', 'South Alabama', 'Southern Miss', 'Southern University', 'Texas Southern', 'Tulsa']",LA
Tavion Prather,https://247sports.com/player/tavion-prather-46094808,SDE ,0.8139," Lafayette (Oxford, MS)    ","['Louisiana-Monroe', 'South Alabama', 'Southeast Missouri State']",MS
Rashad Muhammad,https://247sports.com/player/rashad-muhammad-46085337,DT ,0.7989," North Little Rock (North Little Rock, AR)    ","['Louisiana-Monroe', 'Austin Peay', 'Illinois State', 'Indiana State', 'Northeastern State', 'Texas Southern', 'UT Martin']",AR
