name,url,position,score,hometown,offers,state
Arik Gilbert,https://247sports.com/player/arik-gilbert-94709,TE ,0.9972," Marietta (Marietta, GA)                    ",,GA
Elias Ricks,https://247sports.com/player/elias-ricks-46042180,CB ,0.9928," IMG Academy (Bradenton, FL)                    ",,FL
Jordan Toles,https://247sports.com/player/jordan-toles-46050292,S ,0.9650," St. Frances Academy (Baltimore, MD)                    ",,MD
BJ Ojulari,https://247sports.com/player/bj-ojulari-46040436,WDE ,0.9636," Marietta (Marietta, GA)                    ",,GA
Max Johnson,https://247sports.com/player/max-johnson-89241,PRO ,0.9090," Oconee County (Watkinsville, GA)                    ",,GA
Ali Gaye,https://247sports.com/player/ali-gaye-89377,SDE ,0.8830," Garden City C.C.  (Garden City, KS)                    ",,KS
TJ Finley,https://247sports.com/player/tj-finley-46040985,PRO ,0.8784," Ponchatoula (Ponchatoula, LA)                    ",,LA
Kayshon Boutte,https://247sports.com/player/kayshon-boutte-46047097,WR ,0.9894," Westgate (New Iberia, LA)    ","['LSU', 'Alabama', 'Arkansas', 'Colorado', 'Kansas', 'Ole Miss', 'Tennessee', 'West Virginia']",LA
Jaquelin Roy,https://247sports.com/player/jaquelin-roy-46050000,DT ,0.9805," University Lab (Baton Rouge, LA)                  ","['LSU', 'Texas A&M', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'Miami', 'Mississippi State', 'Missouri', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Tennessee', 'Texas', 'Tulane', 'Virginia']",LA
Phillip Webb,https://247sports.com/player/phillip-webb-46054443,OLB ,0.9728," Lanier (Buford, GA)                  ","['LSU', 'Alabama', 'Florida', 'Oklahoma', 'Appalachian State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Cincinnati', 'Clemson', 'Colorado', 'Duke', 'Florida State', 'Georgia', 'Georgia Southern', 'Georgia Tech', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Missouri', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma State', 'Ole Miss', 'Penn State', 'Purdue', 'Stanford', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'UCF', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Wisconsin']",GA
Jacobian Guillory,https://247sports.com/player/jacobian-guillory-46051634,DT ,0.9565," Alexandria (Alexandria, LA)                  ","['LSU', 'Alabama', 'Arizona State', 'Georgia', 'Grambling State', 'Louisiana', 'Louisiana Tech', 'Mercer', 'Mississippi State', 'Ole Miss', 'Southern University', 'TCU', 'Tennessee', 'Texas', 'Texas A&M']",LA
