name,url,position,score,hometown,offers,state
Charles Bell VI,https://247sports.com/player/charles-bell-vi-46055833,S ,0.8606," Quince Orchard (Gaithersburg, MD)    ","['Marshall', 'Syracuse', 'West Virginia', 'Georgia', 'Boston College', 'East Carolina', 'Liberty', 'Maryland', 'Massachusetts', 'Pittsburgh', 'South Carolina', 'Temple', 'Toledo', 'Virginia Tech']",MD
JJ Davis,https://247sports.com/player/jj-davis-46082376,RB ,0.8519," Bluefield (Bluefield, WV)    ","['Marshall', 'Toledo', 'Cincinnati', 'Maryland', 'NC State', 'Old Dominion', 'Pittsburgh', 'Temple', 'Tennessee', 'West Virginia', 'Virginia Tech']",WV
Emmanuel Balogun,https://247sports.com/player/emmanuel-balogun-46097590,DT ,0.8200," Fork Union Military Academy (Fork Union, VA)  ",['Marshall'],VA
Eli Sammons,https://247sports.com/player/eli-sammons-46055126,PRO ,0.8146," Greenup County (Greenup, KY)    ","['Marshall', 'Cincinnati', 'Purdue']",KY
Kerion Martin,https://247sports.com/player/kerion-martin-46082213,S ,0.8139," Capital (Charleston, WV)  ","['Marshall', 'Air Force', 'Indiana State', 'Miami (OH)', 'Western Kentucky', 'Virginia Tech', 'West Virginia']",WV
Immanuel Bush,https://247sports.com/player/immanuel-bush-46086138,SDE ,0.8118," Lancaster (Lancaster, SC)    ","['Marshall', 'Coastal Carolina', 'Tulane']",SC
Daytione Smith,https://247sports.com/player/daytione-smith-46081689,WR ,0.8114," Highland Springs (Highland Springs, VA)  ",['Marshall'],VA
Charlie Gray,https://247sports.com/player/charlie-gray-46097589,ILB ,0.8100," Butler C.C. (El Dorado, KS)  ",['Marshall'],KS
Chris Everhart,https://247sports.com/player/chris-everhart-46085325,OG ,0.8053," Greeneville (Greeneville, TN)  ","['Marshall', 'Middle Tennessee State']",TN
EJ Horton,https://247sports.com/player/ej-horton-46097588,WR ,0.8003," Palmetto Academy Inc (Charleston, SC)  ",['Marshall'],SC
De’Kwan Hughes,https://247sports.com/player/dekwan-hughes-46081413,CB ,0.8003," Armwood (Seffner, FL)  ","['Marshall', 'Bowling Green', 'Buffalo', 'Campbell', 'Colorado State', 'East Tennessee State', 'Kent State', 'Liberty', 'South Dakota', 'Southern Miss', 'Toledo', 'Troy', 'Western Michigan']",FL
Keylin Roach,https://247sports.com/player/keylin-roach-46099317,CB ,0.8000," Georgia Military College (Milledgeville, GA)  ",['Marshall'],GA
Ethan Ingram,https://247sports.com/player/ethan-ingram-46097585,OG ,0.7902," F. W. Buchholz (Gainesville, FL)  ",['Marshall'],FL
Abraham Beauplan,https://247sports.com/player/abraham-beauplan-46041972,OLB ,0.7800," Navarro College (Corsicana, TX)    ",['Marshall'],TX
Shadeed Ahmed,https://247sports.com/player/shadeed-ahmed-46042920,WR ,0.7800," Navarro College (Corsicana, TX)    ",['Marshall'],TX
Hayden Hagler,https://247sports.com/player/hayden-hagler-46051041,TE ,0.7800," Blinn College (Brenham, TX)      ","['Marshall', 'Akron', 'Massachusetts', 'Memphis']",TX
Joshua Bowers,https://247sports.com/player/joshua-bowers-90556,CB ,0.7700," Navarro College (Corsicana, TX)    ",['Marshall'],TX
Jhari Patterson,https://247sports.com/player/jhari-patterson-46077059,WR ,0.8654," A C Reynolds (Asheville, NC)  ","['Marshall', 'Charlotte', 'East Carolina', 'Kentucky', 'Liberty', 'NC State', 'North Carolina', 'South Carolina', 'Virginia', 'Wake Forest']",NC
Josh Hardeman,https://247sports.com/player/josh-hardeman-46097096,S ,0.8344," Newton (Covington, GA)  ","['Marshall', 'Charlotte', 'North Carolina A&T', 'Purdue', 'Cincinnati', 'Coastal Carolina', 'Georgia State']",GA
Chancellor Bright,https://247sports.com/player/chancellor-bright-46055118,WR ,0.8316," Knoxville Catholic (Knoxville, TN)    ","['Marshall', 'Toledo', 'Appalachian State', 'Arkansas', 'Louisville', 'Tennessee']",TN
Logan Clark,https://247sports.com/player/logan-clark-46085100,TE ,0.8263," Coffeyville C.C. (Coffeyville, KS)  ","['Marshall', 'Southern Miss', 'Charlotte', 'Connecticut', 'East Carolina', 'Eastern Michigan', 'Memphis', 'Virginia Tech', 'West Virginia', 'Wisconsin']",KS
Jayvon Burrell,https://247sports.com/player/jayvon-burrell-46085510,DT ,0.7781," Life Christian Academy (Colonial Heights, VA)  ",['Marshall'],VA
Cameron Moore,https://247sports.com/player/cameron-moore-46096355,CB ,NA," East Coast Prep (Great Barrington, MA)  ","['Marshall', 'Robert Morris', 'Sacred Heart', 'Temple']",MA
