name,url,position,score,hometown,offers,state
Ruben Hyppolite II,https://247sports.com/player/ruben-hyppolite-ii-46051515,OLB ,0.9089," McArthur (Hollywood, FL)                    ",,FL
Osita Smith,https://247sports.com/player/osita-smith-46054067,S ,0.8810," Milford Academy (Milford, CT)    ",,CT
Deajaun McDougle,https://247sports.com/player/deajaun-mcdougle-45572389,WR ,0.8710," Deerfield Beach (Deerfield Beach, FL)                    ",,FL
Beau Brade,https://247sports.com/player/beau-brade-46080073,S ,0.8594," River Hill (Clarksville, MD)    ",,MD
Jakorian Bennett,https://247sports.com/player/jakorian-bennett-46084582,CB ,0.8581," Hutchinson C.C. (Hutchinson, KS)    ",,KS
Frankie Burgess,https://247sports.com/player/frankie-burgess-46094339,OLB ,0.8478," Pahokee (Pahokee, FL)    ",,FL
Devyn King,https://247sports.com/player/devyn-king-46042489,CB ,0.8431," Junipero Serra (Gardena, CA)                    ",,CA
Ja'Khi Green,https://247sports.com/player/jakhi-green-46080790,OT ,0.8385," St. Frances Academy (Baltimore, MD)                    ",,MD
Shane Mosley,https://247sports.com/player/shane-mosley-46078932,CB ,0.8376," Haverford (Havertown, PA)                    ",,PA
TJ Kautai,https://247sports.com/player/tj-kautai-46086133,ILB ,0.8241," Independence C.C. (Independence, KS)                    ",,KS
Johari Branch,https://247sports.com/player/johari-branch-46045355,OG ,0.8236," Independence C.C. (Independence, KS)    ",,KS
Rakim Jarrett,https://247sports.com/player/rakim-jarrett-46039172,WR ,0.9870," St. John's (Washington, DC)    ","['Maryland', 'Alabama', 'LSU', 'Tennessee', 'Arizona', 'Auburn', 'Boston College', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Indiana', 'Kentucky', 'Miami', 'Michigan', 'Michigan State', 'Nebraska', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'South Carolina', 'Syracuse', 'Temple', 'Texas A&M', 'USC', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin', 'Arkansas']",DC
Peny Boone,https://247sports.com/player/peny-boone-46052941,RB ,0.8917," Martin Luther King (Detroit, MI)    ","['Maryland', 'Akron', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kentucky', 'Michigan', 'Michigan State', 'Morgan State', 'Nebraska', 'Norfolk State', 'Purdue', 'Syracuse', 'Tennessee', 'Toledo', 'West Virginia', 'Western Michigan']",MI
Isaiah Jacobs,https://247sports.com/player/isaiah-jacobs-46076562,RB ,0.8795," Owasso (Owasso, OK)    ","['Maryland', 'Oklahoma State', 'Arkansas', 'Colorado', 'Eastern Michigan', 'Iowa State', 'Kansas', 'Kansas State', 'Memphis', 'Michigan', 'Nebraska', 'Ole Miss', 'SMU', 'South Dakota State', 'Tulsa', 'Alabama', 'Texas State']",OK
Tarheeb Still,https://247sports.com/player/tarheeb-still-46054767,CB ,0.8646," Timber Creek (Sicklerville, NJ)  ","['Maryland', 'UCF', 'West Virginia', 'Baylor', 'Boston College', 'Cincinnati', 'Colorado State', 'Duke', 'East Carolina', 'Kent State', 'Massachusetts', 'Minnesota', 'NC State', 'North Carolina', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Virginia Tech', 'Wake Forest', 'Western Michigan']",NJ
Riyad Wilmot,https://247sports.com/player/riyad-wilmot-46079849,SDE ,0.8534," St. Thomas Aquinas (Fort Lauderdale, FL)    ","['Maryland', 'Boston College', 'Kansas', 'Kentucky', 'Missouri', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Syracuse', 'Texas', 'Vanderbilt', 'Wake Forest']",FL
Ami Finau,https://247sports.com/player/ami-finau-46095071,DT ,0.8495," Independence C.C. (Independence, KS)    ","['Maryland', 'Marshall', 'Arizona', 'Illinois', 'Morgan State', 'San Jose State', 'Southeast Missouri State', 'Southern Illinois', 'Southern Miss', 'Utah State']",KS
Mosiah Nasili-Kite,https://247sports.com/player/mosiah-nasili-kite-46047016,SDE ,0.8485," Independence C.C. (Independence, KS)    ","['Maryland', 'Arizona', 'Charlotte', 'Hawaii', 'Marshall', 'Oregon State', 'Utah State']",KS
Almosse Titi,https://247sports.com/player/almosse-titi-46049432,DT ,0.8465," Iowa Western C.C. (Council Bluffs, IA)    ","['Maryland', 'Arizona', 'Arkansas State', 'Southern Miss', 'Troy', 'USF', 'West Florida']",IA
Khristopher Love,https://247sports.com/player/khristopher-love-46079323,OG ,0.8452," American Heritage (Fort Lauderdale, FL)    ","['Maryland', 'USF', 'Boston College', 'Charlotte', 'Kentucky', 'NC State', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'Utah', 'Vanderbilt', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Miami']",FL
Nick DeGennaro,https://247sports.com/player/nick-degennaro-46085549,WR ,0.8389," Hun School  (Princeton, NJ)    ","['Maryland', 'Bryant', 'Bucknell', 'Elon', 'Fordham', 'Holy Cross', 'Howard', 'Lafayette', 'Massachusetts', 'Monmouth', 'New Hampshire', 'Northern Illinois', 'Richmond', 'Stony Brook', 'Villanova', 'Buffalo', 'Connecticut', 'Penn State', 'Rutgers', 'Syracuse', 'Virginia']",NJ
Glen Miller,https://247sports.com/player/glen-miller-46097176,S ,0.8369," Ridgeview (Orange Park, FL)  ","['Maryland', 'Bowling Green', 'Campbell', 'Idaho', 'New Mexico', 'Tennessee State', 'Troy']",FL
Amelio Moran,https://247sports.com/player/amelio-moran-91856,OT ,0.8303," Lackawanna C.C. (Scranton, PA)    ","['Maryland', 'East Carolina', 'FIU', 'Alabama State', 'Austin Peay', 'Ball State', 'Buffalo', 'Chattanooga', 'Illinois State', 'Indiana', 'Massachusetts', 'Old Dominion', 'San Jose State', 'Tennessee State', 'Texas Tech', 'USF', 'UTSA', 'West Virginia']",PA
Delmar Glaze,https://247sports.com/player/delmar-glaze-46094079,OT ,0.8281," West Mecklenburg (Charlotte, NC)    ","['Maryland', 'Alabama A&M', 'Appalachian State', 'Campbell', 'Connecticut', 'East Tennessee State', 'FIU', 'Jacksonville State', 'Massachusetts', 'Morgan State', 'Notre Dame College', 'South Carolina State', 'Louisville']",NC
Tre Smith,https://247sports.com/player/tre-smith-46082561,DT ,0.8268," Mountain Ridge (Frostburg, MD)    ","['Maryland', 'Old Dominion', 'Delaware State', 'Elon', 'James Madison', 'Kent State', 'Richmond', 'Temple', 'Villanova', 'Syracuse']",MD
Zach Perkins,https://247sports.com/player/zach-perkins-46076723,OT ,0.8268," Berkeley Prep (Tampa, FL)    ","['Maryland', 'Marshall', 'Austin Peay', 'Bowling Green', 'Campbell', 'Charlotte', 'Colorado State', 'FIU', 'Florida Atlantic', 'Howard', 'Jacksonville', 'Kentucky', 'Massachusetts', 'Samford', 'South Alabama', 'Southern Miss', 'Southern University', 'Tennessee State', 'Tennessee Tech', 'Troy', 'Tulane', 'Tulsa', 'Western Kentucky', 'Wofford', 'Georgia Tech', 'Kansas State', 'Memphis', 'Purdue', 'Rutgers', 'Temple', 'Wake Forest']",FL
Corey Dyches,https://247sports.com/player/corey-dyches-46049923,WR ,0.8713," Potomac (Oxon Hill, MD)    ","['Maryland', 'Boston College', 'East Carolina', 'Massachusetts', 'North Carolina', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Alabama', 'Duke', 'Kentucky', 'Ohio State', 'Penn State', 'Virginia Tech', 'Wake Forest']",MD
