name,url,position,score,hometown,offers,state
Kundarrius Taylor,https://247sports.com/player/kundarrius-taylor-46037472,WR ,0.8730," Copiah-Lincoln C.C. (Wesson, MS)    ","['Memphis', 'Oklahoma', 'Mississippi State', 'Tennessee']",MS
Keilon Brown,https://247sports.com/player/keilon-brown-46050507,DUAL ,0.8626," Zachary (Zachary, LA)    ","['Memphis', 'Arkansas State', 'Baylor', 'Cincinnati', 'Coastal Carolina', 'Florida Atlantic', 'Houston', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Nicholls State', 'Northwestern State', 'Prairie View A&M', 'Southern University', 'Temple', 'Tulane', 'Utah State', 'Virginia']",LA
Khi Mathieu,https://247sports.com/player/khi-mathieu-46050902,WR ,0.8552," St. Augustine (New Orleans, LA)    ","['Memphis', 'Colorado', 'Colorado State', 'Idaho', 'Kentucky', 'Louisiana Tech', 'Nebraska', 'Southern Miss', 'Tennessee', 'Tulane', 'UAB', 'UTSA']",LA
Kalyn Grandberry,https://247sports.com/player/kalyn-grandberry-46085313,RB ,0.8552," Jones County J.C. (Ellisville, MS)    ","['Memphis', 'Akron', 'Louisiana', 'Southern Miss', 'Troy']",MS
Devonte Nelson,https://247sports.com/player/devonte-nelson-46057678,CB ,0.8540," Memphis University School (Memphis, TN)    ","['Memphis', 'Arkansas', 'Indiana', 'Louisville', 'Memphis', 'Mississippi State', 'Ole Miss', 'South Carolina', 'Southern Miss', 'Tennessee', 'Wake Forest']",TN
An'Darius Coffey,https://247sports.com/player/andarius-coffey-46080851,ATH ,0.8498," Winona Secondary School (Winona, MS)    ","['Memphis', 'Duke', 'Ole Miss', 'Southern Miss']",MS
Marcayll Jones,https://247sports.com/player/marcayll-jones-46081213,WR ,0.8472," Warner Robins (Warner Robins, GA)  ","['Memphis', 'Chattanooga', 'Georgia Southern', 'Georgia State', 'Kent State', 'Mercer', 'Middle Tennessee State', 'Rice', 'Rutgers', 'South Alabama', 'Tennessee Tech', 'Toledo', 'Troy', 'UAB', 'Western Kentucky', 'William & Mary']",GA
Mitchell Gildehaus,https://247sports.com/player/mitchell-gildehaus-46057973,OT ,0.8445," St Francis Borgia Regional (Washington, MO)  ","['Memphis', 'Arkansas State', 'Ball State', 'Eastern Michigan', 'Kansas', 'New Mexico', 'Ohio', 'Southern Arkansas', 'Southwest Baptist', 'Western Michigan', 'Wyoming', 'Iowa', 'Iowa State', 'Kentucky', 'Louisville', 'Minnesota']",MO
Kobe Webster,https://247sports.com/player/kobe-webster-46081535,WR ,0.8437," Texas High (Texarkana, TX)    ","['Memphis', 'Arkansas State', 'Grambling State', 'Louisiana-Monroe', 'Northwestern State', 'Southern University']",TX
Jonah Gambill,https://247sports.com/player/jonah-gambill-46081408,OT ,0.8410," Cartersville (Cartersville, GA)    ","['Memphis', 'Appalachian State', 'Coastal Carolina', 'East Carolina', 'Eastern Michigan', 'Georgia State', 'Jacksonville State', 'Kansas', 'Louisville', 'Marshall', 'Memphis', 'Middle Tennessee State', 'Rice', 'Samford', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee Tech', 'Tulane', 'USF', 'Wake Forest']",GA
Brackston Alford,https://247sports.com/player/brackston-alford-46085962,OG ,0.8410," Alcoa (Alcoa, TN)  ","['Memphis', 'Air Force', 'Arkansas State', 'Army', 'Austin Peay', 'Brown', 'Chattanooga', 'Coastal Carolina', 'Colgate', 'Dartmouth', 'Georgia Southern', 'Marshall', 'Middle Tennessee State', 'Navy', 'Ohio', 'UAB', 'Yale']",TN
Rhett Weidenbacher,https://247sports.com/player/rhett-weidenbacher-46086654,TE ,0.8400," Butler C.C. (El Dorado, KS)    ","['Memphis', 'Florida Atlantic']",KS
Davian Mayo,https://247sports.com/player/davian-mayo-46098828,ILB ,0.8367," Drew Central (Monticello, AR)  ","['Memphis', 'Missouri State']",AR
Brandon Thomas,https://247sports.com/player/brandon-thomas-46081106,RB ,0.8336," North Little Rock (North Little Rock, AR)    ","['Memphis', 'SMU', 'Arkansas', 'Arkansas State', 'Louisiana Tech', 'North Texas', 'South Alabama', 'Arkansas']",AR
Kajuan Robinson,https://247sports.com/player/kajuan-robinson-46081001,DT ,0.8154," Bryant (Bryant, AR)  ",['Memphis'],AR
Kory Gainwell,https://247sports.com/player/kory-gainwell-46098826,RB ,0.8154," Yazoo County (Yazoo City, MS)  ",['Memphis'],MS
Sylvonta Oliver,https://247sports.com/player/sylvonta-oliver-46085900,CB ,0.8129," Itawamba C.C. (Fulton, MS)    ","['Memphis', 'Austin Peay', 'Charlotte', 'Murray State', 'Southeast Missouri State']",MS
Maurice White,https://247sports.com/player/maurice-white-46042902,SDE ,0.8006," East Mississippi C.C. (Scooba, MS)    ",['Memphis'],MS
