name,url,position,score,hometown,offers,state
Chantz Williams,https://247sports.com/player/chantz-williams-46038938,WDE ,0.9636," Oakleaf (Orange Park, FL)                    ",,FL
Jaylan Knighton,https://247sports.com/player/jaylan-knighton-46046875,RB ,0.9533," Deerfield Beach (Deerfield Beach, FL)                    ",,FL
Don Chaney Jr.,https://247sports.com/player/don-chaney-jr-92946,RB ,0.9498," Belen Jesuit Prep (Miami, FL)                    ",,FL
Jalen Rivers,https://247sports.com/player/jalen-rivers-46039457,OT ,0.9429," Oakleaf (Orange Park, FL)                    ",,FL
Michael Redding III,https://247sports.com/player/michael-redding-iii-46055158,WR ,0.9271," IMG Academy (Bradenton, FL)                    ",,FL
Tyler Van Dyke,https://247sports.com/player/tyler-van-dyke-88973,PRO ,0.9174," Suffield Academy (Suffield, CT)                    ",,CT
Keshawn Washington,https://247sports.com/player/keshawn-washington-46037037,S ,0.8898," South Dade (Homestead, FL)                    ",,FL
Dominic Mammarelli,https://247sports.com/player/dominic-mammarelli-46051465,TE ,0.8858," Naples (Naples, FL)                 ",,FL
Dazalin Worsham,https://247sports.com/player/dazalin-worsham-46042539,WR ,0.8783," Hewitt-Trussville (Trussville, AL)                    ",,AL
Tirek Austin-Cave,https://247sports.com/player/tirek-austin-cave-46054731,ILB ,0.8776," Camden (Camden, NJ)                    ",,NJ
Xavier Restrepo,https://247sports.com/player/xavier-restrepo-46050952,ATH ,0.8699," Deerfield Beach (Deerfield Beach, FL)                    ",,FL
Keyshawn Smith,https://247sports.com/player/keyshawn-smith-46081770,WR ,0.8653," Lincoln (San Diego, CA)    ",,CA
Corey Flagg,https://247sports.com/player/corey-flagg-46052137,ILB ,0.8608," North Shore (Houston, TX)                    ",,TX
Chris Washington,https://247sports.com/player/chris-washington-46080943,OT ,0.8552," Overton (Nashville, TN)                    ",,TN
Avantae Williams,https://247sports.com/player/avantae-williams-46035608,S ,0.9769," Deland (Deland, FL)    ","['Miami', 'Florida', 'Oregon', 'Alabama', 'Cincinnati', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Middle Tennessee State', 'Mississippi State', 'NC State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Penn State', 'South Carolina', 'Tennessee', 'Tennessee State', 'UCF', 'USC', 'USF']",FL
Jalen Harrell,https://247sports.com/player/jalen-harrell-46059050,S ,0.9140," Champagnat Catholic - Hialeah (Hialeah, FL)                  ","['Miami', 'Georgia Tech', 'Florida State', 'Arkansas', 'Cincinnati', 'Clemson', 'FIU', 'Kansas', 'Kentucky', 'Louisville', 'Maryland', 'Nebraska', 'Penn State', 'Pittsburgh', 'Tennessee', 'UCF', 'USF']",FL
Isaiah Dunson,https://247sports.com/player/isaiah-dunson-46048387,CB ,0.8958," Tucker (Tucker, GA)    ","['Miami', 'Florida State', 'Cincinnati', 'Georgia Tech', 'Kentucky', 'Louisville', 'Mississippi State', 'NC State', 'Nebraska', 'North Carolina', 'Ole Miss', 'South Alabama', 'South Carolina', 'Texas', 'Toledo', 'UAB', 'Georgia']",GA
Elijah Roberts,https://247sports.com/player/elijah-roberts-46051699,SDE ,0.8925," Columbus (Miami, FL)                  ","['Miami', 'South Carolina', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Kentucky', 'Michigan', 'Nebraska', 'North Carolina', 'Oregon', 'Penn State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'UCF', 'Vanderbilt', 'West Virginia']",FL
Quentin Williams,https://247sports.com/player/quentin-williams-46057246,WDE ,0.8668," Mallard Creek (Charlotte, NC)                ","['Miami', 'West Virginia', 'Akron', 'Charlotte', 'Coastal Carolina', 'East Carolina', 'Liberty', 'Louisville', 'North Carolina', 'Purdue', 'Syracuse', 'Virginia', 'Virginia Tech', 'Western Kentucky', 'Florida', 'Gardner-Webb', 'NC State', 'Wake Forest']",NC
Marcus Clarke,https://247sports.com/player/marcus-clarke-46058596,CB ,0.8653," Winter Park (Winter Park, FL)                  ","['Miami', 'Bowling Green', 'Cincinnati', 'Colorado State', 'Connecticut', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Illinois', 'Indiana', 'Iowa State', 'Kansas State', 'Kent State', 'Liberty', 'Louisville', 'Marshall', 'Minnesota', 'NC State', 'Ole Miss', 'Pittsburgh', 'Tennessee', 'Troy', 'UCF', 'USF', 'UT Martin', 'Wake Forest', 'West Virginia']",FL
Brian Balom,https://247sports.com/player/brian-balom-46081747,S ,0.8639," Miramar (Hollywood, FL)                  ","['Miami', 'Louisville', 'Air Force', 'Alabama A&M', 'Alabama State', 'Bryant', 'Buffalo', 'FIU', 'Florida Atlantic', 'Georgia State', 'Indiana', 'Kent State', 'Middle Tennessee State', 'Northern Illinois', 'South Dakota', 'Toledo', 'Utah', 'West Virginia']",FL
Willie Moise,https://247sports.com/player/willie-moise-46039152,DT ,0.8817," Chaminade-Madonna Prep (Hollywood, FL)    ","['Miami', 'Auburn', 'Bowling Green', 'Florida Atlantic', 'Florida State', 'Kentucky', 'LSU', 'Marshall', 'Maryland', 'Missouri', 'Oklahoma', 'Syracuse', 'TCU', 'Temple', 'Tennessee', 'USF']",FL
