name,url,position,score,hometown,offers,state
Braiden McGregor,https://247sports.com/player/braiden-mcgregor-46054251,SDE ,0.9472," Port Huron Northern (Port Huron, MI)                    ",,MI
Blake Corum,https://247sports.com/player/blake-corum-92992,RB ,0.9423," St. Frances Academy (Baltimore, MD)                    ",,MD
Andre Seldon,https://247sports.com/player/andre-seldon-93977,CB ,0.9300," Belleville (Belleville, MI)                    ",,MI
Makari Paige,https://247sports.com/player/makari-paige-46048590,S ,0.9110," West Bloomfield (West Bloomfield, MI)                  ",,MI
Zak Zinter,https://247sports.com/player/zak-zinter-46056669,OG ,0.9065," Buckingham Browne & Nichols School (Cambridge, MA)                    ",,MA
Nikhai Hill-Green,https://247sports.com/player/nikhai-hill-green-46051396,OLB ,0.8884," St. Frances Academy (Baltimore, MD)                    ",,MD
William Mohan,https://247sports.com/player/william-mohan-89135,ATH ,0.8816," Erasmus Hall (Brooklyn, NY)                    ",,NY
Aaron Lewis,https://247sports.com/player/aaron-lewis-46059082,SDE ,0.8810," Williamstown (Williamstown, NJ)                    ",,NJ
A.J. Henning,https://247sports.com/player/a-j-henning-46047161,WR ,0.9548," Lincoln-Way East (Frankfort, IL)                  ","['Michigan', 'Georgia', 'Notre Dame', 'Penn State', 'Alabama', 'Boston College', 'Central Michigan', 'Cincinnati', 'Duke', 'Illinois', 'Indiana', 'Iowa', 'Louisville', 'LSU', 'Miami', 'Miami (OH)', 'Michigan State', 'Minnesota', 'Missouri', 'Nebraska', 'Northwestern', 'Ohio State', 'Purdue', 'Rutgers', 'Stanford', 'Syracuse', 'Tennessee', 'Western Michigan', 'Wisconsin', 'Clemson', 'Florida State', 'Georgia College']",IL
Kalel Mullings,https://247sports.com/player/kalel-mullings-46038392,OLB ,0.9333," Milton Academy (Milton, MA)                  ","['Michigan', 'Northwestern', 'Wisconsin', 'Boston College', 'Clemson', 'Colorado', 'Duke', 'Georgia Tech', 'Maryland', 'Massachusetts', 'Michigan State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'San Jose State', 'Stanford', 'Syracuse', 'Tennessee', 'Texas', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Cornell', 'Georgia Tech', 'USC', 'Wake Forest']",MA
Jordan Morant,https://247sports.com/player/jordan-morant-46040100,S ,0.9294," Bergen Catholic (Oradell, NJ)                  ","['Michigan', 'Penn State', 'Texas A&M', 'USC', 'Alabama', 'Boston College', 'Clemson', 'Duke', 'Kentucky', 'LSU', 'Miami', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Stanford', 'Syracuse', 'Tennessee', 'Texas Tech', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wisconsin']",NJ
Darion Green-Warren,https://247sports.com/player/darion-green-warren-46038102,CB ,0.9233," Narbonne (Harbor City, CA)    ","['Michigan', 'Nebraska', 'USC', 'Oklahoma', 'Arizona', 'Arkansas', 'Boise State', 'Colorado', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Louisville', 'Maryland', 'Michigan State', 'Nevada', 'Ole Miss', 'Oregon', 'Oregon State', 'Penn State', 'Tennessee', 'Texas Tech', 'Utah', 'Wisconsin', 'Arkansas', 'Houston']",CA
RJ Moten,https://247sports.com/player/rj-moten-46080101,S ,0.9083," Delran (Delran, NJ)                  ","['Michigan', 'Boston College', 'Buffalo', 'Columbia', 'Duke', 'Kent State', 'Kentucky', 'Minnesota', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Princeton', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Tulane', 'Virginia', 'Virginia Tech', 'West Virginia']",NJ
Jaylen Harrell,https://247sports.com/player/jaylen-harrell-46042851,WDE ,0.9003," Berkeley Prep (Tampa, FL)                  ","['Michigan', 'Alabama', 'Auburn', 'Clemson', 'Duke', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Southern', 'Georgia Tech', 'Kansas State', 'Kentucky', 'Louisville', 'Miami', 'Minnesota', 'Mississippi State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Penn State', 'South Carolina', 'USF', 'Washington State', 'Florida', 'Tennessee', 'Vanderbilt']",FL
Osman Savage,https://247sports.com/player/osman-savage-46041191,OLB ,0.8994," St. Frances Academy (Baltimore, MD)                  ","['Michigan', 'Maryland', 'Massachusetts', 'Michigan State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'West Virginia', 'Georgia Tech', 'NC State']",MD
Jeffrey Persi,https://247sports.com/player/jeffrey-persi-46058191,OT ,0.8958," J Serra Catholic (San Juan Capistrano, CA)                  ","['Michigan', 'UCLA', 'Arizona', 'Arizona State', 'Boston College', 'California', 'Colorado', 'Duke', 'Indiana', 'Kansas', 'Kansas State', 'Nebraska', 'Nevada', 'Northwestern', 'Oklahoma', 'Ole Miss', 'Oregon State', 'Pittsburgh', 'Purdue', 'TCU', 'USC', 'Utah', 'Utah State', 'Vanderbilt', 'Washington', 'Washington State', 'Stanford']",CA
Roman Wilson,https://247sports.com/player/roman-wilson-46043085,WR ,0.8928," St. Louis (Honolulu, HI)                  ","['Michigan', 'Arizona State', 'Brigham Young', 'California', 'Colorado', 'Hawaii', 'Oregon', 'Sacramento State', 'Southern Utah', 'UCLA', 'Utah State', 'Washington', 'Wisconsin']",HI
