name,url,position,score,hometown,offers,state
Darius Snow,https://247sports.com/player/darius-snow-46047461,OLB ,0.8830," Hebron (Carrollton, TX)                    ",,TX
Devin Hightower,https://247sports.com/player/devin-hightower-46080523,OLB ,0.8680," Archbishop Hoban (Akron, OH)                    ",,OH
Angelo Grose,https://247sports.com/player/angelo-grose-46053674,CB ,0.8664," Mansfield (Mansfield, OH)                    ",,OH
Kyle King,https://247sports.com/player/kyle-king-46076572,SDE ,0.8552," New Palestine (New Palestine, IN)      ",,IN
Cal Haladay,https://247sports.com/player/cal-haladay-46059528,ILB ,0.8547," Southern Columbia (Catawissa, PA)                    ",,PA
Justin Stevens,https://247sports.com/player/justin-stevens-46085514,OT ,0.8348," Clarkson Football North (Mississauga, ON)                 ",,ON
Jack Olsen,https://247sports.com/player/jack-olsen-46079551,K ,0.8309," Wheaton Warrenville South (Wheaton, IL)                 ",,IL
Ricky White,https://247sports.com/player/ricky-white-46080062,WR ,0.8861," Marietta (Marietta, GA)    ","['Michigan State', 'Akron', 'Appalachian State', 'Ball State', 'Bowling Green', 'Central Michigan', 'Charlotte', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Georgia State', 'Georgia Tech', 'Kansas', 'Kent State', 'Louisville', 'Mercer', 'Middle Tennessee State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Toledo', 'Troy', 'UAB', 'Utah State', 'Virginia', 'Wake Forest', 'West Virginia', 'Western Carolina', 'Western Kentucky', 'Western Michigan']",GA
Dallas Fincher,https://247sports.com/player/dallas-fincher-46049614,OG ,0.8809," East Kentwood (Grand Rapids, MI)    ","['Michigan State', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Indiana', 'Iowa', 'Kentucky', 'Miami', 'Michigan', 'Minnesota', 'Northern Illinois', 'Ohio State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Toledo', 'West Virginia', 'Western Michigan', 'Wisconsin', 'Notre Dame', 'Penn State']",MI
Terry Lockett,https://247sports.com/player/terry-lockett-46050633,WR ,0.8733," Minnehaha Academy (Minneapolis, MN)    ","['Michigan State', 'Cincinnati', 'Iowa', 'Minnesota', 'Nebraska', 'Purdue', 'Rutgers', 'Ohio State', 'Stanford']",MN
Ian Stewart,https://247sports.com/player/ian-stewart-90936,WR ,0.8680," Oscar A. Carlson (Rockwood, MI)    ","['Michigan State', 'Air Force', 'Akron', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Duke', 'Indiana', 'Kansas', 'Kentucky', 'Louisville', 'Marshall', 'Michigan', 'Minnesota', 'Morgan State', 'NC State', 'Northern Illinois', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Seton Hill', 'Syracuse', 'Toledo', 'West Virginia', 'Western Illinois', 'Western Michigan', 'Toledo']",MI
Tommy Guajardo,https://247sports.com/player/tommy-guajardo-46049882,TE ,0.8647," Dearborn (Dearborn, MI)    ","['Michigan State', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Colorado', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kansas State', 'Kent State', 'Massachusetts', 'Miami (OH)', 'Minnesota', 'NC State', 'Northern Illinois', 'Pittsburgh', 'Temple', 'Toledo', 'West Virginia', 'Western Michigan', 'Georgia Tech', 'Notre Dame', 'Purdue']",MI
