name,url,position,score,hometown,offers,state
Devyn Curtis,https://247sports.com/player/devyn-curtis-46054916,ILB ,0.8633," Brentwood Academy (Brentwood, TN)    ","['Middle Tennessee State', 'Austin Peay', 'Ball State', 'Ball State', 'Kentucky', 'Louisville', 'Memphis', 'Mississippi State', 'Missouri', 'Nebraska', 'South Carolina', 'UTSA', 'Vanderbilt', 'Virginia', 'Cincinnati', 'Clemson', 'Colorado', 'Duke', 'Georgia Tech', 'Notre Dame', 'Ohio State', 'Purdue', 'Tennessee', 'UTSA', 'Virginia Tech', 'Wake Forest', 'Wofford']",TN
Deidrick Stanley,https://247sports.com/player/deidrick-stanley-46050426,ATH ,0.8553," Chaminade-Madonna Prep (Hollywood, FL)  ","['Middle Tennessee State', 'Boston College', 'Bowling Green', 'Colorado State', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Rutgers', 'UAB', 'USF', 'Western Kentucky', 'Wisconsin']",FL
Drew Francis,https://247sports.com/player/drew-francis-46052772,OLB ,0.8485," Knoxville West (Knoxville, TN)    ","['Middle Tennessee State', 'Arkansas', 'Arizona', 'Memphis', 'Purdue', 'Western Kentucky', 'Tennessee']",TN
Frank Peasant,https://247sports.com/player/frank-peasant-46052245,OLB ,0.8366," Escambia (Pensacola, FL)  ","['Middle Tennessee State', 'Tennessee', 'Troy', 'Ole Miss']",FL
Tyrece Edwards,https://247sports.com/player/tyrece-edwards-46053348,WDE ,0.8322," Knoxville West (Knoxville, TN)    ","['Middle Tennessee State', 'Arkansas', 'Arizona', 'Arkansas State', 'Coastal Carolina', 'Indiana', 'Liberty', 'Marshall', 'Memphis', 'Middle Tennessee State', 'Missouri', 'Tulane', 'UAB', 'Wake Forest']",TN
Davon Martin,https://247sports.com/player/davon-martin-46094100,CB ,0.8305," Edgewater (Orlando, FL)    ","['Middle Tennessee State', 'Kansas', 'Charlotte', 'Miami']",FL
James Shellman,https://247sports.com/player/james-shellman-46059274,ATH ,0.8301," Islands (Savannah, GA)    ","['Middle Tennessee State', 'Appalachian State', 'Colorado', 'East Carolina', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Liberty', 'Mercer', 'Michigan', 'NC State', 'Ole Miss', 'Savannah State', 'Syracuse', 'Tulane', 'USF', 'Wake Forest', 'West Virginia']",GA
Ralph Mency,https://247sports.com/player/ralph-mency-46080607,SDE ,0.8269," Robert E. Lee (Jacksonville, FL)    ","['Middle Tennessee State', 'Boston College', 'Ohio', 'Appalachian State', 'Bowling Green', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'East Carolina', 'FIU', 'Florida Atlantic', 'Kent State', 'Liberty', 'Ohio', 'Rutgers', 'South Alabama', 'Southern Miss', 'Troy', 'Tulane', 'UAB', 'USF', 'Wake Forest', 'Western Kentucky']",FL
Jaylin Lane,https://247sports.com/player/jaylin-lane-46093950,WR ,0.8265," Clover (Clover, SC)  ","['Middle Tennessee State', 'Lenoir-Rhyne', 'North Greenville', 'Presbyterian', 'Coastal Carolina', 'Furman', 'Gardner-Webb']",SC
Johnathan Butler,https://247sports.com/player/johnathan-butler-46097584,ILB ,0.8156," Highland Community College (Freeport, IL)  ",['Middle Tennessee State'],IL
Lance Robinson,https://247sports.com/player/lance-robinson-46085889,SDE ,0.8154," Mitchell County (Camilla, GA)    ","['Middle Tennessee State', 'Georgia Southern']",GA
Bryce Bailey,https://247sports.com/player/bryce-bailey-46086112,ATH ,0.8147," Bleckley County (Cochran, GA)    ","['Middle Tennessee State', 'Central Michigan', 'Coastal Carolina', 'Eastern Kentucky', 'Florida Atlantic', 'Georgia Southern', 'Georgia State', 'Kennesaw State', 'Marshall', 'Massachusetts', 'Notre Dame College', 'Southeast Missouri State', 'Southern Illinois', 'Western Kentucky']",GA
JaMichael Thompson,https://247sports.com/player/jamichael-thompson-46059564,WR ,0.8092," Clay-Chalkville (Pinson, AL)    ","['Middle Tennessee State', 'South Alabama', 'Tennessee Tech', 'Tulane', 'UT Martin']",AL
Evian Irving,https://247sports.com/player/evian-irving-46058255,OLB ,0.8078," Vero Beach (Vero Beach, FL)  ","['Middle Tennessee State', 'Buffalo', 'Connecticut', 'Indiana', 'Missouri', 'New Hampshire']",FL
Parker Rogers,https://247sports.com/player/parker-rogers-46085894,OT ,0.8030," Lee County (Leesburg, GA)    ",['Middle Tennessee State'],GA
Vincent Dinkins,https://247sports.com/player/vincent-dinkins-46097586,SDE ,0.7996," Kell (Marietta, GA)  ",['Middle Tennessee State'],GA
Conner Griffin,https://247sports.com/player/conner-griffin-46083222,OG ,0.7976," Jones County (Gray, GA)  ","['Middle Tennessee State', 'Eastern Kentucky', 'Kent State', 'Marshall', 'Toledo', 'Western Kentucky']",GA
Wilson Kelly,https://247sports.com/player/wilson-kelly-46038341,DT ,0.7841," Boyle County (Danville, KY)  ",['Middle Tennessee State'],KY
Zoe Roberts,https://247sports.com/player/zoe-roberts-46081949,WR ,0.8139," Taylor County (Perry, FL)  ",['Middle Tennessee State'],FL
Terry Fields,https://247sports.com/player/terry-fields-46086244,WR ,0.8078," May River (Bluffton, SC)    ",['Middle Tennessee State'],SC
Terry Wilkins,https://247sports.com/player/terry-wilkins-46055150,RB ,0.7953," Fairley (Memphis, TN)  ","['Middle Tennessee State', 'Arkansas']",TN
