name,url,position,score,hometown,offers,state
Ky Thomas,https://247sports.com/player/ky-thomas-46035350,RB ,0.8863," Topeka (Topeka, KS)                    ",,KS
Jaqwondis Burns,https://247sports.com/player/jaqwondis-burns-46078938,OLB ,0.8709," IMG Academy (Bradenton, FL)                    ",,FL
Gage Keys,https://247sports.com/player/gage-keys-46059285,SDE ,0.8606," Hilliard Davidson (Hilliard, OH)                    ",,OH
Abner Dubar,https://247sports.com/player/abner-dubar-46055373,S ,0.8531," Anna (Anna, TX)                    ",,TX
Cody Lindenberg,https://247sports.com/player/cody-lindenberg-46083547,OLB ,0.8490," Anoka Senior (Anoka, MN)                    ",,MN
Tyrell Lawrence,https://247sports.com/player/tyrell-lawrence-46082453,OG ,0.8389," Clearwater Academy International (Clearwater, FL)                    ",,FL
Melle Kreuder,https://247sports.com/player/melle-kreuder-46085413,SDE ,0.8355," Germany (Germany, GERM)                    ",,GE
Mark Crawford,https://247sports.com/player/mark-crawford-46097530,P ,0.7996," Australia (Australia, AUST)                 ",,AU
Daniel Jackson,https://247sports.com/player/daniel-jackson-46051925,WR ,0.8982," Bishop Miege (Mission, KS)                  ","['Minnesota', 'Iowa State', 'Wisconsin', 'Arizona State', 'Iowa', 'Kansas', 'Kansas State', 'Missouri', 'Notre Dame', 'Texas A&M', 'Michigan', 'Northwestern', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Stanford', 'Tennessee', 'Virginia']",KS
Itayvion Brown,https://247sports.com/player/itayvion-brown-46053818,OLB ,0.8977," Lutheran North (Saint Louis, MO)                  ","['Minnesota', 'Kansas', 'Florida State', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'LSU', 'Michigan State', 'Missouri', 'Ole Miss', 'Purdue', 'TCU', 'Texas A&M', 'Western Michigan']",MO
