name,url,position,score,hometown,offers,state
Jo'Quavious Marks,https://247sports.com/player/joquavious-marks-46041108,RB ,0.9371," Carver (Atlanta, GA)    ",,GA
Jordan Davis,https://247sports.com/player/jordan-davis-91082,WDE ,0.9034," Copiah-Lincoln C.C. (Wesson, MS)                    ",,MS
Malik Heath,https://247sports.com/player/malik-heath-85252,WR ,0.8913," Copiah-Lincoln C.C. (Wesson, MS)                    ",,MS
Janari Dean,https://247sports.com/player/janari-dean-46046825,S ,0.8809," South Panola (Batesville, MS)    ",,MS
Rodney Groce Jr.,https://247sports.com/player/rodney-groce-jr-46051888,ILB ,0.8742," Pleasant Grove  (Pleasant Grove, AL)      ",,AL
Tyrus Wheat,https://247sports.com/player/tyrus-wheat-46041869,ILB ,0.8722," Copiah-Lincoln C.C. (Wesson, MS)    ",,MS
Will Rogers,https://247sports.com/player/will-rogers-46052851,PRO ,0.8688," Brandon (Brandon, MS)      ",,MS
Cameron Threatt,https://247sports.com/player/cameron-threatt-46056657,CB ,0.8618," Lewisburg (Olive Branch, MS)      ",,MS
Tre Lawson,https://247sports.com/player/tre-lawson-88156,SDE ,0.8594," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",,MS
Emmanuel Forbes,https://247sports.com/player/emmanuel-forbes-46080858,CB ,0.9248," Grenada (Grenada, MS)    ","['Mississippi State', 'Memphis', 'Louisiana-Monroe', 'Nebraska', 'Ole Miss', 'Samford', 'South Alabama', 'Southern Miss', 'Tennessee', 'Auburn', 'Missouri']",MS
Lideatrick Griffin,https://247sports.com/player/lideatrick-griffin-46054282,ATH ,0.9066," Philadelphia (Philadelphia, MS)    ","['Mississippi State', 'Auburn', 'Illinois', 'Maryland', 'Memphis', 'Ole Miss', 'Southern Miss', 'Tennessee', 'Alabama', 'Arkansas']",MS
Dillon Johnson,https://247sports.com/player/dillon-johnson-46053816,ATH ,0.8830," St Joseph (Greenville, MS)                  ","['Mississippi State', 'Oregon', 'Arkansas', 'Arkansas State', 'Austin Peay', 'Louisiana', 'Louisiana Tech', 'Louisville', 'Memphis', 'Missouri', 'Ole Miss', 'Southern Miss', 'UT Martin', 'Washington State', 'Duke', 'Kentucky', 'North Carolina', 'Notre Dame', 'Purdue', 'Tennessee']",MS
Jevon Banks,https://247sports.com/player/jevon-banks-46053878,SDE ,0.8755," Olive Branch (Olive Branch, MS)    ","['Mississippi State', 'Arkansas State', 'Louisiana-Monroe', 'Louisville', 'Memphis', 'Middle Tennessee State', 'Nebraska', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Tulane']",MS
Jaden Walley,https://247sports.com/player/jaden-walley-46053896,ATH ,0.8735," D'Iberville (Biloxi, MS)    ","['Mississippi State', 'Air Force', 'Arkansas', 'Auburn', 'Ole Miss', 'South Alabama', 'Southern Miss', 'Vanderbilt']",MS
