name,url,position,score,hometown,offers,state
Javian Hester,https://247sports.com/player/javian-hester-46051306,WR ,0.8974," Booker T. Washington (Tulsa, OK)    ","['Missouri', 'UCLA', 'Arkansas', 'Baylor', 'Colorado', 'Georgia', 'Georgia Tech', 'Iowa State', 'Kansas', 'Kansas State', 'Memphis', 'Michigan', 'Minnesota', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Temple', 'Texas', 'West Virginia']",OK
Kris Abrams-Draine,https://247sports.com/player/kris-abrams-draine-46046921,WR ,0.8851," Spanish Fort (Spanish Fort, AL)    ","['Missouri', 'Nebraska', 'West Virginia', 'LSU', 'Ole Miss', 'Arkansas', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia Tech', 'Indiana', 'Kansas', 'Kentucky', 'Memphis', 'Middle Tennessee State', 'Mississippi State', 'Oregon', 'South Alabama', 'Tennessee', 'Troy', 'UAB', 'Virginia', 'Oklahoma']",AL
Elijah Young,https://247sports.com/player/elijah-young-46043048,APB ,0.8748," South-Doyle (Knoxville, TN)    ","['Missouri', 'Arkansas', 'Bethel', 'Charlotte', 'Kentucky', 'Louisville', 'Mississippi State', 'Purdue', 'South Carolina', 'Tennessee', 'Tulane', 'UT Martin', 'Virginia Tech']",TN
Jay Maclin,https://247sports.com/player/jay-maclin-46055115,WR ,0.8742," Kirkwood (Saint Louis, MO)    ","['Missouri', 'Arizona State', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kentucky', 'New Mexico', 'Western Michigan']",MO
Drake Heismeyer,https://247sports.com/player/drake-heismeyer-46056190,OG ,0.8714," Francis Howell (Saint Charles, MO)    ","['Missouri', 'Central Michigan', 'Indiana', 'Iowa State', 'Kansas State', 'Michigan State', 'Purdue', 'South Dakota State', 'Kentucky', 'Wisconsin']",MO
Mitchell Walters,https://247sports.com/player/mitchell-walters-46056484,OT ,0.8680," Mehlville (Saint Louis, MO)    ","['Missouri', 'Arizona', 'Ball State', 'Baylor', 'Eastern Illinois', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kentucky', 'Miami (OH)', 'Minnesota', 'Northern Illinois', 'Purdue', 'SMU', 'TCU', 'Wisconsin']",MO
Montra Edwards,https://247sports.com/player/montra-edwards-46053885,DT ,0.8667," Holmes County Central (Lexington, MS)    ","['Missouri', 'Maryland', 'Arizona State', 'Arkansas', 'Arkansas State', 'Auburn', 'Florida', 'Florida State', 'Kansas', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Michigan', 'Mississippi State', 'Nebraska', 'North Carolina', 'Ole Miss', 'Oregon', 'Rutgers', 'South Alabama', 'Southern Miss', 'Tennessee', 'Virginia Tech', 'West Virginia']",MS
Brady Cook,https://247sports.com/player/brady-cook-46047907,PRO ,0.8646," Chaminade College Prep (Saint Louis, MO)    ","['Missouri', 'Austin Peay', 'Lindenwood University', 'Southern Illinois', 'Arkansas State', 'Illinois', 'Iowa', 'Iowa State', 'Miami (OH)', 'Missouri', 'Wisconsin']",MO
Ennis Rakestraw,https://247sports.com/player/ennis-rakestraw-46081865,CB ,0.8581," Duncanville (Duncanville, TX)    ","['Missouri', 'Alabama', 'Texas', 'Air Force', 'Arkansas', 'Army', 'Baylor', 'Central Arkansas', 'Colorado State', 'Connecticut', 'FIU', 'Georgia', 'Grambling State', 'Illinois State', 'Kansas', 'Liberty', 'Louisiana-Monroe', 'Miami', 'Michigan State', 'North Texas', 'Ole Miss', 'SMU', 'South Carolina', 'Tennessee State', 'Texas Southern', 'Washington State', 'Wyoming']",TX
Benjamin Key,https://247sports.com/player/benjamin-key-46082886,SDE ,0.8528," East Los Angeles College (Monterey Park, CA)    ","['Missouri', 'Mississippi State', 'Arizona', 'Oregon', 'Oregon State', 'San Jose State', 'Syracuse', 'Utah', 'Auburn', 'Florida']",CA
Jaylon Carlies,https://247sports.com/player/jaylon-carlies-46082124,ATH ,0.8526," West Orange (Winter Garden, FL)    ","['Missouri', 'Bowling Green', 'Cincinnati', 'Florida Atlantic', 'Kent State', 'Liberty', 'Marshall', 'Maryland', 'Miami', 'Middle Tennessee State', 'Mississippi Valley State', 'Pittsburgh', 'Syracuse', 'Troy']",FL
Will Norris,https://247sports.com/player/will-norris-46080257,ILB ,0.8471," Rock Bridge (Columbia, MO)  ","['Missouri', 'Air Force', 'Army', 'Ball State', 'Dartmouth', 'Eastern Illinois', 'Kansas', 'Missouri State', 'Yale']",MO
Tyler Jones,https://247sports.com/player/tyler-jones-46082184,S ,0.8452," West Orange (Winter Garden, FL)    ","['Missouri', 'Brown', 'Bryant', 'Cincinnati', 'Colgate', 'Colorado State', 'Duke', 'FIU', 'Florida Atlantic', 'Georgetown', 'Georgia Southern', 'Holy Cross', 'Kent State', 'Liberty', 'Louisville', 'Maryland', 'Mercer', 'Minnesota', 'NC State', 'Purdue', 'Rutgers', 'Samford', 'South Dakota', 'Syracuse', 'Toledo', 'Troy', 'Tulane', 'Vanderbilt', 'Wake Forest', 'Indiana']",FL
Johnny Walker,https://247sports.com/player/johnny-walker-46080094,OLB ,0.8452," Chamberlain (Tampa, FL)    ","['Missouri', 'Washington State', 'Boston College', 'Bowling Green', 'Colorado State', 'FIU', 'Florida Atlantic', 'Georgia Tech', 'Illinois', 'Kansas State', 'Maryland', 'Miami', 'Nebraska', 'Toledo', 'UCF', 'USF']",FL
Dylan Spencer,https://247sports.com/player/dylan-spencer-46086511,OT ,0.8265," Madison Central (Madison, MS)    ","['Missouri', 'Mississippi State', 'Tennessee', 'Southern Miss', 'Arkansas', 'Austin Peay', 'Central Arkansas', 'Kansas']",MS
Harrison Mevis,https://247sports.com/player/harrison-mevis-46093564,K ,0.8170," Warsaw Community (Warsaw, IN)  ","['Missouri', 'Army', 'Washington State']",IN
Chance Luper,https://247sports.com/player/chance-luper-46050522,WR ,0.8336," Fort Worth Christian (North Richland Hills, TX)    ","['Missouri', 'Boise State', 'Arkansas State', 'Boston College', 'California', 'Colorado State', 'Georgia Southern', 'Indiana', 'Kansas', 'Liberty', 'Louisiana', 'Louisville', 'Nevada', 'SMU', 'Virginia', 'Wake Forest', 'Western Kentucky', 'TCU']",TX
