name,url,position,score,hometown,offers,state
Turner Corcoran,https://247sports.com/player/turner-corcoran-46054132,OT ,0.9751," Lawrence Free State (Lawrence, KS)    ",,KS
Henry Gray,https://247sports.com/player/henry-gray-46051388,S ,0.9064," Miami Central (Miami, FL)    ",,FL
Jaiden Francois,https://247sports.com/player/jaiden-francois-46037035,S ,0.9047," South Dade (Homestead, FL)                    ",,FL
Logan Smothers,https://247sports.com/player/logan-smothers-46051967,DUAL ,0.8976," Muscle Shoals  (Muscle Shoals, AL)    ",,AL
Alante Brown,https://247sports.com/player/alante-brown-46041257,WR ,0.8897," St. Thomas More (Prep) (Oakdale, CT)                    ",,CT
Blaise Gunnerson,https://247sports.com/player/blaise-gunnerson-46056665,SDE ,0.8801," Kuemper Catholic School System (Carroll, IA)    ",,IA
Eteva Mauga-Clements,https://247sports.com/player/eteva-mauga-clements-46097169,OLB ,0.8688," Diablo Valley College (Pleasant Hill, CA)    ",,CA
Jordon Riley,https://247sports.com/player/jordon-riley-75571,SDE ,0.8524," Garden City C.C.  (Garden City, KS)    ",,KS
Isaac Gifford,https://247sports.com/player/isaac-gifford-46051030,S ,0.8434," Lincoln Southeast (Lincoln, NE)    ",,NE
Tamon Lynum,https://247sports.com/player/tamon-lynum-46082028,CB ,0.8375," Evans (Orlando, FL)    ",,FL
Zavier Betts,https://247sports.com/player/zavier-betts-46049733,WR ,0.9506," Bellevue West (Bellevue, NE)    ","['Nebraska', 'Iowa', 'Iowa State', 'Minnesota', 'South Dakota State']",NE
Keyshawn Greene,https://247sports.com/player/keyshawn-greene-46050924,OLB ,0.9387," Wakulla (Crawfordville, FL)    ","['Nebraska', 'Miami', 'Florida State', 'Arkansas', 'Florida', 'Florida Atlantic', 'Louisville', 'Southern Miss', 'UCF', 'Georgia Tech']",FL
Marcus Fleming,https://247sports.com/player/marcus-fleming-46040282,WR ,0.9075," Northwestern (Miami, FL)                  ","['Nebraska', 'Florida State', 'Georgia', 'Maryland', 'Miami', 'Appalachian State', 'Arkansas', 'Bowling Green', 'Cincinnati', 'Colorado State', 'FIU', 'Florida', 'Florida A&M', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'Marshall', 'NC State', 'Ole Miss', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rhode Island', 'Rutgers', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee', 'Toledo', 'UAB', 'UCF', 'USF', 'Valdosta State', 'Vanderbilt', 'Washington State']",FL
Omar Manning,https://247sports.com/player/omar-manning-82004,WR ,0.9053," Kilgore J.C. (Kilgore, TX)    ","['Nebraska', 'Arkansas', 'Boise State', 'Florida', 'Florida State', 'Houston', 'Indiana', 'Mississippi State', 'Missouri', 'Ole Miss', 'Oregon', 'TCU', 'Texas A&M', 'UCF', 'Utah']",TX
Sevion Morrison,https://247sports.com/player/sevion-morrison-46059276,RB ,0.8941," Edison (Tulsa, OK)    ","['Nebraska', 'Arkansas', 'Baylor', 'Colorado State', 'Georgia Tech', 'Iowa State', 'Kansas', 'Kansas State', 'Liberty', 'Memphis', 'Minnesota', 'Mississippi State', 'Missouri', 'Nevada', 'North Texas', 'SMU', 'Syracuse', 'UCF', 'Utah', 'Washington', 'Wisconsin', 'Kansas State', 'Michigan', 'Oklahoma', 'Oklahoma State', 'Tulsa']",OK
Nash Hutmacher,https://247sports.com/player/nash-hutmacher-46056120,DT ,0.8722," Chamberlain (Chamberlain, SD)    ","['Nebraska', 'Wisconsin', 'Iowa State', 'Missouri', 'Oregon']",SD
William Nixon,https://247sports.com/player/william-nixon-46055579,WR ,0.8647," Midway (Waco, TX)    ","['Nebraska', 'Georgia Tech', 'Notre Dame', 'Purdue', 'Baylor', 'Duke', 'Kansas State', 'Louisiana', 'Louisiana Tech', 'Maryland', 'North Texas', 'Penn State', 'Rice', 'Temple', 'Tulsa', 'Virginia Tech']",TX
Marvin Scott III,https://247sports.com/player/marvin-scott-iii-46059013,RB ,0.8647," Spruce Creek (Port Orange, FL)    ","['Nebraska', 'Georgia Tech', 'Wake Forest', 'Alabama', 'Boston College', 'Colorado State', 'Connecticut', 'Duke', 'FIU', 'Florida State', 'Georgia Southern', 'Iowa State', 'Kansas', 'Kentucky', 'Louisville', 'Marshall', 'Miami', 'Michigan', 'North Carolina', 'Purdue', 'South Carolina', 'Tennessee', 'Tulane', 'UAB', 'UCF', 'USF', 'Utah', 'Virginia Tech', 'West Virginia']",FL
Alex Conn,https://247sports.com/player/alex-conn-46081240,OT ,0.8647," Derby (Derby, KS)    ","['Nebraska', 'Oklahoma State', 'Arizona', 'Iowa State', 'Kansas', 'Kansas State', 'SMU', 'TCU', 'Missouri']",KS
Jimari Butler,https://247sports.com/player/jimari-butler-46093813,WDE ,0.8621," Murphy (Mobile, AL)    ","['Nebraska', 'TCU', 'Tennessee', 'Illinois', 'Kansas', 'Maryland', 'Ole Miss', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Toledo', 'UAB']",AL
Marquis Black,https://247sports.com/player/marquis-black-46055957,DT ,0.8614," Eagles Landing Christian Academy (McDonough, GA)  ","['Nebraska', 'Arizona', 'Boston College', 'East Carolina', 'Georgia Tech', 'Kansas State', 'Kentucky', 'Michigan State', 'Rutgers', 'South Carolina', 'Syracuse', 'Tennessee', 'Virginia Tech', 'West Virginia', 'Arkansas']",GA
Niko Cooper,https://247sports.com/player/niko-cooper-46094140,WDE ,0.8594," Hutchinson C.C. (Hutchinson, KS)    ","['Nebraska', 'Akron', 'Kent State', 'Liberty', 'Maryland', 'Massachusetts', 'South Alabama', 'Western Kentucky', 'Kansas State', 'South Dakota']",KS
Ronald Delancy III,https://247sports.com/player/ronald-delancy-iii-46079963,CB ,0.8551," Northwestern (Miami, FL)  ","['Nebraska', 'Louisville', 'FIU', 'Florida Atlantic', 'Kent State', 'Marshall', 'Miami', 'Missouri', 'Morgan State', 'Southern Miss', 'Toledo', 'UCF', 'USF', 'Utah State', 'Wake Forest', 'Washington State', 'Western Kentucky', 'Miami']",FL
Pheldarius Payne,https://247sports.com/player/pheldarius-payne-46079782,SDE ,0.8541," Lackawanna C.C. (Scranton, PA)    ","['Nebraska', 'NC State', 'Liberty', 'Florida', 'Penn State', 'Syracuse', 'West Virginia']",PA
