name,url,position,score,hometown,offers,state
Isaac Jernagin,https://247sports.com/player/isaac-jernagin-46041635,ATH ,0.8466," Bakersfield (Bakersfield, CA)    ",['Nevada'],CA
Devin Gunter,https://247sports.com/player/devin-gunter-46079347,ATH ,0.8367," Ridge Point (Missouri City, TX)    ","['Nevada', 'Rice', 'Howard', 'Texas Southern', 'Texas State', 'Arkansas', 'Houston', 'Kansas State', 'Texas Tech', 'Utah', 'Vanderbilt']",TX
Grant Starck,https://247sports.com/player/grant-starck-46082274,OT ,0.8329," Thurston (Springfield, OR)    ","['Nevada', 'Idaho', 'Oregon State']",OR
Marquese Allen-Patmon,https://247sports.com/player/marquese-allen-patmon-46082605,ATH ,0.8315," Lincoln (San Diego, CA)    ","['Nevada', 'Montana State', 'New Mexico State', 'Air Force', 'Howard', 'Idaho', 'Navy', 'Portland State', 'San Diego', 'San Diego State', 'South Dakota', 'UC Davis']",CA
Frank Poso,https://247sports.com/player/frank-poso-46053711,OT ,0.8281," Branham (San Jose, CA)    ","['Nevada', 'Fresno State', 'New Mexico', 'William & Mary', 'Arizona', 'Arizona State', 'California', 'Colorado', 'Oregon', 'Oregon State', 'Purdue', 'San Diego State', 'San Jose State', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State']",CA
Avery Morrow,https://247sports.com/player/avery-morrow-46052696,RB ,0.8254," Garfield (Seattle, WA)    ","['Nevada', 'Montana State', 'Boise State', 'Eastern Washington', 'Oregon State', 'Wisconsin']",WA
Tongiaki Mateialona,https://247sports.com/player/tongiaki-mateialona-46047395,S ,0.8198," Compton Dominguez (Compton, CA)    ","['Nevada', 'Colorado State', 'Fresno State', 'New Mexico', 'Sacramento State', 'San Diego State', 'San Jose State', 'UNLV', 'Utah State']",CA
Jacob Gardner,https://247sports.com/player/jacob-gardner-46080804,OT ,0.8099," Los Osos (Rancho Cucamonga, CA)  ","['Nevada', 'San Jose State']",CA
Tory Horton,https://247sports.com/player/tory-horton-46080805,ATH ,0.8058," Washington Union (Fresno, CA)    ","['Nevada', 'Montana', 'Northern Colorado', 'Boise State']",CA
RJ Taylor,https://247sports.com/player/rj-taylor-46081632,OT ,0.8003," Yucaipa (Yucaipa, CA)  ",['Nevada'],CA
Davion Blackwell,https://247sports.com/player/davion-blackwell-46081744,ILB ,0.7998," Folsom (Folsom, CA)  ","['Nevada', 'Fresno State', 'San Jose State', 'Idaho', 'William & Mary']",CA
Teivis Tuioti,https://247sports.com/player/teivis-tuioti-46081328,DT ,0.7998," Lincoln Southeast (Lincoln, NE)    ","['Nevada', 'Army', 'Idaho State', 'California', 'Eastern Washington', 'Fresno State', 'Hawaii', 'Utah', 'Wyoming']",NE
Peter Montini,https://247sports.com/player/peter-montini-46095020,ILB ,0.7992," Foothill (Pleasanton, CA)    ",['Nevada'],CA
Nate Cox,https://247sports.com/player/nate-cox-46099028,PRO ,0.7900," Garden City C.C.  (Garden City, KS)  ",['Nevada'],KS
Charlie Pollack,https://247sports.com/player/charlie-pollack-46093567,P ,0.7896," Walton (Marietta, GA)  ",['Nevada'],GA
Zeke Robbins,https://247sports.com/player/zeke-robbins-46099378,CB ,0.7600," Butler C.C. (El Dorado, KS)  ",['Nevada'],KS
Angel King,https://247sports.com/player/angel-king-46096645,ATH ,0.7496," Alain Leroy Locke Senior (Los Angeles, CA)    ",['Nevada'],CA
Micah Gardner,https://247sports.com/player/micah-gardner-46040115,CB ,0.7998," Carson (Carson, CA)    ","['Nevada', 'Arizona State', 'Arkansas', 'Boston College', 'Cal Poly', 'Colorado', 'Colorado State', 'Duke', 'Hawaii', 'Kansas State', 'North Carolina', 'Northwestern', 'Oregon State', 'Purdue', 'Sacramento State', 'San Diego', 'San Diego State', 'Temple', 'Texas', 'UNLV', 'Utah', 'Utah State', 'Washington']",CA
Nick Barcelos,https://247sports.com/player/nick-barcelos-46086594,LS ,0.7591," Santa Margarita Catholic (Rancho Santa Margarita, CA)    ","['Nevada', 'Air Force', 'Army', 'Navy', 'Oklahoma State', 'Rice', 'Texas A&M', 'UC Davis']",CA
