name,url,position,score,hometown,offers,state
Gregory Brown,https://247sports.com/player/gregory-brown-46094642,OG ,0.8072," Shadow Creek (Pearland, TX)    ",,TX
Isaak Gutierrez,https://247sports.com/player/isaak-gutierrez-46053747,OG ,0.7912," Butte College (Oroville, CA)   ",,CA
Dion Hunter,https://247sports.com/player/dion-hunter-46099346,OLB ,0.7697," Cleveland (Rio Rancho, NM)   ",,NM
Nathaniel Jones,https://247sports.com/player/nathaniel-jones-46041709,RB ,0.8743," St. John Bosco (Bellflower, CA)    ","['New Mexico', 'Arizona State', 'Colorado', 'Florida', 'Utah', 'Oregon']",CA
Leke Asenuga,https://247sports.com/player/leke-asenuga-46080751,OC ,0.8499," Fort Bend Bush (Richmond, TX)    ","['New Mexico', 'Air Force', 'Boise State', 'Colorado State', 'FIU', 'Houston', 'Kansas', 'Louisiana', 'Louisiana-Monroe', 'Memphis', 'New Mexico State', 'North Texas', 'SMU', 'Southern Miss', 'Texas Southern', 'Texas State', 'Toledo', 'Tulane', 'Tulsa', 'Utah State', 'UTSA', 'Wyoming']",TX
Jermarques Bailey,https://247sports.com/player/jermarques-bailey-46048581,OG ,0.8355," Atascocita (Humble, TX)    ","['New Mexico', 'Lamar', 'Maryland', 'Texas Southern', 'Alabama', 'Baylor', 'Boston College', 'Colorado', 'LSU', 'Notre Dame', 'Oklahoma', 'Oklahoma State', 'Texas A&M']",TX
Bobby Wooden,https://247sports.com/player/bobby-wooden-46098072,WR ,0.8298," Dawson (Pearland, TX)    ","['New Mexico', 'Henderson State', 'Texas Southern']",TX
OJ Bartley,https://247sports.com/player/oj-bartley-46098158,SDE ,0.8235," Edison (Stockton, CA)  ",['New Mexico'],CA
Elijah Queen,https://247sports.com/player/elijah-queen-46048411,WR ,0.8198," Narbonne (Harbor City, CA)  ","['New Mexico', 'Nevada', 'San Jose State', 'Wyoming']",CA
Donald Jones,https://247sports.com/player/donald-jones-46099425,CB ,0.8198," Broadmoor (Baton Rouge, LA)  ","['New Mexico', 'Alcorn State', 'Cornell College', 'Grambling State', 'McNeese State', 'Southern University']",LA
Quinn Potts,https://247sports.com/player/quinn-potts-46081507,S ,0.8154," Compton Dominguez (Compton, CA)  ",['New Mexico'],CA
Ian Shewell,https://247sports.com/player/ian-shewell-46098822,DT ,0.8123," Williams Field (Gilbert, AZ)  ",['New Mexico'],AZ
Elijah Lash,https://247sports.com/player/elijah-lash-46096431,ATH ,0.8072," Las Lomas (Walnut Creek, CA)  ","['New Mexico', 'Jacksonville State', 'Northern Arizona', 'Northern Colorado']",CA
Conner Kinslow,https://247sports.com/player/conner-kinslow-46082914,TE ,0.8053," Tompkins (Katy, TX)    ","['New Mexico', 'Bucknell', 'Colgate', 'Columbia', 'Dartmouth', 'Jacksonville State', 'Montana State', 'Pennsylvania', 'Houston', 'Texas']",TX
Jace Taylor,https://247sports.com/player/jace-taylor-46083116,WR ,0.8011," Lake Havasu (Lake Havasu City, AZ)  ","['New Mexico', 'UTEP', 'Dixie State', 'Northern Arizona', 'South Dakota State']",AZ
Ray Leutele,https://247sports.com/player/ray-leutele-46094974,ILB ,0.7998," Mater Dei (Santa Ana, CA)    ","['New Mexico', 'Northern Arizona']",CA
Connor Witthoft,https://247sports.com/player/connor-witthoft-46085749,TE ,0.7897," Salpointe Catholic (Tucson, AZ)    ","['New Mexico', 'Georgetown', 'Memphis', 'Arizona State', 'Oregon']",AZ
Bryce Santana,https://247sports.com/player/bryce-santana-46097157,SDE ,0.7897," Los Lunas (Los Lunas, NM)    ","['New Mexico', 'Eastern New Mexico', 'Grand View', 'McPherson', 'Western New Mexico']",NM
Semaj Sims,https://247sports.com/player/semaj-sims-46099264,S ,0.7800," McClymonds (Oakland, CA)    ",['New Mexico'],CA
Tavian Combs,https://247sports.com/player/tavian-combs-46094112,S ,0.7797," Randall (Canyon, TX)    ","['New Mexico', 'Sam Houston State', 'Stephen F. Austin', 'Tarleton State', 'UTEP']",TX
Darius McCray,https://247sports.com/player/darius-mccray-46079171,RB ,0.7697," Washington Union (Fresno, CA)    ","['New Mexico', 'Northern Colorado']",CA
AJ Odums,https://247sports.com/player/aj-odums-46098448,CB ,0.7697," Westfield (Houston, TX)    ",['New Mexico'],TX
