name,url,position,score,hometown,offers,state
Lazarus Williams,https://247sports.com/player/lazarus-williams-88327,WDE ,0.8400," New Mexico Military Institute (Roswell, NM)  ",['New Mexico State'],NM
Rich Hall,https://247sports.com/player/rich-hall-46046545,CB ,0.8250," Independence C.C. (Independence, KS)  ","['New Mexico State', 'Arizona', 'Hawaii', 'Temple', 'UNLV']",KS
Justin Stinson,https://247sports.com/player/justin-stinson-46096714,CB ,0.8173," Valley Christian (Chandler, AZ)  ","['New Mexico State', 'Abilene Christian', 'Northern Arizona', 'South Dakota State']",AZ
Justice Powers,https://247sports.com/player/justice-powers-46099375,WR ,0.8100," West Los Angeles College (Culver City, CA)  ",['New Mexico State'],CA
Camden Chustz,https://247sports.com/player/camden-chustz-46099371,OT ,0.8100," Coffeyville C.C. (Coffeyville, KS)  ",['New Mexico State'],KS
Jalyne McFall,https://247sports.com/player/jalyne-mcfall-46080104,WR ,0.8098," Grover Cleveland (Reseda, CA)    ","['New Mexico State', 'Southern Miss']",CA
Xavier Hinkle,https://247sports.com/player/xavier-hinkle-46096725,CB ,0.7994," Butler C.C. (El Dorado, KS)  ",['New Mexico State'],KS
Daemahni Williams,https://247sports.com/player/daemahni-williams-46096726,CB ,0.7944," New Mexico Military Institute (Roswell, NM)  ",['New Mexico State'],NM
Jonah Johnson,https://247sports.com/player/jonah-johnson-46099373,PRO ,0.7900," Fresno City College (Fresno, CA)  ",['New Mexico State'],CA
Devlin Kirklin,https://247sports.com/player/devlin-kirklin-46099374,S ,0.7800," Holmes C.C. (Goodman, MS)  ",['New Mexico State'],MS
Isaiah Garcia-Castaneda,https://247sports.com/player/isaiah-garcia-castaneda-46099372,WR ,0.7800," Saddleback College (Mission Viejo, CA)  ",['New Mexico State'],CA
Stephawn Townsend,https://247sports.com/player/stephawn-townsend-46099377,OT ,0.7700," Fresno City College (Fresno, CA)  ",['New Mexico State'],CA
Cole Harrity,https://247sports.com/player/cole-harrity-46099369,WR ,0.7700," Saddleback College (Mission Viejo, CA)  ",['New Mexico State'],CA
Jae'vone Brown,https://247sports.com/player/jaevone-brown-46093849,OG ,0.7697," Holland (Holland, TX)  ","['New Mexico State', 'SMU']",TX
Ja'Darion Smith,https://247sports.com/player/jadarion-smith-46099370,WR ,0.7697," Mesquite (Mesquite, TX)  ",['New Mexico State'],TX
Larenzo McMillan,https://247sports.com/player/larenzo-mcmillan-46081503,WR ,NA," Cajon (San Bernardino, CA)    ","['New Mexico State', 'Colorado State', 'Hawaii', 'New Mexico', 'Sacramento State', 'San Jose State', 'California', 'Washington', 'Washington State']",CA
Garrett Bishop,https://247sports.com/player/garrett-bishop-46080033,DT ,NA," Pomona (Arvada, CO)  ",['New Mexico State'],CO
Brett Money,https://247sports.com/player/brett-money-46098678,K ,NA," Alamogordo (Alamogordo, NM)    ","['New Mexico State', 'Arizona Christian', 'Eastern New Mexico', 'Morehead State', 'Ottawa']",NM
