name,url,position,score,hometown,offers,state
Dustin Fletcher,https://247sports.com/player/dustin-fletcher-46048614,DUAL ,0.8545," Carman-Ainsworth (Flint, MI)    ","['Northern Illinois', 'Ball State', 'Bowling Green', 'Central Michigan', 'Cornell', 'Eastern Michigan', 'Indiana', 'Kent State', 'Kentucky', 'Seton Hill', 'Toledo', 'Western Illinois', 'Western Michigan', 'Michigan State']",MI
Jevyon Ducker,https://247sports.com/player/jevyon-ducker-46054458,APB ,0.8517," Bellevue West (Bellevue, NE)    ","['Northern Illinois', 'Army', 'Illinois State', 'Northern Iowa', 'Purdue', 'South Dakota', 'South Dakota State', 'Texas State', 'Western Illinois', 'Youngstown State']",NE
Woodly Appolon,https://247sports.com/player/woodly-appolon-46083139,S ,0.8450," Butler C.C. (El Dorado, KS)   ",['Northern Illinois'],KS
Eddie Jackson,https://247sports.com/player/eddie-jackson-46050389,S ,0.8376," Gulliver Prep (Miami, FL)  ","['Northern Illinois', 'FIU', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'Temple', 'Utah State', 'Western Kentucky']",FL
Cody Kopp,https://247sports.com/player/cody-kopp-46055564,ILB ,0.8317," University Christian (Jacksonville, FL)    ","['Northern Illinois', 'Bowling Green', 'Central Michigan', 'Columbia', 'Cornell', 'Dartmouth', 'FIU', 'Jacksonville', 'Kent State', 'Mercer', 'Yale', 'Charlotte', 'Duke', 'Kentucky', 'Wake Forest']",FL
Eric Rogers,https://247sports.com/player/eric-rogers-46056293,S ,0.8274," Burlington Twp (Burlington, NJ)    ","['Northern Illinois', 'Massachusetts', 'Monmouth', 'North Carolina', 'Stony Brook']",NJ
Ivan Davis,https://247sports.com/player/ivan-davis-46082368,WDE ,0.8220," Plymouth (Canton, MI)  ","['Northern Illinois', 'Alabama A&M', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Eastern Kentucky', 'Eastern Michigan', 'Kent State', 'Miami (OH)', 'Ohio', 'Toledo', 'Western Michigan']",MI
Daveren Rayner,https://247sports.com/player/daveren-rayner-46055735,S ,0.8206," Lawrence Central (Indianapolis, IN)  ","['Northern Illinois', 'Ball State', 'Central Michigan', 'Eastern Michigan', 'Miami (OH)']",IN
Jeremiah Howard,https://247sports.com/player/jeremiah-howard-46094753,WR ,0.8165," Merrillville (Merrillville, IN)    ","['Northern Illinois', 'Western Illinois']",IN
Erin Collins,https://247sports.com/player/erin-collins-83064,RB ,0.8145," Hutchinson C.C. (Hutchinson, KS)    ","['Northern Illinois', 'East Carolina', 'Kansas State', 'Louisville']",KS
C.J. Brown,https://247sports.com/player/c-j-brown-46048607,S ,0.8139," Walled Lake Western (Walled Lake, MI)    ","['Northern Illinois', 'Akron', 'Ball State', 'Bowling Green', 'Central Michigan', 'Eastern Michigan', 'Kent State', 'Miami (OH)', 'Morgan State', 'Ohio', 'Syracuse', 'Toledo', 'Western Michigan']",MI
Matthew Johnson,https://247sports.com/player/matthew-johnson-46058799,WDE ,0.8139," West Aurora (Aurora, IL)  ","['Northern Illinois', 'Cincinnati', 'Eastern Illinois', 'Illinois', 'Indiana', 'Iowa', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Northern Illinois', 'Penn State']",IL
Jack Hugunin,https://247sports.com/player/jack-hugunin-46082771,DT ,0.8139," Oswego (Oswego, IL)  ","['Northern Illinois', 'Buffalo', 'Eastern Kentucky', 'Eastern Michigan', 'Illinois State', 'Kent State', 'Western Kentucky', 'Kansas State', 'Vanderbilt']",IL
Jashon Prophete,https://247sports.com/player/jashon-prophete-46097570,CB ,0.8098," Blanche Ely (Pompano Beach, FL)  ",['Northern Illinois'],FL
Tyler Pitcel,https://247sports.com/player/tyler-pitcel-46056014,OT ,0.8086," Mukwonago (Mukwonago, WI)  ","['Northern Illinois', 'Air Force', 'Central Michigan', 'Eastern Michigan', 'South Dakota State', 'Iowa State', 'Michigan State', 'South Dakota State', 'Wisconsin']",WI
Pierce Oppong,https://247sports.com/player/pierce-oppong-46097609,SDE ,0.8084," Jefferson Senior (Minneapolis, MN)  ",['Northern Illinois'],MN
Raishein Thomas,https://247sports.com/player/raishein-thomas-46083936,WDE ,0.8084," Park (Racine, WI)  ",['Northern Illinois'],WI
Evan Buss,https://247sports.com/player/evan-buss-46058626,OC ,0.8080," Kimberly (Kimberly, WI)  ","['Northern Illinois', 'Ball State', 'Illinois State', 'Kent State', 'Wisconsin']",WI
Devin Lafayette,https://247sports.com/player/devin-lafayette-46097441,S ,0.8078," Brunswick (Brunswick, GA)    ","['Northern Illinois', 'Akron', 'Bryant', 'Central Michigan', 'Cornell', 'Mercer', 'Savannah State', 'Stetson', 'Troy']",GA
Anthony Vacula,https://247sports.com/player/anthony-vacula-46079979,OG ,0.8044," Greenfield (Milwaukee, WI)  ","['Northern Illinois', 'Ball State']",WI
Jake Novotny,https://247sports.com/player/jake-novotny-46085501,TE ,0.7997," Marquette University (Milwaukee, WI)  ","['Northern Illinois', 'Ball State', 'Central Michigan', 'Columbia', 'Eastern Michigan', 'Georgetown College', 'Lafayette', 'Western Illinois', 'Yale']",WI
Seth Thompson,https://247sports.com/player/seth-thompson-46079756,OC ,0.7991," Holy Family Catholic (Victoria, MN)    ","['Northern Illinois', 'North Dakota']",MN
Myles McGee,https://247sports.com/player/myles-mcgee-46094153,CB ,0.7977," Sequoyah (Canton, GA)  ","['Northern Illinois', 'Akron', 'Alabama A&M', 'Austin Peay', 'Campbell', 'Chattanooga', 'Coastal Carolina', 'Delaware State', 'Kent State', 'Liberty', 'Marshall', 'Troy']",GA
John Champe,https://247sports.com/player/john-champe-46085871,OT ,0.7964," Brookfield East (Brookfield, WI)  ",['Northern Illinois'],WI
Harrison Waylee,https://247sports.com/player/harrison-waylee-46086505,APB ,0.7956," Urbandale (Urbandale, IA)    ","['Northern Illinois', 'Northern Iowa', 'South Dakota State', 'Western Illinois']",IA
Jordan Hansen,https://247sports.com/player/jordan-hansen-46085903,S ,0.7794," John Hersey (Arlington Heights, IL)    ","['Northern Illinois', 'Eastern Illinois', 'Illinois State', 'North Dakota State']",IL
Jack Wilty,https://247sports.com/player/jack-wilty-46086630,OG ,0.7781," Southeast Polk (Des Moines, IA)  ",['Northern Illinois'],IA
Malik Harvey,https://247sports.com/player/malik-harvey-46094309,CB ,0.7730," Woodrow Wilson (Camden, NJ)    ","['Northern Illinois', 'Massachusetts']",NJ
