name,url,position,score,hometown,offers,state
Peter Skoronski,https://247sports.com/player/peter-skoronski-46049080,OC ,0.9503," Maine South (Park Ridge, IL)    ","['Northwestern', 'Duke', 'Illinois', 'Iowa', 'Michigan', 'Notre Dame', 'Penn State', 'Stanford', 'Western Michigan', 'Wisconsin']",IL
Josh Priebe,https://247sports.com/player/josh-priebe-46056908,OG ,0.8830," Edwardsburg (Edwardsburg, MI)    ","['Northwestern', 'Akron', 'Auburn', 'Boston College', 'Buffalo', 'Central Michigan', 'Cornell', 'Duke', 'Eastern Michigan', 'Harvard', 'Indiana', 'Iowa', 'Kansas State', 'Kent State', 'Louisville', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Northern Illinois', 'Ohio State', 'Purdue', 'Tennessee', 'Toledo', 'Vanderbilt', 'Western Michigan', 'Yale']",MI
Cullen Coleman,https://247sports.com/player/cullen-coleman-46079317,OLB ,0.8756," Rye Country Day School (Rye, NY)    ","['Northwestern', 'California', 'Purdue', 'Virginia', 'Alabama', 'Army', 'Baylor', 'Boston College', 'Brown', 'Columbia', 'Connecticut', 'Dartmouth', 'Harvard', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Penn State', 'Pennsylvania', 'Princeton', 'Rutgers', 'Stanford', 'Syracuse', 'Temple', 'Wisconsin', 'Yale', 'Central Connecticut State', 'Connecticut', 'Wagner']",NY
Cameron Porter,https://247sports.com/player/cameron-porter-46053258,RB ,0.8742," La Salle (Cincinnati, OH)    ","['Northwestern', 'Akron', 'Bowling Green', 'Cincinnati', 'Iowa', 'Iowa State', 'Louisville', 'Minnesota', 'Purdue', 'Toledo', 'Western Michigan', 'Wisconsin']",OH
Jordan Butler,https://247sports.com/player/jordan-butler-46052408,DT ,0.8710," IMG Academy (Bradenton, FL)    ","['Northwestern', 'Vanderbilt', 'Arizona', 'Colorado', 'Kansas', 'Minnesota', 'Notre Dame', 'Oregon', 'Pittsburgh', 'USC', 'LSU', 'UCLA']",FL
Garnett Hollis,https://247sports.com/player/garnett-hollis-46047299,CB ,0.8689," Battle Ground Academy (Franklin, TN)    ","['Northwestern', 'Purdue', 'Vanderbilt', 'Arkansas', 'Cincinnati', 'Indiana', 'Liberty', 'Louisville', 'Rutgers', 'South Carolina', 'Southern Miss', 'Tulane', 'UTSA', 'Virginia', 'Georgia Tech', 'Middle Tennessee State', 'Wake Forest']",TN
Gunner Maldonado,https://247sports.com/player/gunner-maldonado-46055456,S ,0.8681," Chandler (Chandler, AZ)  ","['Northwestern', 'Arizona', 'Arizona State', 'Indiana', 'Iowa State', 'Memphis', 'South Dakota State', 'Utah State']",AZ
Sean McLaughlin,https://247sports.com/player/sean-mclaughlin-46080634,SDE ,0.8647," Lincoln-Way East (Frankfort, IL)  ","['Northwestern', 'Boston College', 'Cincinnati', 'Eastern Michigan', 'Harvard', 'Illinois', 'Illinois State', 'Indiana', 'Iowa', 'Louisville', 'Miami (OH)', 'Minnesota', 'Princeton', 'Purdue', 'South Dakota', 'Syracuse', 'Toledo', 'Yale', 'Wisconsin']",IL
Xander Mueller,https://247sports.com/player/xander-mueller-46080633,OLB ,0.8621," Wheaton North (Wheaton, IL)    ","['Northwestern', 'Air Force', 'Bowling Green', 'Dartmouth', 'Eastern Michigan', 'Illinois State', 'Kent State', 'Louisville', 'Miami (OH)', 'North Dakota State', 'Ohio', 'Princeton', 'Toledo', 'Western Michigan', 'Yale', 'Youngstown State', 'Duke', 'Iowa', 'Iowa State', 'Minnesota', 'Stanford']",IL
Terah Edwards,https://247sports.com/player/terah-edwards-46059470,OG ,0.8594," Groveport Madison (Groveport, OH)    ","['Northwestern', 'Ball State', 'Bowling Green', 'Buffalo', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kent State', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Ohio', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'Toledo', 'Vanderbilt', 'Western Michigan', 'Wyoming', 'Cincinnati', 'Miami (OH)', 'Ohio State', 'Wisconsin']",OH
