name,url,position,score,hometown,offers,state
Michael Mayer,https://247sports.com/player/michael-mayer-46050106,TE ,0.9835," Covington Catholic (Alexandria, KY)                  ","['Notre Dame', 'Alabama', 'Arkansas', 'Cincinnati', 'Georgia', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Minnesota', 'Ohio State', 'Penn State', 'Purdue', 'Tennessee', 'Texas', 'Wisconsin']",KY
Jordan Johnson,https://247sports.com/player/jordan-johnson-46050063,WR ,0.9825," DeSmet (Saint Louis, MO)                  ","['Notre Dame', 'Alabama', 'Arkansas', 'Auburn', 'Florida', 'Illinois', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kentucky', 'LSU', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Ohio State', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'Syracuse', 'Texas A&M', 'USC', 'Wisconsin']",MO
Chris Tyree,https://247sports.com/player/chris-tyree-85374,APB ,0.9683," Thomas Dale (Chester, VA)                  ","['Notre Dame', 'Oklahoma', 'Alabama', 'Boston College', 'Duke', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Kentucky', 'LSU', 'Marshall', 'Maryland', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'North Carolina', 'Ohio State', 'Penn State', 'Pittsburgh', 'South Carolina', 'Stanford', 'Temple', 'Tennessee', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Arkansas', 'Georgia Tech']",VA
Tosh Baker,https://247sports.com/player/tosh-baker-46059194,OT ,0.9552," Pinnacle (Phoenix, AZ)                  ","['Notre Dame', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'California', 'Colorado', 'Duke', 'Indiana', 'Kansas State', 'LSU', 'Miami', 'Michigan', 'Nebraska', 'North Carolina', 'Northwestern', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon', 'Oregon State', 'Purdue', 'Stanford', 'Texas', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Washington', 'Washington State', 'Michigan State']",AZ
Jordan Botelho,https://247sports.com/player/jordan-botelho-46053425,ILB ,0.9481," St. Louis (Honolulu, HI)                    ","['Notre Dame', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Georgia', 'Hawaii', 'Kansas State', 'LSU', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Oregon State', 'Tennessee', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State', 'Wisconsin', 'Florida', 'Stanford']",HI
Michael Carmody,https://247sports.com/player/michael-carmody-46051689,OT ,0.9355," Mars Area (Mars, PA)                  ","['Notre Dame', 'Texas A&M', 'Akron', 'Boston College', 'Cincinnati', 'Duke', 'Iowa', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Nebraska', 'Northwestern', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Stanford', 'Temple', 'Toledo', 'Virginia', 'Virginia Tech', 'West Virginia', 'Wisconsin']",PA
Rylie Mills,https://247sports.com/player/rylie-mills-46051962,SDE ,0.9306," Lake Forest (Lake Forest, IL)                    ","['Notre Dame', 'Ohio State', 'Wisconsin', 'Alabama', 'Boston College', 'Clemson', 'Duke', 'Florida', 'Georgia', 'Illinois', 'Indiana', 'Iowa', 'Louisville', 'LSU', 'Michigan', 'Minnesota', 'Nebraska', 'Northwestern', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'Rutgers', 'Tennessee', 'Toledo', 'Vanderbilt', 'Virginia', 'West Virginia']",IL
Drew Pyne,https://247sports.com/player/drew-pyne-88572,PRO ,0.9166," New Canaan (New Canaan, CT)                    ","['Notre Dame', 'Alabama', 'Arizona', 'Auburn', 'Baylor', 'Boston College', 'Buffalo', 'Connecticut', 'Florida State', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Missouri', 'North Carolina', 'Oklahoma', 'Ole Miss', 'Penn State', 'South Alabama', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas A&M', 'Virginia Tech', 'Connecticut', 'Florida', 'Maryland', 'Michigan', 'Nebraska', 'Ohio State', 'Texas', 'USC']",CT
Kevin Bauman,https://247sports.com/player/kevin-bauman-46047887,TE ,0.9130," Red Bank Catholic (Red Bank, NJ)                  ","['Notre Dame', 'Boston College', 'Michigan', 'Nebraska', 'North Carolina', 'Rutgers', 'Syracuse', 'Texas A&M', 'UCF', 'Vanderbilt', 'Virginia', 'West Virginia', 'Penn State']",NJ
Xavier Watts,https://247sports.com/player/xavier-watts-46052273,WR ,0.8884," Burke (Omaha, NE)                    ","['Notre Dame', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Louisville', 'Michigan', 'Minnesota', 'Nebraska', 'Northwestern', 'Purdue', 'South Dakota State', 'Tennessee', 'Wisconsin', 'Wyoming']",NE
