offer_id,player_id,offer
0,0,Western Kentucky
1,0,Appalachian State
2,0,Florida
3,0,Liberty
4,0,Memphis
5,0,Michigan State
6,0,Mississippi State
7,0,NC State
8,0,Tennessee
9,0,Troy
10,0,Virginia Tech
11,0,West Virginia
12,1,Western Kentucky
13,1,Arizona State
14,1,Miami
15,1,Tennessee
16,1,USF
17,2,Western Kentucky
18,2,Syracuse
19,2,Akron
20,2,Chattanooga
21,2,Eastern Kentucky
22,2,FIU
23,2,Jacksonville State
24,2,South Alabama
25,2,Southern University
26,3,Western Kentucky
27,3,Florida Atlantic
28,3,Akron
29,3,Alabama A&M
30,3,Central Michigan
31,3,Chattanooga
32,3,Colorado
33,3,Jackson State
34,3,Kansas
35,3,Massachusetts
36,3,Murray State
37,3,Nebraska
38,3,Tennessee
39,3,Toledo
40,3,Troy
41,4,Western Kentucky
42,4,Utah
43,4,UTEP
44,5,Western Kentucky
45,5,New Mexico State
46,5,Massachusetts
47,5,Incarnate Word
48,5,Murray State
49,5,New Mexico
50,5,Robert Morris
51,6,Western Kentucky
52,6,Akron
53,6,Liberty
54,6,Marshall
55,6,Morgan State
56,6,South Alabama
57,6,Toledo
58,7,Western Kentucky
59,7,San Diego State
60,7,UTEP
61,8,Western Kentucky
62,9,Western Kentucky
63,9,Army
64,9,South Alabama
65,10,Western Kentucky
66,10,Akron
67,10,Charlotte
68,10,Chattanooga
69,10,Jacksonville State
70,10,Mercer
71,10,Troy
72,10,Western Carolina
73,11,Western Kentucky
74,11,Akron
75,11,Ball State
76,11,Marshall
77,11,Massachusetts
78,11,New Mexico State
79,11,South Alabama
80,11,Southeast Missouri State
81,11,Tennessee Tech
82,11,Kansas State
83,11,Southern Illinois
84,11,Stetson
85,12,Western Kentucky
86,12,Akron
87,12,Army
88,12,Eastern Kentucky
89,12,Eastern Michigan
90,12,Murray State
91,12,Indiana
92,12,Kentucky
93,12,Ole Miss
94,13,Western Kentucky
95,13,Chattanooga
96,13,Coastal Carolina
97,13,Georgia Southern
98,13,Georgia State
99,13,Samford
100,14,Western Kentucky
101,15,Western Kentucky
102,15,East Carolina
103,15,Charlotte
104,15,South Alabama
105,15,Southern Illinois
106,15,Troy
107,15,Louisiana-Monroe
108,16,Western Kentucky
109,16,Montana State
110,16,Central Washington
111,16,Northern Colorado
112,16,Army
113,16,California
114,16,Eastern Washington
115,16,Montana
116,16,Portland State
117,16,Princeton
118,16,Washington
119,16,Washington State
120,16,Yale
121,17,Western Kentucky
122,17,Jacksonville
123,17,Morehead State
124,18,Western Kentucky
125,18,Eastern Kentucky
126,18,Southeast Missouri State
127,18,Western Illinois
128,18,Duke
129,18,Kentucky
130,18,Louisville
131,18,Stanford
132,19,Western Kentucky
133,19,Grambling State
134,19,Texas Southern
135,19,Baylor
136,19,SMU
137,19,Tulsa
138,20,Western Kentucky
139,20,Charlotte
140,20,East Carolina
141,20,Florida Atlantic
142,20,Georgia State
143,20,NC State
144,20,North Carolina
145,20,Purdue
146,21,Western Kentucky
147,21,Akron
148,21,Cincinnati
149,21,Coastal Carolina
150,21,Florida Atlantic
151,21,Liberty
152,21,Louisville
153,21,Minnesota
154,21,Penn State
155,21,Temple
156,21,Troy
157,21,Western Carolina
158,22,Western Kentucky
159,22,Ball State
160,22,Hawaii
161,22,Kent State
162,22,Liberty
163,22,Louisville
164,22,Missouri
165,22,Rutgers
166,22,Troy
167,22,Tulane
168,22,West Virginia
169,22,Kentucky
170,23,Western Kentucky
171,23,Cincinnati
172,24,Western Kentucky
173,24,North Carolina
174,25,Western Kentucky
175,25,Air Force
176,25,Cumberland
177,25,Duke
178,25,Georgetown
179,25,Morehead State
180,26,UNLV
181,26,Ball State
182,26,Central Michigan
183,26,Eastern Illinois
184,26,Eastern Michigan
185,26,Toledo
186,26,Tulane
187,26,Washington State
188,26,Western Illinois
189,26,Western Michigan
190,26,Indiana
191,26,Iowa
192,26,Ohio State
193,29,UNLV
194,29,Kansas
195,29,USC
196,29,Arizona
197,29,Arizona State
198,29,Arkansas
199,29,Auburn
200,29,Baylor
201,29,Boston College
202,29,Colorado
203,29,Florida
204,29,Georgia
205,29,Georgia Tech
206,29,Houston
207,29,Indiana
208,29,Iowa
209,29,Kansas State
210,29,Kentucky
211,29,LSU
212,29,Michigan State
213,29,Minnesota
214,29,Mississippi State
215,29,Missouri
216,29,Nebraska
217,29,North Texas
218,29,Oklahoma
219,29,Ole Miss
220,29,Oregon
221,29,Purdue
222,29,SMU
223,29,Syracuse
224,29,Texas
225,29,Texas A&M
226,29,UTSA
227,30,UNLV
228,30,Arizona State
229,30,Washington State
230,30,Colorado State
231,30,Fresno State
232,30,Hawaii
233,30,Nevada
234,30,New Mexico
235,30,Oregon State
236,30,San Jose State
237,30,Washington State
238,30,Wyoming
239,30,Brigham Young
240,30,California
241,30,Colorado
242,30,Kansas State
243,30,Notre Dame
244,30,Oregon
245,30,Texas
246,30,UCLA
247,30,Washington
248,31,UNLV
249,31,Boise State
250,31,Brigham Young
251,31,Colorado
252,31,Iowa State
253,31,Louisville
254,31,Memphis
255,31,Northern Arizona
256,31,Oregon State
257,31,Syracuse
258,31,Utah
259,31,Utah State
260,32,UNLV
261,32,Baylor
262,32,Louisiana
263,32,Louisiana Tech
264,32,UAB
265,32,Virginia
266,32,Tulane
267,33,UNLV
268,33,Colorado State
269,33,San Diego State
270,33,San Jose State
271,33,Nevada
272,33,New Mexico
273,33,Northern Arizona
274,33,Utah
275,33,William & Mary
276,33,Cal Poly
277,33,California
278,33,Fresno State
279,33,Nebraska
280,33,Oregon
281,33,San Jose State
282,33,Utah State
283,33,UTEP
284,34,UNLV
285,34,Kansas
286,34,Nevada
